N_PV_hh,E_BESS_cap_kwh,annual_cost_total_eur,annual_emissions_total_kg,E_TESS_cap_kwh
7,1.71,353654.13,33072.84,0.0
8,0.03,327820.64,33548.01,0.0
11,0.04,324972.59,34341.47,0.0
7,3.64,425427.95,27939.76,40.0
9,10.18,478006.6,27586.46,40.0
8,4.8,439187.65,27818.97,40.0
8,6.72,453954.98,27692.03,40.0
7,4.37,432529.64,27881.61,40.0
9,0.0,377278.0,29404.93,36.6
7,1.64,352613.42,33082.78,0.0
8,6.87,454936.61,27688.63,39.99
6,0.0,381945.71,28467.78,40.0
13,0.0,373833.61,30519.54,38.78
14,0.01,373452.33,30821.71,39.73
8,6.18,450306.78,27712.72,39.99
8,7.32,457798.66,27674.88,40.0
7,1.93,406542.95,28125.9,40.0
7,2.17,409274.16,28094.95,40.0
7,2.43,412252.94,28063.19,40.0
7,3.17,420399.02,27982.66,40.0
7,3.01,418681.22,27998.88,40.0
10,0.04,325915.43,34028.93,0.0
6,0.86,393950.55,28281.87,39.98
7,0.0,380294.32,28599.09,39.49
6,0.71,392101.45,28304.06,39.99
14,0.0,372815.63,31075.31,37.85
8,6.53,452695.27,27697.5,40.0
9,0.0,326040.92,33778.13,0.0
15,0.0,372407.32,31268.52,39.84
9,0.0,377454.83,29257.23,37.66
9,9.96,476814.11,27591.06,40.0
8,6.42,451982.31,27703.18,39.98
8,5.72,446931.67,27734.58,40.0
6,0.5,389273.04,28342.8,39.99
6,1.24,398479.28,28226.86,40.0
7,0.0,328485.55,33428.68,0.0
8,5.48,445074.66,27750.28,40.0
8,5.58,445845.24,27743.47,40.0
7,1.25,398254.02,28230.73,40.0
8,5.95,448635.46,27721.74,40.0
8,5.95,448635.46,27721.74,40.0
7,1.75,404393.91,28151.46,40.0
14,0.0,372833.91,31062.22,37.95
