N_PV_hh,E_BESS_cap_kwh,annual_cost_total_eur,annual_emissions_total_kg
19,20.08,9588.16,563.16
19,20.08,9588.16,563.16
40,0.0,6256.17,698.55
40,0.0,6256.17,698.55
39,0.0,6284.01,693.21
34,0.11,6448.87,666.65
33,0.0,6449.61,662.21
36,0.0,6367.16,677.45
35,0.11,6421.43,671.73
27,0.0,6611.62,633.73
27,0.11,6637.75,633.16
31,0.0,6504.19,652.36
40,0.11,6282.7,697.96
37,0.11,6366.06,682.06
37,0.0,6339.53,682.65
35,0.0,6394.7,672.32
38,0.0,6311.79,687.9
36,0.11,6393.87,676.86
31,0.11,6530.61,651.78
34,0.0,6422.17,667.24
39,0.11,6310.81,692.61
32,0.0,6476.97,657.24
38,0.11,6338.58,687.31
33,0.11,6476.4,661.61
26,0.11,6663.96,628.8
25,0.11,6689.91,624.61
29,0.11,6584.44,642.25
32,0.11,6503.58,656.65
26,0.0,6637.98,629.36
20,0.1,6814.48,605.88
30,0.0,6531.32,647.56
29,0.0,6558.33,642.82
30,0.11,6557.49,646.98
28,0.0,6585.09,638.21
25,0.0,6664.03,625.17
28,0.11,6611.08,637.64
24,0.0,6689.92,621.11
21,0.1,6789.75,609.31
22,0.11,6766.27,612.89
18,0.0,6840.95,600.04
21,0.0,6766.34,609.81
15,11.04,8646.52,572.31
19,0.0,6816.29,603.1
24,0.11,6715.51,620.57
23,0.0,6715.61,617.19
22,0.0,6741.1,613.41
23,0.11,6741.08,616.65
15,11.3,8674.91,571.95
14,8.35,8289.98,576.3
17,0.11,6889.51,596.71
13,5.02,7792.83,580.09
15,10.7,8607.2,572.79
15,11.88,8738.8,571.15
20,0.0,6791.44,606.37
12,1.13,7181.73,585.61
19,0.1,6840.29,602.61
13,1.86,7297.08,584.56
16,12.98,8891.87,569.07
15,14.01,8953.77,568.51
17,0.0,6865.41,597.19
13,3.57,7573.29,581.92
16,12.67,8859.15,569.54
14,7.42,8162.94,577.39
15,12.24,8778.34,570.66
13,4.21,7671.96,581.08
13,1.45,7224.65,585.31
13,4.79,7759.28,580.35
17,15.72,9187.98,565.5
19,18.75,9492.46,563.43
12,2.49,7408.16,583.41
13,5.79,7907.16,579.25
