generation,best_cost_eur,best_emissions_kg
1,6304.14,563.29
2,6304.14,563.29
3,6301.05,563.24
4,6296.05,563.18
5,6293.54,563.18
6,6265.65,563.18
7,6259.75,563.18
8,6259.75,563.18
9,6259.75,563.18
10,6256.55,563.18
11,6256.51,563.18
12,6256.51,563.18
13,6256.51,563.17
14,6256.51,563.16
15,6256.51,563.16
16,6256.51,563.16
17,6256.51,563.16
18,6256.31,563.16
19,6256.18,563.16
20,6256.18,563.16
21,6256.18,563.16
22,6256.18,563.16
23,6256.18,563.16
24,6256.18,563.16
25,6256.17,563.16
26,6256.17,563.16
27,6256.17,563.16
28,6256.17,563.16
29,6256.17,563.16
30,6256.17,563.16
31,6256.17,563.16
32,6256.17,563.16
33,6256.17,563.16
34,6256.17,563.16
35,6256.17,563.16
36,6256.17,563.16
37,6256.17,563.16
38,6256.17,563.16
39,6256.17,563.16
40,6256.17,563.16
41,6256.17,563.16
42,6256.17,563.16
43,6256.17,563.16
44,6256.17,563.16
45,6256.17,563.16
46,6256.17,563.16
47,6256.17,563.16
48,6256.17,563.16
49,6256.17,563.16
50,6256.17,563.16
51,6256.17,563.16
52,6256.17,563.16
53,6256.17,563.16
54,6256.17,563.16
55,6256.17,563.16
56,6256.17,563.16
57,6256.17,563.16
58,6256.17,563.16
59,6256.17,563.16
60,6256.17,563.16
