N_PV_hh,E_BESS_cap_kwh,annual_cost_total_eur,annual_emissions_total_kg
40,0.0,668980.68,114802.05
4,0.0,753667.68,68936.14
4,0.0,753667.68,68936.14
40,0.0,668980.68,114802.05
40,0.11,671730.53,114743.27
21,0.0,719287.07,85887.88
31,0.11,696167.16,100618.48
31,0.0,693496.49,100675.54
19,0.1,726591.25,83071.97
33,0.0,688114.28,103772.68
28,0.0,701448.77,96103.08
38,0.0,674498.51,111622.31
26,0.11,709206.92,93063.48
37,0.11,679973.06,109981.48
38,0.11,677239.97,111563.33
20,0.11,724189.31,84444.56
32,0.0,690810.65,102220.75
22,0.0,716811.06,87298.42
35,0.0,682695.4,106894.76
32,0.11,693493.6,102163.45
22,0.11,719265.69,87248.65
30,0.0,696171.13,99138.13
34,0.0,685407.98,105330.74
39,0.0,671745.91,113209.07
37,0.0,677241.03,110040.13
24,0.0,711768.87,90176.78
28,0.11,704043.6,96048.39
33,0.11,690810.19,103715.17
34,0.11,688112.45,105273.11
29,0.0,698822.38,97614.05
19,0.0,724193.47,83119.47
39,0.11,674497.21,113150.16
36,0.0,679975.42,108463.56
35,0.11,685407.79,106836.97
36,0.11,682694.63,108405.52
24,0.11,714305.17,90124.25
30,0.11,698821.49,99081.78
29,0.11,701443.03,97558.72
25,0.0,709211.79,91640.16
17,0.0,729007.12,80431.01
27,0.0,704052.19,94604.68
21,0.11,721746.95,85838.33
17,0.1,731348.63,80385.95
15,0.1,735856.9,77826.11
16,0.0,731351.74,79129.2
26,0.0,706635.66,93117.35
27,0.11,706634.87,94550.48
12,0.1,741968.04,74357.13
15,0.0,733631.23,77866.99
23,0.0,714307.02,88727.85
25,0.11,711766.82,91587.02
16,0.1,733630.97,79086.42
23,0.11,716809.53,88676.65
13,0.0,737988.63,75487.23
18,0.1,729005.92,81719.04
14,0.0,735858.64,76648.19
20,0.0,721753.91,84493.07
18,0.0,726606.33,81766.39
13,0.1,739997.64,75452.83
10,0.1,745622.78,72353.49
14,0.1,737973.48,76611.18
9,0.0,745628.39,71491.85
12,0.0,740016.16,74389.13
11,0.1,743835.95,73320.19
9,0.1,747300.68,71470.32
11,0.0,741971.28,73348.92
35,0.08,684654.65,106852.91
10,0.0,743850.35,72378.49
8,0.0,747308.4,70701.12
19,0.06,725686.64,83089.77
23,0.08,716099.53,88691.09
40,0.08,671041.56,114757.87
5,0.03,752430.81,69096.9
4,0.0,753667.48,68936.15
35,0.03,683494.17,106877.6
24,0.06,713262.3,90145.69
40,0.05,670110.99,114777.72
15,0.05,734736.64,77846.55
37,0.01,677561.72,110033.19
6,0.0,750568.13,69476.15
12,0.06,741210.7,74369.38
25,0.03,709928.47,91625.13
27,0.08,706028.99,94563.13
20,0.03,722425.39,84479.54
16,0.02,731699.54,79122.66
7,0.05,749603.84,70018.43
27,0.03,704904.77,94586.57
26,0.02,707045.66,93108.7
26,0.05,707887.11,93091.07
31,0.08,695502.86,100632.54
33,0.02,688623.68,103761.65
17,0.02,729376.88,80423.83
37,0.06,678673.03,110009.21
6,0.03,750940.45,69473.84
18,0.06,728014.23,81738.49
8,0.1,748931.76,70682.11
23,0.03,714943.36,88714.73
7,0.0,748952.43,70024.58
12,0.03,740636.44,74378.79
13,0.02,738411.83,75479.85
39,0.1,674210.05,113156.26
10,0.06,744978.49,72362.42
28,0.1,703882.2,96051.79
15,0.08,735373.77,77834.92
19,0.03,724920.4,83104.96
15,0.02,734021.78,77859.76
6,0.1,751805.92,69469.01
21,0.06,720797.82,85857.35
25,0.06,710657.02,91610.0
20,0.08,723551.57,84457.15
29,0.08,700741.26,97573.43
36,0.01,680302.2,108456.52
30,0.01,696395.39,99133.36
24,0.1,714091.27,90128.64
7,0.11,750550.31,70010.17
29,0.03,699571.29,97598.09
28,0.06,702914.41,96071.98
11,0.06,743183.52,73330.16
5,0.0,752098.94,69097.22
30,0.04,697220.82,99115.77
36,0.04,681046.76,108440.6
21,0.04,720158.47,85870.16
18,0.1,728863.56,81721.86
32,0.09,692950.35,102174.94
17,0.09,731004.33,80392.5
9,0.03,746145.4,71485.06
14,0.07,737408.08,76620.83
16,0.06,732645.0,79104.8
21,0.1,721537.69,85842.53
6,0.12,752070.34,69467.74
38,0.03,675296.69,111605.03
38,0.07,676192.1,111585.7
17,0.05,730220.65,80407.49
32,0.06,692253.25,102189.75
38,0.06,675946.91,111590.99
14,0.05,736866.06,76630.29
39,0.06,673184.38,113178.11
39,0.06,673350.55,113174.53
18,0.03,727389.38,81750.86
30,0.07,697967.15,99099.84
13,0.08,739582.16,75459.84
22,0.03,717494.3,87284.4
34,0.07,687236.18,105291.65
39,0.03,672455.47,113193.78
40,0.03,669689.22,114786.8
22,0.06,718130.46,87271.47
36,0.08,682074.39,108418.67
13,0.06,739143.82,75467.3
37,0.1,679630.39,109988.76
29,0.01,698946.97,97611.41
28,0.02,701965.55,96092.09
30,0.05,697396.33,99112.0
34,0.05,686567.22,105305.9
7,0.09,750259.8,70012.66
35,0.1,685267.13,106839.89
19,0.02,724578.17,83111.76
38,0.1,676879.58,111571.04
25,0.01,709339.41,91637.48
27,0.03,704764.39,94589.53
31,0.06,694949.69,100644.32
34,0.02,685870.9,105320.76
40,0.01,669325.16,114794.64
17,0.06,730381.35,80404.43
29,0.11,701368.64,97560.28
33,0.05,689327.72,103746.59
11,0.03,742586.56,73339.3
34,0.04,686492.79,105307.47
20,0.06,723101.18,84466.05
9,0.07,746757.46,71477.16
22,0.02,717314.38,87288.12
33,0.07,689915.26,103734.02
25,0.1,711580.87,91590.84
23,0.1,716589.5,88681.12
31,0.03,694157.89,100661.26
33,0.1,690598.21,103719.65
14,0.03,736510.94,76636.56
22,0.09,718812.18,87257.75
16,0.08,733097.05,79096.37
26,0.08,708681.21,93074.44
20,0.0,721801.91,84492.08
14,0.02,736196.23,76642.13
11,0.09,743607.83,73323.64
29,0.06,700307.54,97582.54
8,0.03,747855.6,70694.4
32,0.02,691420.35,102207.58
7,0.0,748960.54,70024.5
27,0.01,704189.9,94601.73
36,0.07,681804.96,108424.38
24,0.04,712709.27,90157.18
32,0.05,692022.34,102194.72
18,0.05,727660.89,81745.48
31,0.05,694710.47,100649.41
39,0.02,672128.95,113200.76
12,0.0,740049.12,74388.6
36,0.1,682576.24,108408.0
10,0.03,744467.99,72369.58
27,0.09,706214.56,94559.27
9,0.06,746605.64,71479.07
23,0.0,714366.9,88726.57
28,0.05,702755.68,96075.34
