N_PV_hh,E_BESS_cap_kwh,annual_cost_total_eur,annual_emissions_total_kg,E_TESS_cap_kwh
40,0.0,123578.12,46869.12,0.0
1,0.0,214807.38,16846.95,40.0
40,0.0,123578.12,46869.12,0.0
8,0.0,198779.32,19517.76,37.94
2,0.0,181599.06,19531.03,0.0
2,0.0,210129.81,16850.02,40.0
1,0.0,214804.67,16848.87,39.98
40,0.13,125078.33,46833.7,0.0
20,0.13,154984.3,30418.52,0.0
28,0.0,141548.25,36901.03,0.0
30,0.13,140038.87,38509.35,0.0
14,0.0,162435.08,25848.79,0.0
32,0.0,135572.89,40194.96,0.0
39,0.13,126581.33,45994.57,0.0
27,0.13,144526.33,36048.74,0.0
16,0.0,159460.49,27349.07,0.0
37,0.0,128084.0,44355.2,0.0
25,0.13,147518.66,34421.32,0.0
19,0.13,156464.35,29633.14,0.0
6,0.15,175506.26,20600.68,0.0
31,0.13,138555.97,39333.7,0.0
36,0.0,129582.63,43520.06,0.0
38,0.13,128081.02,45156.42,0.0
26,0.0,144533.37,35268.31,0.0
27,0.0,143041.68,36083.19,0.0
9,0.0,169842.61,22359.52,0.0
16,0.13,160949.08,27315.35,0.0
35,0.0,131081.05,42686.39,0.0
24,0.0,147522.48,33647.03,0.0
29,0.0,140055.34,37721.24,0.0
13,0.0,163918.19,25117.5,0.0
3,0.02,179123.86,19574.9,0.0
26,0.13,146025.23,35233.56,0.0
38,0.0,126582.87,45191.71,0.0
15,0.13,162434.23,26559.51,0.0
23,0.0,149016.88,32842.0,0.0
12,0.0,165395.47,24401.7,0.0
33,0.0,134076.54,41023.72,0.0
22,0.0,150511.54,32040.73,0.0
34,0.13,134051.25,41819.66,0.0
2,0.0,181599.06,19531.03,0.0
25,0.0,146026.45,34456.03,0.0
37,0.13,129577.34,44320.08,0.0
18,0.13,157958.63,28854.52,0.0
39,0.0,125080.81,46029.95,0.0
36,0.13,131073.03,43485.08,0.0
34,0.0,132579.84,41854.14,0.0
14,0.13,163912.52,25815.88,0.0
35,0.13,132576.54,42651.34,0.0
31,0.0,137066.92,39368.56,0.0
33,0.13,135570.42,40988.76,0.0
32,0.13,137064.58,40160.05,0.0
28,0.13,143037.7,36866.42,0.0
29,0.13,141546.03,37686.41,0.0
30,0.0,138560.72,38544.01,0.0
21,0.0,152003.4,31244.15,0.0
11,0.0,166869.79,23702.45,0.0
22,0.13,152001.57,32006.34,0.0
24,0.13,149015.09,33612.55,0.0
20,0.0,153494.55,30452.81,0.0
23,0.13,150505.03,32807.59,0.0
21,0.13,153490.36,31209.85,0.0
7,0.0,172806.45,21146.27,0.0
19,0.0,154987.19,29667.21,0.0
18,0.0,156475.71,28888.4,0.0
7,0.14,174108.23,21122.71,0.0
17,0.0,157966.63,28115.65,0.0
17,0.13,159457.98,28081.58,0.0
3,0.25,208600.06,17010.98,40.0
15,0.0,160949.29,26592.95,0.0
13,0.13,165383.1,25085.46,0.0
12,0.13,166853.93,24370.56,0.0
11,0.13,168318.4,23672.01,0.0
8,0.0,171324.06,21730.25,0.0
10,0.0,168350.89,23020.36,0.0
8,0.14,172725.59,21703.62,0.0
10,0.14,169835.28,22989.85,0.0
9,0.14,171300.85,22330.62,0.0
5,0.0,175783.59,20163.6,0.0
6,0.0,174293.32,20619.9,0.0
7,0.0,200198.51,19021.03,36.61
5,0.15,176891.28,20148.83,0.0
7,0.0,200439.21,18772.15,40.0
37,0.04,128560.15,44344.03,0.0
28,0.07,142305.72,36883.55,0.0
2,0.0,209933.27,16991.09,38.49
9,0.08,170689.08,22342.52,0.0
4,0.0,177317.21,19801.45,0.0
5,0.0,203116.56,18161.67,34.54
40,0.06,124267.18,46852.83,0.0
34,0.08,133539.89,41831.56,0.0
4,0.24,178836.41,19789.19,0.0
19,0.08,155919.98,29645.48,0.0
18,0.04,156924.61,28878.09,0.0
5,0.0,203556.19,17741.69,40.0
3,0.1,207785.95,17015.97,39.99
6,0.06,202523.21,18215.42,40.0
22,0.09,151536.1,32016.92,0.0
15,0.09,161984.5,26569.54,0.0
5,0.1,204382.97,17732.8,39.94
29,0.04,140570.05,37709.05,0.0
6,0.0,174314.98,20619.54,0.0
14,0.08,163366.61,25827.9,0.0
4,0.13,206167.23,17315.93,40.0
35,0.08,132048.01,42663.6,0.0
17,0.13,159438.39,28082.06,0.0
17,0.03,158318.45,28107.54,0.0
27,0.08,143951.67,36062.11,0.0
7,0.06,201001.93,18760.78,40.0
39,0.08,126051.69,46006.95,0.0
11,0.06,167561.91,23687.75,0.0
31,0.06,137721.43,39353.09,0.0
6,0.0,201586.37,18624.12,34.7
18,0.11,157767.89,28858.78,0.0
5,0.15,204806.62,17724.19,39.97
22,0.02,150730.2,32035.62,0.0
15,0.02,161225.94,26591.08,0.01
37,0.13,129557.22,44320.57,0.0
36,0.07,130350.17,43501.97,0.0
8,0.06,199529.48,19357.38,40.0
4,0.0,204973.08,17565.59,37.03
29,0.13,141518.23,37687.07,0.0
35,0.02,131348.17,42680.06,0.0
34,0.0,132601.57,41853.66,0.0
20,0.05,154039.01,30440.09,0.0
16,0.07,160224.25,27331.54,0.0
12,0.08,166249.3,24383.36,0.0
6,0.0,201483.71,18725.59,33.32
4,0.1,177971.25,19795.12,0.0
38,0.06,127266.5,45175.58,0.0
19,0.02,155168.94,29662.91,0.0
33,0.06,134752.08,41007.73,0.0
39,0.04,125490.24,46020.2,0.0
27,0.03,143394.94,36074.93,0.0
4,0.06,205670.19,17325.88,39.95
21,0.06,152670.57,31228.62,0.0
3,0.01,207278.35,17019.22,40.0
5,0.0,203299.69,17985.0,36.83
13,0.07,164661.04,25101.11,0.0
7,0.0,199978.11,19258.64,33.32
7,0.0,200025.49,19205.11,34.08
3,0.0,206853.99,17300.56,36.74
12,0.04,165874.76,24391.42,0.0
8,0.01,198912.88,19440.67,38.98
31,0.09,138154.84,39342.96,0.0
25,0.08,146985.47,34433.56,0.0
25,0.06,146684.38,34440.58,0.0
4,0.15,178283.74,19792.6,0.0
3,0.0,179045.07,19574.98,0.0
21,0.13,153475.69,31210.24,0.0
33,0.13,135561.0,40989.02,0.0
6,0.0,201798.5,18407.92,37.58
38,0.1,127708.46,45165.13,0.0
8,0.03,199220.08,19363.88,40.0
32,0.09,136617.83,40170.37,0.0
30,0.06,139220.93,38528.41,0.0
7,0.07,173427.12,21134.73,0.0
11,0.13,168277.84,23672.87,0.0
24,0.08,148406.98,33626.46,0.0
13,0.05,164437.12,25106.03,0.0
3,0.0,207095.2,17106.51,39.01
28,0.13,143004.24,36867.14,0.0
36,0.13,131062.01,43485.33,0.0
13,0.13,165338.42,25086.4,0.0
10,0.05,168917.72,23008.55,0.0
10,0.07,169127.29,23004.21,0.0
5,0.0,203425.2,17865.85,38.38
10,0.13,169796.48,22990.64,0.0
4,0.0,205239.17,17328.46,40.0
8,0.12,172551.61,21706.85,0.0
40,0.01,123712.16,46865.89,0.0
6,0.0,201978.98,18232.03,39.91
11,0.03,167200.22,23695.71,0.0
38,0.02,126786.98,45186.96,0.0
30,0.07,139363.33,38525.0,0.0
32,0.06,136231.62,40179.39,0.0
7,0.08,173567.9,21132.16,0.0
8,0.02,171555.08,21725.7,0.0
5,0.06,176235.47,20157.31,0.0
6,0.0,201757.3,18449.72,37.03
30,0.0,138561.27,38543.99,0.0
25,0.01,146152.53,34453.03,0.0
31,0.0,137086.23,39368.09,0.0
24,0.03,147853.44,33639.37,0.0
23,0.02,149285.12,32835.68,0.0
26,0.04,144948.75,35258.53,0.0
5,0.11,176657.67,20151.75,0.0
4,0.0,205101.59,17471.94,38.19
4,0.0,177319.19,19801.42,0.0
21,0.05,152572.45,31230.89,0.0
9,0.13,171243.17,22331.73,0.0
23,0.09,150061.08,32817.74,0.0
24,0.12,148922.6,33614.59,0.0
12,0.13,166832.34,24370.99,0.0
33,0.05,134644.85,41010.23,0.0
26,0.11,145731.22,35240.24,0.0
21,0.0,152051.65,31243.01,0.0
33,0.01,134178.88,41021.27,0.0
10,0.0,168361.31,23020.13,0.0
26,0.08,145452.22,35246.96,0.0
