utc_timestamp,FR_heat_demand_space_SFH,FR_heat_demand_water,FR_COP_ASHP_water,FR_COP_GSHP_floor
2015-07-15 00:00:00+00:00,27.6,277.9,"2,93","6,33"
2015-07-15 01:00:00+00:00,40.1,308.6,"2,92","6,33"
2015-07-15 02:00:00+00:00,72.0,510.6,"2,9","6,32"
2015-07-15 03:00:00+00:00,166.4,1034.9,"2,93","6,32"
2015-07-15 04:00:00+00:00,208.2,1334.2,"3,02","6,34"
2015-07-15 05:00:00+00:00,191.4,1264.6,"3,13","6,34"
2015-07-15 06:00:00+00:00,153.7,984.4,"3,23","6,34"
2015-07-15 07:00:00+00:00,151.5,944.3,"3,31","6,34"
2015-07-15 08:00:00+00:00,129.6,884.2,"3,4","6,34"
2015-07-15 09:00:00+00:00,122.4,866.9,"3,46","6,34"
2015-07-15 10:00:00+00:00,112.2,837.7,"3,52","6,34"
2015-07-15 11:00:00+00:00,100.4,692.6,"3,57","6,34"
2015-07-15 12:00:00+00:00,95.6,661.4,"3,6","6,34"
2015-07-15 13:00:00+00:00,90.6,603.7,"3,63","6,34"
2015-07-15 14:00:00+00:00,101.1,633.3,"3,63","6,34"
2015-07-15 15:00:00+00:00,108.6,715.1,"3,61","6,34"
2015-07-15 16:00:00+00:00,115.3,717.5,"3,57","6,34"
2015-07-15 17:00:00+00:00,129.4,769.3,"3,47","6,34"
2015-07-15 18:00:00+00:00,131.0,807.0,"3,33","6,34"
2015-07-15 19:00:00+00:00,111.6,722.3,"3,23","6,34"
2015-07-15 20:00:00+00:00,77.5,544.0,"3,17","6,34"
2015-07-15 21:00:00+00:00,36.7,332.9,"3,12","6,34"
2015-07-15 22:00:00+00:00,10.7,239.6,"3,08","6,34"
2015-07-15 23:00:00+00:00,12.1,280.1,"3,04","6,34"
