utc_timestamp,FR_heat_demand_space_SFH,FR_heat_demand_water,FR_COP_ASHP_water,FR_COP_GSHP_floor
2015-10-15 00:00:00+00:00,1375.8,292.3,"2,37","4,89"
2015-10-15 01:00:00+00:00,1541.1,325.6,"2,36","4,88"
2015-10-15 02:00:00+00:00,1939.9,541.0,"2,36","4,88"
2015-10-15 03:00:00+00:00,2682.3,1102.9,"2,36","4,86"
2015-10-15 04:00:00+00:00,3308.2,1425.5,"2,36","4,85"
2015-10-15 05:00:00+00:00,3162.0,1349.5,"2,37","4,85"
2015-10-15 06:00:00+00:00,2973.9,1051.1,"2,4","4,94"
2015-10-15 07:00:00+00:00,2745.3,1008.2,"2,44","5,03"
2015-10-15 08:00:00+00:00,2568.2,943.5,"2,48","5,15"
2015-10-15 09:00:00+00:00,2412.1,926.0,"2,5","5,24"
2015-10-15 10:00:00+00:00,2374.1,895.1,"2,52","5,3"
2015-10-15 11:00:00+00:00,2430.8,740.2,"2,53","5,36"
2015-10-15 12:00:00+00:00,2503.5,707.1,"2,53","5,37"
2015-10-15 13:00:00+00:00,2647.7,645.6,"2,52","5,35"
2015-10-15 14:00:00+00:00,2766.5,678.2,"2,5","5,29"
2015-10-15 15:00:00+00:00,2901.0,766.7,"2,47","5,2"
2015-10-15 16:00:00+00:00,3008.2,768.7,"2,45","5,1"
2015-10-15 17:00:00+00:00,3029.8,823.8,"2,42","5,04"
2015-10-15 18:00:00+00:00,2874.7,863.6,"2,41","4,99"
2015-10-15 19:00:00+00:00,2528.6,772.7,"2,39","4,95"
2015-10-15 20:00:00+00:00,1776.9,579.5,"2,38","4,91"
2015-10-15 21:00:00+00:00,1342.6,353.4,"2,36","4,85"
2015-10-15 22:00:00+00:00,1294.2,267.5,"2,35","4,81"
2015-10-15 23:00:00+00:00,1360.6,299.1,"2,35","4,77"
