utc_timestamp,FR_heat_demand_space_SFH,FR_heat_demand_water,FR_COP_ASHP_water,FR_COP_GSHP_floor
2015-04-15 00:00:00+00:00,257.8,290.2,"2,6","5,51"
2015-04-15 01:00:00+00:00,321.2,323.3,"2,58","5,44"
2015-04-15 02:00:00+00:00,482.3,537.5,"2,56","5,38"
2015-04-15 03:00:00+00:00,850.1,1096.0,"2,54","5,32"
2015-04-15 04:00:00+00:00,924.3,1417.4,"2,6","5,44"
2015-04-15 05:00:00+00:00,934.8,1341.7,"2,76","5,84"
2015-04-15 06:00:00+00:00,809.5,1044.7,"2,91","6,15"
2015-04-15 07:00:00+00:00,774.5,1002.5,"3,05","6,24"
2015-04-15 08:00:00+00:00,663.5,938.0,"3,15","6,27"
2015-04-15 09:00:00+00:00,583.3,920.5,"3,23","6,28"
2015-04-15 10:00:00+00:00,530.5,889.7,"3,29","6,28"
2015-04-15 11:00:00+00:00,538.9,735.8,"3,31","6,28"
2015-04-15 12:00:00+00:00,526.2,703.3,"3,33","6,28"
2015-04-15 13:00:00+00:00,548.4,641.5,"3,33","6,28"
2015-04-15 14:00:00+00:00,576.2,674.8,"3,3","6,28"
2015-04-15 15:00:00+00:00,587.2,762.6,"3,25","6,28"
2015-04-15 16:00:00+00:00,666.1,764.6,"3,15","6,27"
2015-04-15 17:00:00+00:00,748.2,819.0,"3,02","6,26"
2015-04-15 18:00:00+00:00,726.7,859.2,"2,94","6,23"
2015-04-15 19:00:00+00:00,633.6,768.6,"2,86","6,19"
2015-04-15 20:00:00+00:00,467.7,576.2,"2,81","6,15"
2015-04-15 21:00:00+00:00,262.0,350.9,"2,77","6,08"
2015-04-15 22:00:00+00:00,221.6,255.8,"2,74","5,96"
2015-04-15 23:00:00+00:00,237.9,298.3,"2,7","5,87"
