N_PV_hh,E_BESS_cap_kwh,annual_cost_total_eur,annual_emissions_total_kg,E_TESS_cap_kwh
40,0.0,22662.91,9252.9,0.0
40,0.0,22662.91,9252.9,0.0
1,0.0,40852.23,3213.54,40.0
1,0.0,40852.23,3213.54,40.0
2,0.0,34540.98,3765.32,0.0
8,0.0,37507.4,3764.47,37.7
2,0.0,39918.1,3215.41,40.0
37,0.0,23568.5,8749.61,0.0
31,0.13,25677.91,7744.06,0.0
39,0.0,22965.52,9084.9,0.0
12,0.14,31426.15,4745.51,0.0
28,0.13,26582.2,7249.89,0.0
28,0.0,26281.0,7256.97,0.0
26,0.13,27182.77,6922.94,0.0
33,0.13,25075.99,8075.61,0.0
34,0.0,24473.06,8249.03,0.0
32,0.13,25376.32,7909.64,0.0
20,0.13,29001.56,5958.01,0.0
23,0.13,28090.07,6436.9,0.0
17,0.13,29911.33,5489.78,0.0
25,0.13,27486.57,6760.23,0.0
37,0.13,23867.55,8742.48,0.0
21,0.0,28393.94,6123.7,0.0
20,0.0,28698.53,5965.05,0.0
27,0.13,26882.88,7086.08,0.0
36,0.13,24171.76,8575.27,0.0
26,0.0,26884.14,6929.89,0.0
15,0.13,30515.64,5184.69,0.0
11,0.14,31729.71,4605.25,0.0
38,0.0,23267.05,8917.12,0.0
18,0.0,29305.16,5651.36,0.0
12,0.0,31124.28,4751.97,0.0
32,0.0,25076.42,7916.72,0.0
36,0.0,23869.71,8582.43,0.0
29,0.0,25979.67,7421.33,0.0
22,0.0,28091.11,6283.31,0.0
40,0.13,22963.93,9245.71,0.0
14,0.13,30819.0,5035.7,0.0
31,0.0,25377.47,7751.12,0.0
2,0.0,34540.98,3765.32,0.0
19,0.13,29299.8,5800.59,0.0
3,0.04,34050.6,3776.59,0.0
38,0.13,23567.03,8909.96,0.0
35,0.0,24171.81,8415.6,0.0
39,0.13,23266.31,9077.71,0.0
35,0.13,24472.33,8408.45,0.0
33,0.0,24774.24,8082.73,0.0
34,0.13,24773.69,8241.89,0.0
27,0.0,26582.21,7093.12,0.0
30,0.0,25678.1,7586.03,0.0
25,0.0,27185.43,6767.25,0.0
19,0.0,29002.32,5807.46,0.0
29,0.13,26280.83,7414.22,0.0
30,0.13,25978.96,7578.93,0.0
24,0.0,27486.95,6605.14,0.0
8,0.16,32668.39,4208.71,0.0
24,0.13,27788.66,6598.14,0.0
23,0.0,27789.3,6443.86,0.0
22,0.13,28392.39,6276.35,0.0
21,0.13,28696.43,6116.67,0.0
18,0.13,29607.11,5644.38,0.0
17,0.0,29608.46,5496.71,0.0
15,0.0,30214.41,5191.49,0.0
16,0.0,29911.52,5343.24,0.0
14,0.0,30517.6,5042.45,0.0
16,0.13,30212.5,5336.35,0.0
10,0.0,31734.95,4474.68,0.0
6,0.16,33255.54,3985.52,0.0
13,0.0,30820.78,4895.7,0.0
11,0.0,31427.86,4611.64,0.0
13,0.14,31122.88,4889.12,0.0
10,0.14,32028.54,4468.58,0.0
9,0.0,32042.55,4341.97,0.0
9,0.14,32332.77,4336.11,0.0
8,0.0,32354.07,4214.77,0.0
7,0.16,32967.93,4090.65,0.0
3,0.24,39570.09,3250.12,40.0
7,0.0,32671.62,4096.12,0.0
6,0.09,38338.76,3497.49,39.91
2,0.0,39869.49,3248.74,38.19
4,0.0,33628.81,3823.95,0.0
8,0.06,37660.57,3728.86,39.97
5,0.0,33300.4,3897.49,0.0
12,0.05,31230.09,4749.67,0.0
37,0.09,23779.86,8744.59,0.0
39,0.06,23108.27,9081.49,0.0
35,0.08,24355.55,8411.21,0.0
6,0.0,32987.06,3989.87,0.0
3,0.07,39397.5,3251.04,40.0
33,0.08,24965.62,8078.16,0.0
5,0.16,33546.33,3894.16,0.0
5,0.0,38510.08,3411.71,39.19
8,0.1,32545.61,4211.0,0.0
7,0.0,37770.21,3699.56,33.96
40,0.05,22783.17,9250.03,0.0
