N_PV_hh,E_BESS_cap_kwh,annual_cost_total_eur,annual_emissions_total_kg,E_TESS_cap_kwh
40,0.0,119959.8,46705.77,0.0
1,0.0,211500.99,16677.6,40.0
40,0.0,119959.8,46705.77,0.0
1,0.0,211500.99,16677.6,40.0
8,0.0,194900.94,19371.48,37.55
2,0.0,178927.1,19393.33,0.0
1,0.0,211500.56,16677.92,40.0
2,0.0,206789.12,16679.47,40.0
33,0.0,130490.6,40862.91,0.0
38,0.0,122972.83,45029.1,0.0
39,0.13,122970.49,45831.2,0.0
20,0.13,151546.49,30260.71,0.0
29,0.13,137991.1,37526.2,0.0
33,0.13,131990.74,40827.59,0.0
25,0.13,144011.98,34262.07,0.0
13,0.0,160581.78,24967.06,0.0
27,0.13,140997.12,35888.52,0.0
12,0.13,163550.63,24220.92,0.0
3,0.01,176306.83,19438.47,0.0
10,0.0,165102.8,22872.95,0.0
2,0.0,206566.71,16838.8,38.29
24,0.13,145497.65,33454.07,0.0
26,0.13,142505.62,35073.92,0.0
16,0.0,156066.79,27195.13,0.0
37,0.13,125978.68,44157.48,0.0
27,0.0,139505.32,35923.36,0.0
36,0.13,127478.04,43323.08,0.0
32,0.13,133488.81,39999.09,0.0
2,0.0,178927.1,19393.33,0.0
30,0.13,136499.19,38348.25,0.0
19,0.0,151548.45,29510.32,0.0
36,0.0,125979.12,43358.43,0.0
31,0.0,133494.03,39208.01,0.0
23,0.13,147019.45,32648.94,0.0
16,0.13,157557.38,27161.26,0.0
38,0.13,124473.91,44993.53,0.0
15,0.13,159064.03,26405.93,0.0
35,0.0,127483.14,42525.15,0.0
39,0.0,121467.51,45866.81,0.0
40,0.13,121464.41,46670.1,0.0
26,0.0,141005.25,35108.96,0.0
25,0.0,142508.41,34297.11,0.0
22,0.0,147022.74,31882.86,0.0
37,0.0,124476.7,44192.96,0.0
32,0.0,131993.89,40034.2,0.0
14,0.13,160572.08,25663.88,0.0
29,0.0,136499.25,37561.29,0.0
35,0.13,128985.48,42489.73,0.0
17,0.0,154558.84,27960.83,0.0
30,0.0,134996.15,38383.64,0.0
34,0.0,128987.01,41693.25,0.0
11,0.14,165085.3,23523.09,0.0
34,0.13,130487.36,41657.91,0.0
31,0.13,134994.78,39172.75,0.0
28,0.0,138002.49,36740.93,0.0
14,0.0,159077.03,25697.2,0.0
21,0.13,150033.95,31051.79,0.0
28,0.13,139499.66,36705.88,0.0
23,0.0,145517.74,32683.79,0.0
24,0.0,144013.0,33488.51,0.0
15,0.0,157572.18,26439.63,0.0
22,0.13,148522.93,31848.01,0.0
17,0.13,156064.66,27926.36,0.0
21,0.0,148528.14,31086.68,0.0
20,0.0,150038.65,30295.53,0.0
18,0.0,153052.49,28732.48,0.0
18,0.13,154557.99,28697.8,0.0
19,0.13,153044.85,29475.73,0.0
6,0.0,171252.87,20475.73,0.0
13,0.14,162081.8,24934.39,0.0
11,0.0,163584.37,23554.64,0.0
3,0.13,204499.38,16842.49,40.0
9,0.14,168126.49,22183.91,0.0
7,0.0,169706.39,20999.68,0.0
12,0.0,162082.86,24252.29,0.0
10,0.14,166622.08,22841.64,0.0
7,0.16,171221.26,20972.23,0.0
4,0.12,202507.01,17143.21,39.99
9,0.0,166625.92,22213.86,0.0
8,0.0,168157.75,21583.81,0.0
