generation,best_cost_eur,best_emissions_kg
1,156665.39,16989.35
2,156665.39,16817.7
3,150965.5,16817.7
4,147879.6,16794.98
5,145157.35,16714.4
6,143695.49,16714.4
7,131505.3,16703.52
8,127342.59,16690.17
9,125316.0,16690.17
10,124885.82,16690.17
11,124885.82,16688.37
12,123566.77,16684.13
13,122644.92,16684.13
14,121051.06,16682.71
15,120084.12,16682.71
16,120084.12,16682.71
17,120078.29,16680.14
18,120039.71,16680.14
19,120039.71,16679.79
20,120039.71,16679.79
21,120035.6,16679.79
22,119998.64,16679.79
23,119997.78,16679.79
24,119995.79,16679.79
25,119995.79,16678.01
26,119995.79,16678.01
27,119960.94,16678.01
28,119960.94,16678.01
29,119960.94,16677.98
30,119960.94,16677.98
31,119960.94,16677.98
32,119960.94,16677.92
33,119960.94,16677.91
34,119960.94,16677.72
35,119960.94,16677.72
36,119960.78,16677.72
37,119960.78,16677.72
38,119960.78,16677.72
39,119960.78,16677.72
40,119960.78,16677.72
41,119960.78,16677.72
42,119959.84,16677.72
43,119959.84,16677.72
44,119959.8,16677.72
45,119959.8,16677.72
46,119959.8,16677.72
47,119959.8,16677.72
48,119959.8,16677.72
49,119959.8,16677.72
50,119959.8,16677.72
51,119959.8,16677.6
52,119959.8,16677.6
53,119959.8,16677.6
54,119959.8,16677.6
55,119959.8,16677.6
56,119959.8,16677.6
57,119959.8,16677.6
58,119959.8,16677.6
59,119959.8,16677.6
60,119959.8,16677.6
