generation,best_cost_eur,best_emissions_kg
1,365941.58,27755.52
2,350222.89,27755.3
3,350222.89,27749.02
4,334843.31,27747.86
5,334843.31,27706.77
6,332603.01,27688.08
7,326179.27,27656.85
8,313693.77,27647.16
9,313201.52,27609.35
10,311568.62,27586.29
11,308456.44,27584.76
12,307995.74,27584.76
13,307995.74,27584.76
14,307995.74,27580.45
15,307647.35,27580.45
16,307647.35,27580.45
17,307647.35,27580.16
18,307647.35,27576.0
19,307645.92,27576.0
20,307361.09,27576.0
21,307358.01,27575.0
22,307358.01,27574.4
23,307358.01,27574.4
24,307342.11,27574.4
25,307342.11,27574.4
26,307342.11,27574.4
27,307342.11,27574.4
28,307342.11,27574.07
29,307342.11,27574.07
30,307342.11,27574.07
31,307342.11,27574.07
32,307336.0,27574.07
33,307332.57,27574.07
34,307332.57,27574.07
35,307332.57,27574.07
36,307332.57,27574.07
37,307332.57,27574.07
38,307332.12,27574.07
39,307332.12,27574.07
40,307332.12,27574.07
41,307332.1,27574.07
42,307332.1,27574.07
43,307331.95,27574.07
44,307331.95,27574.07
45,307331.95,27574.07
46,307331.95,27574.07
47,307331.92,27574.07
48,307331.32,27574.07
49,307331.32,27574.07
50,307331.32,27574.07
51,307331.32,27574.07
52,307331.32,27574.07
53,307331.32,27574.07
54,307331.32,27574.07
55,307331.32,27574.07
56,307331.32,27574.07
57,307331.32,27574.07
58,307331.32,27574.07
59,307331.32,27574.07
60,307331.32,27574.07
