N_PV_hh,E_BESS_cap_kwh,annual_cost_total_eur,annual_emissions_total_kg,E_TESS_cap_kwh
1,0.0,42299.26,3335.59,40.0
40,0.0,24011.66,9346.09,0.0
1,0.0,42299.26,3335.59,40.0
40,0.0,24011.66,9346.09,0.0
8,0.0,38993.21,3877.39,37.28
2,0.0,35784.34,3879.13,0.0
2,0.0,41356.36,3335.84,40.0
27,0.0,27919.83,7188.51,0.0
16,0.0,31230.13,5441.85,0.0
17,0.13,31230.04,5588.2,0.0
36,0.0,25215.79,8676.24,0.0
32,0.0,26419.03,8011.03,0.0
34,0.13,26116.84,8335.93,0.0
26,0.13,28518.05,7018.54,0.0
30,0.13,27319.4,7673.68,0.0
40,0.13,24313.03,9338.94,0.0
20,0.13,30324.2,6055.36,0.0
37,0.13,25214.48,8836.16,0.0
39,0.0,24313.82,9178.21,0.0
39,0.13,24614.69,9171.08,0.0
25,0.13,28820.05,6856.1,0.0
24,0.0,28820.67,6701.26,0.0
3,0.01,35258.61,3888.15,0.0
38,0.0,24614.84,9010.57,0.0
28,0.0,27619.81,7352.1,0.0
29,0.0,27319.61,7516.23,0.0
38,0.13,24914.9,9003.46,0.0
22,0.13,29721.14,6373.0,0.0
12,0.14,32730.61,4846.24,0.0
19,0.13,30624.17,5898.31,0.0
2,0.0,35784.34,3879.13,0.0
14,0.0,31831.71,5141.93,0.0
25,0.0,28520.38,6863.07,0.0
22,0.0,29422.57,6379.91,0.0
28,0.13,27917.8,7345.13,0.0
35,0.0,25517.09,8509.49,0.0
18,0.13,30927.15,5742.62,0.0
13,0.0,32132.22,4995.71,0.0
33,0.13,26417.03,8169.81,0.0
23,0.0,29121.88,6540.27,0.0
37,0.0,24915.4,8843.25,0.0
24,0.13,29117.21,6694.4,0.0
34,0.0,25817.46,8343.0,0.0
35,0.13,25816.86,8502.4,0.0
33,0.0,26117.78,8176.87,0.0
36,0.13,25516.13,8669.14,0.0
26,0.0,28220.44,7025.48,0.0
30,0.0,27018.55,7680.77,0.0
31,0.0,26718.77,7845.69,0.0
31,0.13,27017.99,7838.66,0.0
32,0.13,26717.88,8003.99,0.0
29,0.13,27617.79,7509.21,0.0
27,0.13,28218.97,7181.53,0.0
21,0.0,29723.26,6220.57,0.0
23,0.13,29421.98,6533.33,0.0
19,0.0,30326.53,5905.18,0.0
8,0.0,33642.44,4318.52,0.0
21,0.13,30022.61,6213.65,0.0
20,0.0,30025.43,6062.26,0.0
18,0.0,30627.04,5749.5,0.0
17,0.0,30928.66,5595.07,0.0
9,0.0,33337.89,4444.53,0.0
