N_PV_hh,E_BESS_cap_kwh,annual_cost_total_eur,annual_emissions_total_kg
40,0.0,358272.33,58684.71
40,0.0,358272.33,58684.71
4,0.0,399409.22,36184.24
4,0.0,399409.22,36184.24
16,0.0,388888.83,41049.19
19,0.0,385414.19,43007.93
25,0.11,379337.62,47183.69
21,0.0,383014.71,44372.27
30,0.11,372989.04,50887.12
39,0.11,360999.74,57864.61
24,0.0,379340.72,46486.83
35,0.0,365051.96,54758.08
34,0.0,366395.04,53981.1
33,0.11,369062.12,53179.41
38,0.11,362354.26,57076.47
31,0.11,371687.5,51645.05
39,0.0,359639.49,57893.75
29,0.11,374270.66,50135.87
19,0.1,386592.81,42984.73
37,0.11,363704.44,56291.58
21,0.1,384218.12,44348.28
26,0.11,378087.55,47912.61
27,0.11,376826.19,48648.08
36,0.11,365050.49,55509.24
37,0.0,362354.8,56320.27
40,0.11,359633.4,58655.57
36,0.0,363704.81,55537.79
38,0.0,361000.39,57105.36
32,0.0,369065.21,52437.04
23,0.1,381794.54,45749.48
34,0.11,367731.59,53952.78
33,0.0,367731.91,53207.69
32,0.11,370384.79,52409.02
35,0.11,366394.35,54729.61
30,0.0,371693.12,50914.33
28,0.0,374277.45,49415.74
31,0.0,370384.9,51672.48
16,0.1,389982.32,41028.99
29,0.0,372989.11,50162.7
26,0.0,376826.44,47938.74
28,0.11,375553.85,49389.09
27,0.0,375556.76,48674.51
22,0.0,381798.72,45069.61
25,0.0,378088.09,47209.38
24,0.11,380574.72,46461.73
23,0.0,380575.99,45774.13
12,0.1,393942.36,38738.08
22,0.1,383013.01,45045.19
17,0.1,388887.51,41663.74
20,0.0,384221.21,43684.94
20,0.1,385413.31,43661.51
13,0.09,393009.06,39268.21
18,0.0,386599.43,42338.97
18,0.1,387759.91,42316.57
14,0.1,392046.96,39827.14
15,0.0,389984.96,40433.46
11,0.0,393942.74,38250.1
17,0.0,387761.41,41684.93
16,0.08,389744.09,41033.31
14,0.0,391041.0,39844.31
15,0.1,391040.72,40414.64
9,0.0,395662.15,37360.86
13,0.0,392047.75,39284.25
12,0.0,393011.98,38752.82
31,0.06,371162.42,51656.03
11,0.1,394823.53,38237.08
9,0.09,396435.88,37351.12
5,0.0,398675.04,36246.77
4,0.0,399408.62,36184.25
10,0.0,394830.7,37783.72
11,0.03,394230.08,38245.78
7,0.0,397216.8,36667.77
31,0.02,370594.28,51668.01
10,0.1,395661.21,37772.6
7,0.11,397959.34,36661.64
28,0.07,375082.95,49398.84
8,0.0,396447.05,36985.91
34,0.07,367245.44,53962.94
34,0.04,366898.23,53970.33
23,0.03,380907.89,45767.39
23,0.06,381285.63,45759.75
35,0.04,365529.0,54747.84
8,0.1,397203.55,36977.7
39,0.07,360575.67,57873.59
6,0.0,397970.98,36414.42
40,0.08,359223.45,58664.31
18,0.05,387152.93,42328.21
38,0.1,362222.28,57079.27
26,0.03,377166.72,47931.69
22,0.08,382710.52,45051.23
15,0.08,390809.46,40418.7
24,0.07,380144.5,46470.41
11,0.09,394734.57,38238.36
19,0.05,385975.96,42996.82
13,0.04,392409.06,39278.17
12,0.05,393477.57,38745.35
36,0.08,364688.77,55516.88
37,0.04,362837.13,56309.95
36,0.03,364042.99,55530.6
27,0.02,375857.37,48668.21
24,0.02,379594.66,46481.6
29,0.06,373754.01,50146.6
18,0.0,386617.12,42338.61
29,0.03,373339.1,50155.31
31,0.09,371533.9,51648.23
27,0.05,376189.5,48661.31
21,0.06,383694.56,44358.66
29,0.09,374121.72,50138.99
20,0.08,385114.76,43667.34
22,0.04,382300.68,45059.47
28,0.04,374808.52,49404.6
25,0.07,378895.42,47192.76
38,0.06,361748.62,57089.37
34,0.01,366561.57,53977.51
7,0.06,397655.72,36664.02
37,0.0,362374.8,56319.81
26,0.07,377643.84,47921.74
20,0.06,384878.45,43671.97
35,0.01,365216.25,54754.56
26,0.05,377450.98,47925.74
28,0.1,375548.07,49389.18
39,0.05,360209.63,57881.47
34,0.1,367595.65,53955.65
12,0.0,393053.92,38752.1
12,0.06,393609.19,38743.28
10,0.04,395144.99,37779.43
26,0.09,377932.97,47915.78
15,0.01,390073.86,40431.83
7,0.04,397461.93,36665.63
36,0.05,364270.03,55525.74
14,0.04,391465.99,39836.94
39,0.1,360851.79,57867.81
18,0.06,387317.47,42325.03
36,0.06,364470.32,55521.49
29,0.05,373583.81,50150.16
18,0.1,387692.36,42317.85
33,0.08,368708.18,53186.9
37,0.07,363225.79,56301.7
37,0.05,362921.41,56308.18
17,0.03,388044.94,41679.55
14,0.06,391695.74,39833.04
35,0.07,365881.6,54740.42
15,0.04,390428.37,40425.46
33,0.06,368505.45,53191.17
37,0.1,363617.32,56293.42
32,0.03,369400.04,52429.87
36,0.11,365019.74,55509.88
21,0.03,383365.45,44365.24
9,0.03,395908.78,37357.69
6,0.11,398625.51,36411.41
33,0.09,368895.31,53183.0
15,0.04,390427.75,40425.49
27,0.07,376380.26,48657.29
14,0.08,391852.24,39830.39
30,0.0,371725.72,50913.63
13,0.07,392751.12,39272.4
32,0.09,370170.87,52413.51
25,0.01,378248.54,47206.04
40,0.05,358896.49,58671.27
6,0.03,398150.07,36413.54
30,0.03,372041.27,50906.97
26,0.0,376847.95,47938.27
13,0.06,392658.3,39274.01
36,0.0,363723.72,55537.38
5,0.0,398674.22,36246.79
25,0.04,378534.62,47200.14
40,0.1,359516.47,58658.1
13,0.01,392103.76,39283.29
32,0.0,369091.62,52436.48
35,0.1,366231.34,54733.07
30,0.05,372288.55,50901.77
29,0.01,373053.06,50161.3
23,0.0,380609.18,45773.47
20,0.04,384633.61,43676.77
10,0.09,395634.98,37772.94
38,0.04,361467.1,57095.37
35,0.08,366038.18,54737.12
23,0.09,381577.78,45753.88
21,0.04,383454.72,44363.46
10,0.06,395330.34,37776.97
19,0.08,386313.83,42990.17
27,0.08,376539.62,48654.01
20,0.02,384456.44,43680.27
8,0.06,396891.85,36980.97
38,0.02,361298.09,57098.98
40,0.0,358293.5,58684.23
17,0.05,388300.2,41674.75
10,0.0,394862.39,37783.29
30,0.09,372748.16,50892.17
37,0.08,363335.6,56299.42
8,0.09,397101.92,36978.78
19,0.07,386226.73,42991.88
38,0.0,361005.79,57105.22
20,0.1,385396.08,43661.81
40,0.02,358582.09,58678.05
9,0.07,396223.04,37353.74
25,0.06,378772.84,47195.26
30,0.06,372466.09,50898.07
40,0.05,358838.57,58672.53
21,0.08,383973.26,44353.15
