generation,best_cost_eur,best_emissions_kg
1,360675.72,36341.75
2,360675.72,36299.1
3,359306.69,36289.79
4,359306.69,36246.9
5,359306.69,36227.54
6,358317.13,36190.21
7,358317.13,36190.21
8,358317.13,36190.21
9,358287.69,36185.24
10,358287.69,36185.24
11,358278.6,36185.24
12,358278.6,36185.24
13,358278.6,36184.26
14,358273.2,36184.26
15,358273.2,36184.26
16,358272.54,36184.25
17,358272.54,36184.25
18,358272.36,36184.25
19,358272.33,36184.25
20,358272.33,36184.25
21,358272.33,36184.25
22,358272.33,36184.25
23,358272.33,36184.25
24,358272.33,36184.25
25,358272.33,36184.24
26,358272.33,36184.24
27,358272.33,36184.24
28,358272.33,36184.24
29,358272.33,36184.24
30,358272.33,36184.24
31,358272.33,36184.24
32,358272.33,36184.24
33,358272.33,36184.24
34,358272.33,36184.24
35,358272.33,36184.24
36,358272.33,36184.24
37,358272.33,36184.24
38,358272.33,36184.24
39,358272.33,36184.24
40,358272.33,36184.24
41,358272.33,36184.24
42,358272.33,36184.24
43,358272.33,36184.24
44,358272.33,36184.24
45,358272.33,36184.24
46,358272.33,36184.24
47,358272.33,36184.24
48,358272.33,36184.24
49,358272.33,36184.24
50,358272.33,36184.24
51,358272.33,36184.24
52,358272.33,36184.24
53,358272.33,36184.24
54,358272.33,36184.24
55,358272.33,36184.24
56,358272.33,36184.24
57,358272.33,36184.24
58,358272.33,36184.24
59,358272.33,36184.24
60,358272.33,36184.24
