N_PV_hh,E_BESS_cap_kwh,E_TESS_cap_kwh,annual_cost_total_eur,annual_emissions_total_kg
1,0.0,40.0,4230.45,333.55
1,0.0,40.0,4230.45,333.55
40,0.0,0.0,2377.99,928.58
40,0.0,0.0,2377.99,928.58
8,0.0,37.21,3886.15,387.42
2,0.0,0.0,3581.84,387.62
2,0.0,40.0,4138.54,333.9
1,0.0,39.82,4229.97,333.89
30,0.0,0.0,2679.44,762.82
32,0.13,0.0,2648.72,794.99
40,0.13,0.0,2407.93,927.84
31,0.13,0.0,2678.64,778.53
31,0.0,0.0,2649.27,779.24
30,0.13,0.0,2708.98,762.1
29,0.13,0.0,2738.96,745.73
36,0.13,0.0,2528.5,861.17
28,0.0,0.0,2739.79,730.11
28,0.13,0.0,2769.08,729.4
23,0.0,0.0,2890.89,649.48
25,0.13,0.0,2859.88,680.79
27,0.13,0.0,2800.09,713.12
23,0.13,0.0,2920.87,648.78
24,0.13,0.0,2890.16,664.74
26,0.13,0.0,2829.38,696.93
32,0.0,0.0,2619.08,795.71
19,0.13,0.0,3042.95,585.77
33,0.0,0.0,2588.97,812.2
29,0.0,0.0,2709.6,746.44
20,0.0,0.0,2982.22,602.07
16,0.14,0.0,3134.61,539.98
25,0.0,0.0,2830.41,681.49
15,0.0,0.0,3135.45,525.79
22,0.0,0.0,2921.25,633.6
22,0.13,0.0,2951.06,632.89
21,0.0,0.0,2951.68,617.79
19,0.0,0.0,3012.77,586.48
21,0.13,0.0,2981.34,617.09
15,0.13,0.0,3165.44,525.11
14,0.0,0.0,3165.97,511.14
17,0.0,0.0,3073.6,555.78
14,0.13,0.0,3195.9,510.47
16,0.0,0.0,3104.06,540.67
17,0.13,0.0,3103.78,555.08
13,0.14,0.0,3227.03,496.08
12,0.0,0.0,3227.35,482.63
12,0.14,0.0,3257.22,481.98
13,0.0,0.0,3196.61,496.75
7,0.0,33.83,3913.98,380.92
10,0.0,0.0,3289.85,455.38
10,0.15,0.0,3320.58,454.75
34,0.0,0.0,2558.87,828.73
8,0.0,0.0,3353.93,430.04
37,0.0,0.0,2468.45,878.53
8,0.15,0.0,3382.56,429.49
35,0.0,0.0,2528.74,845.3
11,0.0,0.0,3258.45,468.83
38,0.0,0.0,2438.29,895.19
35,0.13,0.0,2558.69,844.57
6,0.1,39.98,3973.89,360.69
18,0.0,0.0,3043.19,571.06
38,0.13,0.0,2468.14,894.46
34,0.13,0.0,2588.65,828.01
37,0.13,0.0,2498.33,877.8
7,0.08,40.0,3938.98,371.39
3,0.08,0.0,3534.37,388.73
3,0.59,40.0,4134.76,337.15
5,0.15,0.0,3473.07,399.59
7,0.0,37.76,3920.17,374.97
4,0.01,0.0,3487.06,393.1
3,0.0,0.0,3526.28,388.77
4,0.0,35.54,4021.96,350.64
4,0.12,40.0,4046.7,343.14
39,0.0,0.0,2408.14,911.87
36,0.0,0.0,2498.6,861.9
6,0.0,36.54,3951.52,366.23
27,0.0,0.0,2769.98,713.83
6,0.15,0.0,3442.39,408.21
39,0.13,0.0,2438.12,911.13
33,0.13,0.0,2618.73,811.48
26,0.0,0.0,2800.18,697.63
20,0.13,0.0,3012.09,601.36
4,0.15,35.52,4042.05,350.42
24,0.0,0.0,2860.64,665.45
2,0.0,0.0,3581.59,387.63
11,0.15,0.0,3289.81,468.16
5,0.0,39.73,3991.67,351.78
18,0.13,0.0,3073.46,570.35
3,0.15,40.0,4093.38,337.22
7,0.18,0.0,3418.08,418.12
9,0.0,0.0,3321.64,442.38
6,0.0,39.97,3957.08,361.0
6,0.05,0.0,3426.35,408.46
9,0.15,0.0,3351.6,441.78
7,0.0,0.0,3386.22,418.71
3,0.11,40.0,4089.18,337.25
3,0.0,37.24,4070.45,342.09
5,0.0,0.0,3450.67,399.88
4,0.0,0.0,3485.38,393.11
11,0.12,0.0,3283.22,468.29
5,0.0,40.0,3992.1,351.38
