N_PV_hh,E_BESS_cap_kwh,annual_cost_total_eur,annual_emissions_total_kg,E_TESS_cap_kwh
10,12.4,258464.99,14590.2,40.0
40,0.0,123578.12,25616.68,0.0
40,0.0,123578.12,25616.68,0.0
10,12.4,258464.99,14590.2,40.0
32,0.0,135572.89,23193.01,0.0
32,0.13,137060.67,23158.2,0.0
31,0.13,138540.7,22863.37,0.0
13,0.0,191273.02,15997.86,38.63
26,0.13,146004.85,21419.92,0.0
38,0.13,128082.1,24966.6,0.0
17,0.0,157966.64,19083.37,0.0
17,0.13,159437.2,19049.8,0.0
28,0.0,141548.25,22024.33,0.0
14,0.0,189846.15,16117.53,39.98
16,0.0,186775.6,16635.88,38.9
24,0.0,147522.48,20895.57,0.0
22,0.13,151981.15,20317.93,0.0
34,0.0,132579.84,23789.57,0.0
24,0.13,149002.28,20861.35,0.0
17,0.1,186445.2,16778.92,39.98
38,0.0,126582.87,25001.9,0.0
36,0.13,131074.19,24357.87,0.0
39,0.13,126578.12,25273.54,0.0
33,0.0,134076.54,23490.47,0.0
37,0.0,128084.0,24696.7,0.0
11,0.0,194363.56,15532.96,39.96
20,0.0,153494.55,19826.59,0.0
19,0.0,154987.19,19572.3,0.0
39,0.0,125080.81,25308.83,0.0
14,0.0,189761.75,16213.3,38.52
18,0.13,157965.43,19290.73,0.0
21,0.0,152003.4,20086.62,0.0
27,0.0,143041.68,21737.8,0.0
36,0.0,129582.64,24392.87,0.0
19,0.13,156474.36,19538.02,0.0
33,0.13,135569.62,23455.55,0.0
10,0.0,195810.78,15456.38,38.68
40,0.13,125079.71,25581.23,0.0
7,3.13,221403.73,14798.4,40.0
35,0.0,131081.05,24090.51,0.0
37,0.13,129582.57,24661.46,0.0
10,0.0,168350.89,17707.25,0.0
7,0.99,208248.22,14931.94,40.0
35,0.13,132577.02,24055.42,0.0
30,0.0,138560.72,22604.69,0.0
9,11.66,255352.59,14595.39,40.0
28,0.13,143041.26,21989.61,0.0
34,0.13,134075.86,23754.52,0.0
30,0.13,140040.86,22569.96,0.0
23,0.0,149016.87,20621.85,0.0
29,0.13,141544.61,22278.43,0.0
31,0.0,137066.92,22897.93,0.0
29,0.0,140055.34,22313.23,0.0
8,6.1,236598.18,14683.85,40.0
9,8.35,245663.11,14643.38,39.97
10,0.13,169754.66,17678.41,0.0
27,0.13,144530.28,21703.22,0.0
25,0.0,146026.45,21173.26,0.0
14,0.0,162435.08,18410.44,0.0
26,0.0,144533.38,21454.23,0.0
11,0.0,166869.91,17858.03,0.0
7,0.6,177896.15,17345.88,0.0
25,0.13,147505.38,21138.86,0.0
15,0.05,188907.9,16324.56,40.0
7,1.76,213253.72,14874.82,39.98
8,5.03,232029.65,14710.18,39.98
23,0.13,150494.19,20587.71,0.0
22,0.0,150511.55,20351.9,0.0
13,0.05,191901.17,15894.75,40.0
10,0.13,197262.38,15344.19,39.9
21,0.13,153481.08,20052.55,0.0
16,0.13,160935.91,18814.68,0.0
9,10.09,251097.82,14609.24,40.0
20,0.13,154980.97,19792.35,0.0
8,0.0,198947.35,15119.23,40.0
14,0.13,163895.33,18377.93,0.0
18,0.0,156475.71,19324.81,0.0
17,0.0,185226.6,16962.79,37.43
18,0.07,184650.38,17030.4,40.0
18,0.0,183816.73,17054.7,39.92
8,6.89,239527.38,14674.63,40.0
16,0.0,159460.49,18848.09,0.0
7,2.63,218535.15,14821.93,40.0
9,10.82,253109.66,14599.31,39.99
7,1.45,211313.36,14896.26,39.98
8,0.11,200055.72,15097.06,39.99
15,0.0,160949.29,18623.28,0.0
9,7.94,244277.09,14651.12,40.0
10,11.66,256534.34,14592.42,40.0
16,0.07,187656.77,16547.64,40.0
9,10.91,253350.47,14598.1,40.0
8,0.0,198829.2,15213.44,38.68
15,0.13,162422.91,18590.1,0.0
8,7.75,242531.63,14666.07,39.99
8,5.29,233256.25,14701.67,39.98
8,4.11,227188.43,14750.38,40.0
13,0.0,163918.19,18210.46,0.0
8,6.44,237898.03,14679.95,39.99
7,0.01,200545.25,15055.2,39.94
7,0.82,179459.72,17324.73,0.0
12,0.12,194213.11,15686.58,39.94
7,1.26,210051.28,14909.83,39.99
8,4.67,230232.2,14725.53,39.98
7,3.46,223236.46,14785.24,39.99
8,7.32,241080.57,14670.22,40.0
10,12.08,257629.82,14590.34,40.0
7,0.47,176869.57,17360.6,0.0
17,0.0,185307.8,16828.75,39.58
40,0.13,125075.13,25581.36,0.0
38,0.04,127073.97,24990.38,0.0
8,8.05,243543.99,14663.5,39.97
35,0.0,131136.48,24089.17,0.0
34,0.06,133241.22,23773.97,0.0
7,0.5,204706.98,14980.6,39.99
13,0.13,165362.46,18178.86,0.0
20,0.08,154376.19,19806.04,0.0
24,0.07,148272.33,20878.08,0.0
31,0.0,137067.94,22897.87,0.0
37,0.03,128395.84,24689.29,0.0
26,0.02,144723.47,21449.74,0.0
9,0.13,171200.23,17550.78,0.0
7,3.74,224753.3,14774.58,39.99
18,0.07,157249.82,19306.96,0.0
12,0.0,165395.47,18025.97,0.0
22,0.05,151129.61,20337.44,0.0
25,0.0,146052.38,21172.67,0.0
13,0.12,192661.11,15878.36,39.99
25,0.13,147481.34,21139.45,0.0
15,0.05,161566.69,18609.25,0.0
7,2.46,217505.91,14831.54,39.99
7,2.92,220188.56,14808.62,39.99
35,0.13,132573.15,24055.51,0.0
7,0.16,174298.43,17400.33,0.0
12,0.13,166844.04,17995.03,0.0
9,9.31,248780.4,14624.1,39.97
7,2.84,219720.19,14812.45,39.99
7,2.14,215631.89,14850.81,39.98
8,3.88,225828.31,14763.92,39.99
8,5.68,234924.92,14691.99,39.98
33,0.04,134573.35,23478.84,0.0
