N_PV_hh,E_BESS_cap_kwh,annual_cost_total_eur,annual_emissions_total_kg
40,0.0,71677.58,11739.92
40,0.0,71677.58,11739.92
4,0.0,79887.21,7236.8
4,0.0,79887.21,7236.8
39,0.11,72223.06,11575.83
28,0.11,75132.5,9880.16
36,0.11,73031.86,11104.75
33,0.0,73568.34,10644.24
29,0.11,74875.92,10029.59
30,0.0,74360.07,10185.39
16,0.0,77795.87,8211.41
30,0.11,74618.71,10179.95
26,0.1,75637.93,9584.6
28,0.0,74877.14,9885.47
37,0.11,72762.82,11261.24
18,0.0,77338.62,8469.26
32,0.11,74097.94,10484.55
31,0.11,74359.56,10331.63
16,0.1,78013.82,8207.38
23,0.0,76136.73,9156.45
19,0.1,77338.46,8598.48
26,0.0,75387.21,9589.78
40,0.11,71950.61,11734.07
38,0.0,72223.53,11423.94
35,0.0,73033.35,10954.43
39,0.0,71951.57,11581.66
20,0.0,76864.31,8738.54
29,0.0,74619.91,10034.92
32,0.0,73835.32,10490.11
38,0.11,72492.79,11418.2
36,0.0,72763.48,11110.45
37,0.0,72493.82,11266.96
25,0.11,75889.01,9438.64
34,0.11,73568.01,10793.38
34,0.0,73301.23,10799.03
35,0.11,73301.04,10948.76
33,0.11,73834.37,10638.59
23,0.1,76379.91,9151.55
17,0.1,77794.32,8334.3
31,0.0,74098.94,10337.11
27,0.11,75387.09,9731.81
27,0.0,75132.63,9737.09
15,0.1,78224.84,8084.53
24,0.0,75889.12,9299.14
25,0.0,75639.17,9443.75
22,0.1,76622.11,9010.65
11,0.1,78978.41,7648.54
24,0.11,76135.86,9294.15
22,0.0,76380.59,9015.51
21,0.0,76623.17,8876.0
14,0.1,78425.11,7966.95
19,0.0,77101.89,8603.15
21,0.1,76862.56,8871.24
18,0.1,77570.97,8464.77
20,0.1,77101.12,8733.86
10,0.1,79144.83,7555.58
17,0.0,77570.99,8338.48
12,0.09,78799.67,7748.92
14,0.0,78225.1,7970.36
15,0.0,78013.98,8088.3
12,0.0,78617.82,7751.82
10,0.0,78979.83,7557.79
11,0.0,78802.51,7651.14
13,0.09,78617.79,7854.97
13,0.0,78425.88,7858.2
9,0.0,79145.16,7473.13
8,0.0,79300.95,7397.93
27,0.06,75273.57,9734.09
8,0.1,79447.25,7396.32
5,0.01,79748.84,7249.39
9,0.09,79299.6,7471.18
38,0.06,72372.76,11420.75
4,0.0,79887.12,7236.81
39,0.08,72142.22,11577.53
23,0.05,76257.09,9154.02
24,0.03,75957.12,9297.74
22,0.07,76553.47,9012.01
13,0.03,78481.77,7857.24
7,0.0,79453.43,7334.13
38,0.03,72298.7,11422.32
32,0.02,73889.93,10488.89
27,0.03,75205.2,9735.57
35,0.08,73227.34,10950.31
23,0.09,76357.1,9151.99
31,0.06,74239.88,10334.11
6,0.11,79739.31,7282.54
18,0.03,77407.14,8467.92
13,0.07,78576.19,7855.65
40,0.03,71741.42,11738.51
27,0.1,75382.44,9731.88
40,0.07,71854.11,11736.12
19,0.08,77280.81,8599.6
39,0.05,72069.86,11579.12
36,0.04,72855.57,11108.44
11,0.05,78892.37,7649.79
16,0.04,77885.74,8209.7
32,0.06,73978.6,10487.0
22,0.04,76465.64,9013.77
36,0.09,72984.89,11105.78
7,0.11,79600.93,7332.91
33,0.07,73746.82,10640.44
12,0.01,78644.41,7751.39
34,0.08,73504.6,10794.7
37,0.05,72618.14,11264.35
14,0.07,78378.84,7967.69
24,0.07,76046.81,9295.94
33,0.05,73681.44,10641.86
6,0.0,79602.69,7283.17
29,0.08,74820.6,10030.7
17,0.08,77750.56,8335.1
8,0.06,79391.13,7396.92
10,0.05,79063.52,7556.64
