generation,best_cost_eur,best_emissions_kg
1,72159.28,7268.26
2,71700.46,7268.26
3,71700.46,7245.8
4,71700.46,7242.95
5,71700.46,7240.53
6,71700.46,7236.92
7,71684.62,7236.92
8,71684.62,7236.92
9,71684.62,7236.92
10,71679.93,7236.92
11,71679.93,7236.92
12,71678.11,7236.81
13,71678.0,7236.81
14,71677.97,7236.81
15,71677.69,7236.81
16,71677.69,7236.81
17,71677.69,7236.81
18,71677.69,7236.81
19,71677.69,7236.81
20,71677.69,7236.81
21,71677.69,7236.81
22,71677.69,7236.81
23,71677.69,7236.81
24,71677.69,7236.81
25,71677.69,7236.81
26,71677.58,7236.81
27,71677.58,7236.8
28,71677.58,7236.8
29,71677.58,7236.8
30,71677.58,7236.8
31,71677.58,7236.8
32,71677.58,7236.8
33,71677.58,7236.8
34,71677.58,7236.8
35,71677.58,7236.8
36,71677.58,7236.8
37,71677.58,7236.8
38,71677.58,7236.8
39,71677.58,7236.8
40,71677.58,7236.8
41,71677.58,7236.8
42,71677.58,7236.8
43,71677.58,7236.8
44,71677.58,7236.8
45,71677.58,7236.8
46,71677.58,7236.8
47,71677.58,7236.8
48,71677.58,7236.8
49,71677.58,7236.8
50,71677.58,7236.8
51,71677.58,7236.8
52,71677.58,7236.8
53,71677.58,7236.8
54,71677.58,7236.8
55,71677.58,7236.8
56,71677.58,7236.8
57,71677.58,7236.8
58,71677.58,7236.8
59,71677.58,7236.8
60,71677.58,7236.8
