N_PV_hh,E_BESS_cap_kwh,E_TESS_cap_kwh,annual_cost_total_eur,annual_emissions_total_kg
39.39912692525627,0.17744997921349093,9.923912969551253,9198.131600000153,416.62780000000095
39.86692573859778,29.594268786773988,23.73900079408066,13609.413000000168,388.891900000001
39.86692573859778,29.939230687146544,24.24931036635106,13609.413000000168,388.891900000001
39.39673178642313,0.1775848575313516,9.923912969551253,9198.131600000153,416.62780000000095
39.88290899771918,21.958306341985093,26.214959816358128,12871.617300000176,392.88260000000133
39.37295106295165,3.8224655165146264,30.71571837659107,9899.797900000149,413.2894
39.441307020610544,24.350280246824635,21.2489124614386,13175.450900000169,390.74610000000064
39.89854498803126,12.644900313167442,24.80317351566813,11650.070800000174,404.38320000000107
39.89854498803126,11.879588798098052,24.80317351566813,11485.764800000165,405.79690000000085
39.364858171034676,10.057214358810326,12.934392221843058,11316.462400000159,407.1849000000013
39.9891934045734,15.343814323903635,31.28481023002977,12113.868100000178,399.9214000000013
39.8398978427137,1.4992613992881019,22.64813262228089,9434.664300000153,415.2198999999998
39.9891934045734,17.907223742375496,32.49487016121735,12393.991000000173,397.18380000000093
39.89854498803126,14.00263001922414,24.790064429264405,11964.660900000186,401.37310000000105
39.62149932183287,18.297781955238772,21.435254684323436,12524.18910000017,395.9461000000011
39.38259001248755,9.901398509797957,21.672911831883255,11138.339500000151,408.43490000000077
39.974659156347265,14.646753414740099,10.34628555120742,11964.660900000186,401.37310000000105
39.62143813391403,18.024288783408135,32.03142013220515,12524.18910000017,395.9461000000011
39.36437810280473,1.0289022225341418,30.693397902856095,9434.664300000153,415.2198999999998
39.62149932183287,5.219541515543336,28.894667219608394,10328.932600000146,411.8052000000001
