Timestamp,Mean,Median
2023-04-15 00:00:00+00:00,297.76,158.0
2023-04-15 01:00:00+00:00,254.02666666666667,136.0
2023-04-15 02:00:00+00:00,235.70666666666668,132.0
2023-04-15 03:00:00+00:00,209.14666666666668,144.0
2023-04-15 04:00:00+00:00,220.9333333333333,140.0
2023-04-15 05:00:00+00:00,231.81333333333333,148.0
2023-04-15 06:00:00+00:00,304.50666666666666,174.0
2023-04-15 07:00:00+00:00,319.14666666666665,184.0
2023-04-15 08:00:00+00:00,351.25333333333333,244.0
2023-04-15 09:00:00+00:00,472.7733333333333,234.0
2023-04-15 10:00:00+00:00,517.36,280.0
2023-04-15 11:00:00+00:00,551.28,324.0
2023-04-15 12:00:00+00:00,591.76,308.0
2023-04-15 13:00:00+00:00,541.7333333333333,268.0
2023-04-15 14:00:00+00:00,420.50666666666666,270.0
2023-04-15 15:00:00+00:00,369.94666666666666,246.0
2023-04-15 16:00:00+00:00,355.5466666666667,248.0
2023-04-15 17:00:00+00:00,357.97333333333336,218.0
2023-04-15 18:00:00+00:00,553.0133333333333,316.0
2023-04-15 19:00:00+00:00,520.32,290.0
2023-04-15 20:00:00+00:00,552.1066666666667,280.0
2023-04-15 21:00:00+00:00,434.9066666666667,264.0
2023-04-15 22:00:00+00:00,389.12,238.0
2023-04-15 23:00:00+00:00,340.53333333333336,188.0
