Timestamp,Mean,Median
2023-01-15 00:00:00+00:00,265.6060606060606,171.0
2023-01-15 01:00:00+00:00,259.6060606060606,155.0
2023-01-15 02:00:00+00:00,272.4848484848485,158.0
2023-01-15 03:00:00+00:00,251.6969696969697,150.0
2023-01-15 04:00:00+00:00,243.2121212121212,151.0
2023-01-15 05:00:00+00:00,247.9090909090909,151.0
2023-01-15 06:00:00+00:00,233.03030303030303,169.0
2023-01-15 07:00:00+00:00,254.0606060606061,186.0
2023-01-15 08:00:00+00:00,380.030303030303,251.0
2023-01-15 09:00:00+00:00,535.7575757575758,302.0
2023-01-15 10:00:00+00:00,556.8484848484849,336.0
2023-01-15 11:00:00+00:00,654.6060606060606,430.0
2023-01-15 12:00:00+00:00,684.4545454545455,313.0
2023-01-15 13:00:00+00:00,627.939393939394,309.0
2023-01-15 14:00:00+00:00,549.8484848484849,269.0
2023-01-15 15:00:00+00:00,414.45454545454544,340.0
2023-01-15 16:00:00+00:00,414.3030303030303,272.0
2023-01-15 17:00:00+00:00,551.1515151515151,387.0
2023-01-15 18:00:00+00:00,714.969696969697,478.0
2023-01-15 19:00:00+00:00,747.3636363636364,471.0
2023-01-15 20:00:00+00:00,578.8484848484849,483.0
2023-01-15 21:00:00+00:00,541.6363636363636,331.0
2023-01-15 22:00:00+00:00,420.0,261.0
2023-01-15 23:00:00+00:00,324.969696969697,215.0
