N_PV_hh,E_BESS_cap_kwh,E_TESS_cap_kwh,annual_cost_total_eur,annual_emissions_total_kg
21,0.11,0.0,2976.0,617.22
6,0.0,34.15,3947.7,369.87
28,0.11,0.0,2764.08,729.55
39,0.07,0.0,2424.62,911.46
18,0.01,0.0,3045.6,571.01
4,0.18,40.0,4054.61,343.02
16,0.12,0.0,3131.51,540.04
4,0.0,37.98,4026.66,346.65
37,0.08,0.0,2486.18,878.1
40,0.02,0.0,2383.64,928.4
10,0.06,0.0,3301.83,455.13
8,0.11,0.0,3374.97,429.64
5,0.0,39.34,3991.12,352.37
19,0.05,0.0,3025.13,586.22
12,0.02,0.0,3231.12,482.55
35,0.09,0.0,2548.71,844.79
18,0.06,0.0,3058.12,570.7
22,0.11,0.0,2945.29,633.05
17,0.03,0.0,3081.17,555.58
18,0.1,0.0,3066.83,570.51
8,0.04,40.0,3898.86,383.23
8,0.0,39.85,3889.71,383.65
34,0.08,0.0,2577.72,828.24
38,0.04,0.0,2448.26,894.89
29,0.06,0.0,2723.57,746.08
33,0.03,0.0,2595.51,812.01
4,0.13,40.0,4048.94,343.11
32,0.09,0.0,2638.85,795.2
24,0.06,0.0,2873.54,665.15
5,0.0,35.14,3983.46,359.05
28,0.09,0.0,2760.05,729.61
5,0.14,0.0,3471.52,399.6
5,0.06,40.0,4001.53,351.21
8,0.09,0.0,3370.71,429.67
6,0.17,0.0,3445.22,408.17
35,0.04,0.0,2538.52,845.02
5,0.0,37.05,3986.92,356.01
24,0.01,0.0,2862.68,665.38
19,0.08,0.0,3030.94,586.02
25,0.11,0.0,2855.17,680.92
23,0.01,0.0,2894.14,649.42
5,0.06,0.0,3460.06,399.74
7,0.06,0.0,3397.24,418.49
33,0.1,0.0,2612.19,811.63
16,0.06,0.0,3117.17,540.37
5,0.08,0.0,3463.23,399.68
6,0.1,0.0,3435.26,408.31
19,0.04,0.0,3021.03,586.28
4,0.12,0.0,3500.81,392.96
14,0.02,0.0,3170.94,511.0
7,0.02,40.0,3926.99,371.63
16,0.03,0.0,3109.8,540.53
11,0.09,0.0,3276.71,468.4
6,0.0,37.91,3953.91,364.08
33,0.06,0.0,2603.49,811.86
11,0.07,0.0,3273.37,468.5
14,0.11,0.0,3190.22,510.61
39,0.06,0.0,2421.2,911.56
3,0.02,40.0,4079.21,337.29
10,0.12,0.0,3313.92,454.88
15,0.12,0.0,3163.01,525.16
6,0.0,39.86,3956.93,361.16
39,0.09,0.0,2428.12,911.36
7,0.12,0.0,3407.88,418.3
14,0.06,0.0,3179.26,510.83
22,0.06,0.0,2935.57,633.25
20,0.04,0.0,2991.81,601.79
17,0.06,0.0,3086.48,555.48
12,0.07,0.0,3242.75,482.29
6,0.13,40.0,3978.92,360.57
7,0.1,0.0,3404.41,418.37
24,0.1,0.0,2883.59,664.89
29,0.1,0.0,2732.35,745.89
29,0.08,0.0,2728.23,745.95
6,0.08,0.0,3431.54,408.33
4,0.0,35.56,4022.01,350.61
26,0.11,0.0,2824.9,697.05
33,0.11,0.0,2614.21,811.6
7,0.08,40.0,3939.0,371.39
20,0.12,0.0,3008.0,601.46
4,0.04,40.0,4036.91,343.24
3,0.08,40.0,4086.03,337.22
21,0.13,0.0,2980.01,617.13
7,0.08,0.0,3401.43,418.38
11,0.1,0.0,3279.83,468.35
36,0.01,0.0,2500.45,861.84
10,0.0,0.0,3290.36,455.36
3,0.0,39.15,4074.48,338.83
5,0.04,0.0,3456.44,399.78
3,0.03,0.0,3529.29,388.73
19,0.07,0.0,3027.88,586.11
3,0.0,37.3,4070.45,341.99
31,0.06,0.0,2662.49,778.92
