timestamp,hour,electricity_demand_kwh,total_electricity_consumption_kwh,thermal_demand_kwh,grid_supply_kwh,cost_grid_eur,total_cost_hour_eur,emissions_grid_kg,total_emissions_hour_kg,electric_boiler_heat_kwh,electric_boiler_electric_demand_kwh,cost_electric_boiler_eur,emissions_electric_boiler_kg
15.10,00:00,0.3572,2.0422,1.6681,2.0422,0.3662,0.6164,0.0408,0.0408,1.6681,1.6849,0.2502,0.0
15.10,01:00,0.3791,2.2646,1.8667,2.2646,0.406,0.686,0.0453,0.0453,1.8667,1.8856,0.28,0.0
15.10,02:00,0.3181,2.8241,2.4809,2.8241,0.5064,0.8785,0.0565,0.0565,2.4809,2.506,0.3721,0.0
15.10,03:00,0.4252,4.2487,3.7852,4.2487,0.7618,1.3296,0.085,0.085,3.7852,3.8234,0.5678,0.0
15.10,04:00,0.3854,5.1669,4.7337,5.1669,0.9264,1.6365,0.1033,0.1033,4.7337,4.7815,0.7101,0.0
15.10,05:00,0.5371,5.0942,4.5115,5.0942,0.9134,1.5901,0.1019,0.1019,4.5115,4.5571,0.6767,0.0
15.10,06:00,0.5919,4.6576,4.025,4.6576,0.8351,1.4389,0.0932,0.0932,4.025,4.0657,0.6038,0.0
15.10,07:00,0.5607,4.3521,3.7535,4.3521,0.7803,1.3434,0.087,0.087,3.7535,3.7914,0.563,0.0
15.10,08:00,0.6179,4.1651,3.5117,4.1651,0.7468,1.2736,0.0833,0.0833,3.5117,3.5472,0.5268,0.0
15.10,09:00,0.5566,3.9284,3.3381,3.9284,0.7044,1.2051,0.0786,0.0786,3.3381,3.3718,0.5007,0.0
15.10,10:00,0.6431,3.9453,3.2692,3.9453,0.7074,1.1978,0.0789,0.0789,3.2692,3.3022,0.4904,0.0
15.10,11:00,0.6253,3.8283,3.171,3.8283,0.6864,1.1621,0.0766,0.0766,3.171,3.203,0.4756,0.0
15.10,12:00,0.5607,3.8037,3.2106,3.8037,0.682,1.1636,0.0761,0.0761,3.2106,3.243,0.4816,0.0
15.10,13:00,0.5923,3.9188,3.2933,3.9188,0.7026,1.1966,0.0784,0.0784,3.2933,3.3266,0.494,0.0
15.10,14:00,0.6095,4.089,3.4447,4.089,0.7332,1.2499,0.0818,0.0818,3.4447,3.4795,0.5167,0.0
15.10,15:00,0.5926,4.2973,3.6677,4.2973,0.7705,1.3207,0.0859,0.0859,3.6677,3.7047,0.5502,0.0
15.10,16:00,0.6841,4.4991,3.7769,4.4991,0.8067,1.3732,0.09,0.09,3.7769,3.8151,0.5665,0.0
15.10,17:00,1.0383,4.9309,3.8536,4.9309,0.8841,1.4621,0.0986,0.0986,3.8536,3.8925,0.578,0.0
15.10,18:00,1.0665,4.8426,3.7383,4.8426,0.8683,1.429,0.0969,0.0969,3.7383,3.7761,0.5607,0.0
15.10,19:00,0.8833,4.2179,3.3013,4.2179,0.7563,1.2515,0.0844,0.0844,3.3013,3.3346,0.4952,0.0
15.10,20:00,0.8073,3.1875,2.3564,3.1875,0.5715,0.925,0.0637,0.0637,2.3564,2.3802,0.3535,0.0
15.10,21:00,0.7072,2.4204,1.696,2.4204,0.434,0.6884,0.0484,0.0484,1.696,1.7131,0.2544,0.0
15.10,22:00,0.6417,2.2192,1.5617,2.2192,0.3979,0.6322,0.0444,0.0444,1.5617,1.5775,0.2343,0.0
15.10,23:00,0.6731,2.3496,1.6597,2.3496,0.4213,0.6702,0.047,0.047,1.6597,1.6765,0.249,0.0
