timestamp,hour,electricity_demand_kwh,total_electricity_consumption_kwh,thermal_demand_kwh,grid_supply_kwh,cost_grid_eur,total_cost_hour_eur,emissions_grid_kg,total_emissions_hour_kg,gas_boiler_heat_kwh,cost_gas_boiler_eur,emissions_gas_boiler_kg
15.01,00:00,0.5297,0.5297,1.5144,0.5297,0.095,0.2946,0.0106,0.0413,1.5144,0.1997,0.0307
15.01,01:00,0.5112,0.5112,1.57,0.5112,0.0916,0.2986,0.0102,0.0421,1.57,0.207,0.0318
15.01,02:00,0.5284,0.5284,1.7635,0.5284,0.0947,0.3273,0.0106,0.0463,1.7635,0.2325,0.0358
15.01,03:00,0.5142,0.5142,2.3565,0.5142,0.0922,0.4029,0.0103,0.0581,2.3565,0.3107,0.0478
15.01,04:00,0.4759,0.4759,3.5746,0.4759,0.0853,0.5566,0.0095,0.082,3.5746,0.4713,0.0725
15.01,05:00,0.4847,0.4847,4.4679,0.4847,0.0869,0.676,0.0097,0.1003,4.4679,0.5891,0.0906
15.01,06:00,0.4754,0.4754,4.2527,0.4754,0.0852,0.6459,0.0095,0.0958,4.2527,0.5607,0.0863
15.01,07:00,0.5544,0.5544,3.7867,0.5544,0.0994,0.5987,0.0111,0.0879,3.7867,0.4993,0.0768
15.01,08:00,0.8199,0.8199,3.521,0.8199,0.147,0.6112,0.0164,0.0878,3.521,0.4642,0.0714
15.01,09:00,1.0871,1.0871,3.2915,1.0871,0.1949,0.6289,0.0217,0.0885,3.2915,0.434,0.0668
15.01,10:00,1.1957,1.1957,3.1292,1.1957,0.2144,0.627,0.0239,0.0874,3.1292,0.4126,0.0635
15.01,11:00,1.3944,1.3944,3.0709,1.3944,0.25,0.6549,0.0279,0.0902,3.0709,0.4049,0.0623
15.01,12:00,1.3549,1.3549,2.9765,1.3549,0.2429,0.6354,0.0271,0.0875,2.9765,0.3924,0.0604
15.01,13:00,1.1629,1.1629,3.0172,1.1629,0.2085,0.6063,0.0233,0.0845,3.0172,0.3978,0.0612
15.01,14:00,0.993,0.993,3.0989,0.993,0.178,0.5866,0.0199,0.0827,3.0989,0.4086,0.0629
15.01,15:00,0.7997,0.7997,3.2412,0.7997,0.1434,0.5707,0.016,0.0817,3.2412,0.4273,0.0657
15.01,16:00,0.9442,0.9442,3.4569,0.9442,0.1693,0.6251,0.0189,0.089,3.4569,0.4558,0.0701
15.01,17:00,1.1607,1.1607,3.5591,1.1607,0.2081,0.6774,0.0232,0.0954,3.5591,0.4693,0.0722
15.01,18:00,1.4858,1.4858,3.6272,1.4858,0.2664,0.7446,0.0297,0.1033,3.6272,0.4782,0.0736
15.01,19:00,1.4341,1.4341,3.5179,1.4341,0.2571,0.7209,0.0287,0.1,3.5179,0.4638,0.0714
15.01,20:00,1.137,1.137,3.1023,1.137,0.2039,0.6129,0.0227,0.0857,3.1023,0.409,0.0629
15.01,21:00,0.9736,0.9736,2.2131,0.9736,0.1746,0.4664,0.0195,0.0644,2.2131,0.2918,0.0449
15.01,22:00,0.8461,0.8461,1.5922,0.8461,0.1517,0.3616,0.0169,0.0492,1.5922,0.2099,0.0323
15.01,23:00,0.5964,0.5964,1.5173,0.5964,0.1069,0.307,0.0119,0.0427,1.5173,0.2,0.0308
