timestamp,hour,electricity_demand_kwh,total_electricity_consumption_kwh,thermal_demand_kwh,grid_supply_kwh,cost_grid_eur,total_cost_hour_eur,emissions_grid_kg,total_emissions_hour_kg,electric_boiler_heat_kwh,electric_boiler_electric_demand_kwh,cost_electric_boiler_eur,emissions_electric_boiler_kg
15.07,00:00,0.5461,0.8547,0.3055,0.8547,0.1532,0.1991,0.0171,0.0171,0.3055,0.3086,0.0458,0.0
15.07,01:00,0.561,0.9132,0.3487,0.9132,0.1637,0.216,0.0183,0.0183,0.3487,0.3522,0.0523,0.0
15.07,02:00,0.5177,1.1062,0.5826,1.1062,0.1983,0.2857,0.0221,0.0221,0.5826,0.5885,0.0874,0.0
15.07,03:00,0.5071,1.7205,1.2013,1.7205,0.3085,0.4887,0.0344,0.0344,1.2013,1.2134,0.1802,0.0
15.07,04:00,0.5353,2.0933,1.5424,2.0933,0.3753,0.6067,0.0419,0.0419,1.5424,1.558,0.2314,0.0
15.07,05:00,0.5046,1.9753,1.456,1.9753,0.3542,0.5726,0.0395,0.0395,1.456,1.4707,0.2184,0.0
15.07,06:00,0.5454,1.695,1.1381,1.695,0.3039,0.4746,0.0339,0.0339,1.1381,1.1496,0.1707,0.0
15.07,07:00,0.6738,1.7806,1.0958,1.7806,0.3193,0.4836,0.0356,0.0356,1.0958,1.1069,0.1644,0.0
15.07,08:00,0.6873,1.7113,1.0138,1.7113,0.3068,0.4589,0.0342,0.0342,1.0138,1.024,0.1521,0.0
15.07,09:00,0.6354,1.6347,0.9893,1.6347,0.2931,0.4415,0.0327,0.0327,0.9893,0.9993,0.1484,0.0
15.07,10:00,0.7139,1.6734,0.9499,1.6734,0.3,0.4425,0.0335,0.0335,0.9499,0.9595,0.1425,0.0
15.07,11:00,0.8872,1.6882,0.793,1.6882,0.3027,0.4217,0.0338,0.0338,0.793,0.801,0.119,0.0
15.07,12:00,0.8396,1.6043,0.757,1.6043,0.2876,0.4012,0.0321,0.0321,0.757,0.7646,0.1135,0.0
15.07,13:00,0.9576,1.6589,0.6943,1.6589,0.2974,0.4016,0.0332,0.0332,0.6943,0.7013,0.1041,0.0
15.07,14:00,0.7377,1.4795,0.7344,1.4795,0.2653,0.3754,0.0296,0.0296,0.7344,0.7418,0.1102,0.0
15.07,15:00,0.7798,1.6118,0.8237,1.6118,0.289,0.4125,0.0322,0.0322,0.8237,0.832,0.1236,0.0
15.07,16:00,0.8589,1.7001,0.8328,1.7001,0.3048,0.4298,0.034,0.034,0.8328,0.8412,0.1249,0.0
15.07,17:00,0.8008,1.7085,0.8987,1.7085,0.3063,0.4411,0.0342,0.0342,0.8987,0.9078,0.1348,0.0
15.07,18:00,0.8175,1.7649,0.938,1.7649,0.3165,0.4572,0.0353,0.0353,0.938,0.9475,0.1407,0.0
15.07,19:00,0.7574,1.5997,0.8339,1.5997,0.2868,0.4119,0.032,0.032,0.8339,0.8423,0.1251,0.0
15.07,20:00,0.8239,1.4516,0.6215,1.4516,0.2603,0.3535,0.029,0.029,0.6215,0.6278,0.0932,0.0
15.07,21:00,0.6615,1.0349,0.3696,1.0349,0.1855,0.241,0.0207,0.0207,0.3696,0.3733,0.0554,0.0
15.07,22:00,0.5571,0.8099,0.2503,0.8099,0.1452,0.1828,0.0162,0.0162,0.2503,0.2528,0.0375,0.0
15.07,23:00,0.5686,0.8637,0.2922,0.8637,0.1549,0.1987,0.0173,0.0173,0.2922,0.2952,0.0438,0.0
