timestamp,hour,electricity_demand_kwh,total_electricity_consumption_kwh,thermal_demand_kwh,grid_supply_kwh,cost_grid_eur,total_cost_hour_eur,emissions_grid_kg,total_emissions_hour_kg,pv_output_kwh,grid_export_kwh,grid_revenue_eur,pv_cell_temp_c,cost_pv_capex_hour_eur,cost_pv_om_eur,heat_pump_heat_kwh,heat_pump_electric_demand_kwh,cost_heat_pump_eur,emissions_heat_pump_kg,bess_soc_kwh,bess_soc_pct,bess_charge_kwh,bess_discharge_kwh,cost_bess_eur,tess_soc_kwh,tess_soc_pct,tess_charge_kwh,tess_discharge_kwh,cost_tess_eur,emissions_tess_kg
15.07,00:00,0.5461,0.5461,0.3055,0.0,0.0,0.3285,0.0,0.0,0.0,0.0,0.0,22.67,0.0719,0.0,0.0,0.0,0.0,0.0,1.1239,34.26,0.0,0.5461,0.249,10.904,48.46,0.0,0.3055,0.0076,0.0
15.07,01:00,0.561,0.561,0.3487,0.0,0.0,0.3364,0.0,0.0,0.0,0.0,0.0,21.71,0.0719,0.0,0.0,0.0,0.0,0.0,0.5937,18.1,0.0,0.561,0.2558,10.5103,46.71,0.0,0.3487,0.0087,0.0
15.07,02:00,0.5177,0.5177,0.5826,0.0,0.0,0.3225,0.0,0.0,0.0,0.0,0.0,20.97,0.0719,0.0,0.0,0.0,0.0,0.0,0.1045,3.19,0.0,0.5177,0.2361,9.857,43.81,0.0,0.5826,0.0146,0.0
15.07,03:00,0.5071,0.5071,1.2013,0.4084,0.0732,0.2201,0.0082,0.0082,0.0,0.0,0.0,20.62,0.0719,0.0,0.0,0.0,0.0,0.0,0.0112,0.34,0.0,0.0987,0.045,8.5171,37.85,0.0,1.2013,0.03,0.0
15.07,04:00,0.5353,0.5353,1.5424,0.5247,0.0941,0.2093,0.0105,0.0105,0.0,0.0,0.0,20.56,0.0719,0.0,0.0,0.0,0.0,0.0,0.0012,0.04,0.0,0.0106,0.0048,6.7993,30.22,0.0,1.5424,0.0386,0.0
15.07,05:00,0.5046,0.5046,1.456,0.2881,0.0517,0.1626,0.0058,0.0058,0.2154,0.0,0.0,21.86,0.0719,0.0022,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0011,0.0005,5.1784,23.01,0.0,1.456,0.0364,0.0
15.07,06:00,0.5454,0.5454,1.1381,0.3653,0.0655,0.1677,0.0073,0.0073,0.18,0.0,0.0,21.93,0.0719,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,3.9115,17.38,0.0,1.1381,0.0285,0.0
15.07,07:00,0.6738,0.6738,1.0958,0.0893,0.016,0.1211,0.0018,0.0018,0.5844,0.0,0.0,24.69,0.0719,0.0058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6923,11.97,0.0,1.0958,0.0274,0.0
15.07,08:00,0.6873,0.6873,1.0138,0.0,0.0,0.1071,0.0,0.0,0.9904,0.0,0.0,27.48,0.0719,0.0099,0.0,0.0,0.0,0.0,0.3207,9.78,0.3031,0.0,0.0,1.5649,6.96,0.0,1.0138,0.0253,0.0
15.07,09:00,0.6354,0.6354,0.9893,0.0,0.0,0.1039,0.0,0.0,0.7254,0.0,0.0,26.39,0.0719,0.0073,0.0,0.0,0.0,0.0,0.4159,12.68,0.09,0.0,0.0,0.4654,2.07,0.0,0.9893,0.0247,0.0
