timestamp,hour,electricity_demand_kwh,total_electricity_consumption_kwh,thermal_demand_kwh,grid_supply_kwh,cost_grid_eur,total_cost_hour_eur,emissions_grid_kg,total_emissions_hour_kg,gas_boiler_heat_kwh,cost_gas_boiler_eur,emissions_gas_boiler_kg
15.07,00:00,0.5461,0.5461,0.3055,0.5461,0.0979,0.1382,0.0109,0.0171,0.3055,0.0403,0.0062
15.07,01:00,0.561,0.561,0.3487,0.561,0.1006,0.1466,0.0112,0.0183,0.3487,0.046,0.0071
15.07,02:00,0.5177,0.5177,0.5826,0.5177,0.0928,0.1696,0.0104,0.0222,0.5826,0.0768,0.0118
15.07,03:00,0.5071,0.5071,1.2013,0.5071,0.0909,0.2493,0.0101,0.0345,1.2013,0.1584,0.0244
15.07,04:00,0.5353,0.5353,1.5424,0.5353,0.096,0.2993,0.0107,0.042,1.5424,0.2034,0.0313
15.07,05:00,0.5046,0.5046,1.456,0.5046,0.0905,0.2824,0.0101,0.0396,1.456,0.192,0.0295
15.07,06:00,0.5454,0.5454,1.1381,0.5454,0.0978,0.2478,0.0109,0.034,1.1381,0.1501,0.0231
15.07,07:00,0.6738,0.6738,1.0958,0.6738,0.1208,0.2653,0.0135,0.0357,1.0958,0.1445,0.0222
15.07,08:00,0.6873,0.6873,1.0138,0.6873,0.1232,0.2569,0.0137,0.0343,1.0138,0.1337,0.0206
15.07,09:00,0.6354,0.6354,0.9893,0.6354,0.1139,0.2444,0.0127,0.0328,0.9893,0.1304,0.0201
15.07,10:00,0.7139,0.7139,0.9499,0.7139,0.128,0.2533,0.0143,0.0335,0.9499,0.1252,0.0193
15.07,11:00,0.8872,0.8872,0.793,0.8872,0.1591,0.2636,0.0177,0.0338,0.793,0.1046,0.0161
15.07,12:00,0.8396,0.8396,0.757,0.8396,0.1505,0.2503,0.0168,0.0321,0.757,0.0998,0.0154
15.07,13:00,0.9576,0.9576,0.6943,0.9576,0.1717,0.2632,0.0192,0.0332,0.6943,0.0915,0.0141
15.07,14:00,0.7377,0.7377,0.7344,0.7377,0.1323,0.2291,0.0148,0.0297,0.7344,0.0968,0.0149
15.07,15:00,0.7798,0.7798,0.8237,0.7798,0.1398,0.2484,0.0156,0.0323,0.8237,0.1086,0.0167
15.07,16:00,0.8589,0.8589,0.8328,0.8589,0.154,0.2638,0.0172,0.0341,0.8328,0.1098,0.0169
15.07,17:00,0.8008,0.8008,0.8987,0.8008,0.1436,0.2621,0.016,0.0342,0.8987,0.1185,0.0182
15.07,18:00,0.8175,0.8175,0.938,0.8175,0.1466,0.2702,0.0163,0.0354,0.938,0.1237,0.019
15.07,19:00,0.7574,0.7574,0.8339,0.7574,0.1358,0.2458,0.0151,0.0321,0.8339,0.1099,0.0169
15.07,20:00,0.8239,0.8239,0.6215,0.8239,0.1477,0.2297,0.0165,0.0291,0.6215,0.0819,0.0126
15.07,21:00,0.6615,0.6615,0.3696,0.6615,0.1186,0.1673,0.0132,0.0207,0.3696,0.0487,0.0075
15.07,22:00,0.5571,0.5571,0.2503,0.5571,0.0999,0.1329,0.0111,0.0162,0.2503,0.033,0.0051
15.07,23:00,0.5686,0.5686,0.2922,0.5686,0.1019,0.1405,0.0114,0.0173,0.2922,0.0385,0.0059
