timestamp,hour,electricity_demand_kwh,total_electricity_consumption_kwh,thermal_demand_kwh,grid_supply_kwh,cost_grid_eur,total_cost_hour_eur,emissions_grid_kg,total_emissions_hour_kg,gas_boiler_heat_kwh,cost_gas_boiler_eur,emissions_gas_boiler_kg
15.10,00:00,0.3572,0.3572,1.6681,0.3572,0.064,0.284,0.0071,0.041,1.6681,0.2199,0.0338
15.10,01:00,0.3791,0.3791,1.8667,0.3791,0.068,0.3141,0.0076,0.0454,1.8667,0.2461,0.0379
15.10,02:00,0.3181,0.3181,2.4809,0.3181,0.057,0.3841,0.0064,0.0567,2.4809,0.3271,0.0503
15.10,03:00,0.4252,0.4252,3.7852,0.4252,0.0762,0.5753,0.0085,0.0853,3.7852,0.4991,0.0768
15.10,04:00,0.3854,0.3854,4.7337,0.3854,0.0691,0.6932,0.0077,0.1037,4.7337,0.6241,0.096
15.10,05:00,0.5371,0.5371,4.5115,0.5371,0.0963,0.6911,0.0107,0.1023,4.5115,0.5948,0.0915
15.10,06:00,0.5919,0.5919,4.025,0.5919,0.1061,0.6368,0.0118,0.0935,4.025,0.5307,0.0816
15.10,07:00,0.5607,0.5607,3.7535,0.5607,0.1005,0.5954,0.0112,0.0873,3.7535,0.4949,0.0761
15.10,08:00,0.6179,0.6179,3.5117,0.6179,0.1108,0.5738,0.0124,0.0836,3.5117,0.463,0.0712
15.10,09:00,0.5566,0.5566,3.3381,0.5566,0.0998,0.5399,0.0111,0.0788,3.3381,0.4401,0.0677
15.10,10:00,0.6431,0.6431,3.2692,0.6431,0.1153,0.5463,0.0129,0.0792,3.2692,0.431,0.0663
15.10,11:00,0.6253,0.6253,3.171,0.6253,0.1121,0.5302,0.0125,0.0768,3.171,0.4181,0.0643
15.10,12:00,0.5607,0.5607,3.2106,0.5607,0.1005,0.5238,0.0112,0.0763,3.2106,0.4233,0.0651
15.10,13:00,0.5923,0.5923,3.2933,0.5923,0.1062,0.5404,0.0118,0.0786,3.2933,0.4342,0.0668
15.10,14:00,0.6095,0.6095,3.4447,0.6095,0.1093,0.5634,0.0122,0.0821,3.4447,0.4542,0.0699
15.10,15:00,0.5926,0.5926,3.6677,0.5926,0.1062,0.5898,0.0119,0.0862,3.6677,0.4836,0.0744
15.10,16:00,0.6841,0.6841,3.7769,0.6841,0.1227,0.6206,0.0137,0.0903,3.7769,0.498,0.0766
15.10,17:00,1.0383,1.0383,3.8536,1.0383,0.1862,0.6943,0.0208,0.0989,3.8536,0.5081,0.0782
15.10,18:00,1.0665,1.0665,3.7383,1.0665,0.1912,0.6841,0.0213,0.0972,3.7383,0.4929,0.0758
15.10,19:00,0.8833,0.8833,3.3013,0.8833,0.1584,0.5936,0.0177,0.0846,3.3013,0.4353,0.067
15.10,20:00,0.8073,0.8073,2.3564,0.8073,0.1447,0.4554,0.0161,0.0639,2.3564,0.3107,0.0478
15.10,21:00,0.7072,0.7072,1.696,0.7072,0.1268,0.3504,0.0141,0.0485,1.696,0.2236,0.0344
15.10,22:00,0.6417,0.6417,1.5617,0.6417,0.1151,0.321,0.0128,0.0445,1.5617,0.2059,0.0317
15.10,23:00,0.6731,0.6731,1.6597,0.6731,0.1207,0.3395,0.0135,0.0471,1.6597,0.2188,0.0337
