config_id,pareto_solutions_file
C_grid_eb_pv_bess,/home/pesim/uni/lukas/Neighborhood_Multi-Energy_Microgrid_System/Results/Optimization/nsga2_C_grid_eb_pv_bess/pareto_solutions.csv
D_grid_ashp_pv_bess_tess,/home/pesim/uni/lukas/Neighborhood_Multi-Energy_Microgrid_System/Results/Optimization/nsga2_D_grid_ashp_pv_bess_tess/pareto_solutions.csv
