timestamp,hour,electricity_demand_kwh,total_electricity_consumption_kwh,thermal_demand_kwh,grid_supply_kwh,cost_grid_eur,total_cost_hour_eur,emissions_grid_kg,total_emissions_hour_kg,electric_boiler_heat_kwh,electric_boiler_electric_demand_kwh,cost_electric_boiler_eur,emissions_electric_boiler_kg
15.01,00:00,0.5297,2.0594,1.5144,2.0594,0.3692,0.5964,0.0412,0.0412,1.5144,1.5297,0.2272,0.0
15.01,01:00,0.5112,2.097,1.57,2.097,0.376,0.6115,0.0419,0.0419,1.57,1.5859,0.2355,0.0
15.01,02:00,0.5284,2.3097,1.7635,2.3097,0.4141,0.6787,0.0462,0.0462,1.7635,1.7813,0.2645,0.0
15.01,03:00,0.5142,2.8945,2.3565,2.8945,0.519,0.8725,0.0579,0.0579,2.3565,2.3803,0.3535,0.0
15.01,04:00,0.4759,4.0866,3.5746,4.0866,0.7327,1.2689,0.0817,0.0817,3.5746,3.6107,0.5362,0.0
15.01,05:00,0.4847,4.9977,4.4679,4.9977,0.8961,1.5663,0.1,0.1,4.4679,4.513,0.6702,0.0
15.01,06:00,0.4754,4.7711,4.2527,4.7711,0.8555,1.4934,0.0954,0.0954,4.2527,4.2957,0.6379,0.0
15.01,07:00,0.5544,4.3794,3.7867,4.3794,0.7852,1.3532,0.0876,0.0876,3.7867,3.8249,0.568,0.0
15.01,08:00,0.8199,4.3765,3.521,4.3765,0.7847,1.3129,0.0875,0.0875,3.521,3.5566,0.5282,0.0
15.01,09:00,1.0871,4.4119,3.2915,4.4119,0.791,1.2848,0.0882,0.0882,3.2915,3.3247,0.4937,0.0
15.01,10:00,1.1957,4.3565,3.1292,4.3565,0.7811,1.2505,0.0871,0.0871,3.1292,3.1608,0.4694,0.0
15.01,11:00,1.3944,4.4963,3.0709,4.4963,0.8062,1.2668,0.0899,0.0899,3.0709,3.1019,0.4606,0.0
15.01,12:00,1.3549,4.3615,2.9765,4.3615,0.782,1.2285,0.0872,0.0872,2.9765,3.0066,0.4465,0.0
15.01,13:00,1.1629,4.2106,3.0172,4.2106,0.755,1.2075,0.0842,0.0842,3.0172,3.0477,0.4526,0.0
15.01,14:00,0.993,4.1232,3.0989,4.1232,0.7393,1.2041,0.0825,0.0825,3.0989,3.1302,0.4648,0.0
15.01,15:00,0.7997,4.0736,3.2412,4.0736,0.7304,1.2166,0.0815,0.0815,3.2412,3.2739,0.4862,0.0
15.01,16:00,0.9442,4.4361,3.4569,4.4361,0.7954,1.3139,0.0887,0.0887,3.4569,3.4918,0.5185,0.0
15.01,17:00,1.1607,4.7557,3.5591,4.7557,0.8527,1.3866,0.0951,0.0951,3.5591,3.5951,0.5339,0.0
15.01,18:00,1.4858,5.1497,3.6272,5.1497,0.9233,1.4674,0.103,0.103,3.6272,3.6638,0.5441,0.0
15.01,19:00,1.4341,4.9875,3.5179,4.9875,0.8943,1.4219,0.0997,0.0997,3.5179,3.5534,0.5277,0.0
15.01,20:00,1.137,4.2706,3.1023,4.2706,0.7657,1.2311,0.0854,0.0854,3.1023,3.1336,0.4653,0.0
15.01,21:00,0.9736,3.2091,2.2131,3.2091,0.5754,0.9073,0.0642,0.0642,2.2131,2.2355,0.332,0.0
15.01,22:00,0.8461,2.4544,1.5922,2.4544,0.4401,0.6789,0.0491,0.0491,1.5922,1.6083,0.2388,0.0
15.01,23:00,0.5964,2.1291,1.5173,2.1291,0.3817,0.6093,0.0426,0.0426,1.5173,1.5326,0.2276,0.0
