timestamp,hour,electricity_demand_kwh,total_electricity_consumption_kwh,thermal_demand_kwh,grid_supply_kwh,cost_grid_eur,total_cost_hour_eur,emissions_grid_kg,total_emissions_hour_kg,pv_output_kwh,grid_export_kwh,grid_revenue_eur,pv_cell_temp_c,cost_pv_capex_hour_eur,cost_pv_om_eur,heat_pump_heat_kwh,heat_pump_electric_demand_kwh,cost_heat_pump_eur,emissions_heat_pump_kg,bess_soc_kwh,bess_soc_pct,bess_charge_kwh,bess_discharge_kwh,cost_bess_eur,tess_soc_kwh,tess_soc_pct,tess_charge_kwh,tess_discharge_kwh,cost_tess_eur,emissions_tess_kg
15.04,00:00,0.5753,0.5753,0.548,0.0,0.0,0.3479,0.0,0.0,0.0,0.0,0.0,7.47,0.0719,0.0,0.0,0.0,0.0,0.0,1.0963,33.42,0.0,0.5753,0.2623,10.6347,47.27,0.0,0.548,0.0137,0.0
15.04,01:00,0.5155,0.5155,0.6445,0.0,0.0,0.323,0.0,0.0,0.0,0.0,0.0,7.07,0.0719,0.0,0.0,0.0,0.0,0.0,0.6092,18.57,0.0,0.5155,0.2351,9.9127,44.06,0.0,0.6445,0.0161,0.0
15.04,02:00,0.4447,0.4447,1.0198,0.0,0.0,0.3002,0.0,0.0,0.0,0.0,0.0,6.56,0.0719,0.0,0.0,0.0,0.0,0.0,0.1889,5.76,0.0,0.4447,0.2028,8.7743,39.0,0.0,1.0198,0.0255,0.0
15.04,03:00,0.4403,0.4403,1.9461,0.2618,0.0469,0.2489,0.0052,0.0052,0.0,0.0,0.0,6.36,0.0719,0.0,0.0,0.0,0.0,0.0,0.0202,0.62,0.0,0.1785,0.0814,6.608,29.37,0.0,1.9461,0.0487,0.0
15.04,04:00,0.4817,0.4817,2.3417,0.4626,0.0829,0.2221,0.0093,0.0093,0.0,0.0,0.0,6.16,0.0719,0.0,0.0,0.0,0.0,0.0,0.0022,0.07,0.0,0.0191,0.0087,4.0037,17.79,0.0,2.3417,0.0585,0.0
15.04,05:00,0.5054,0.5054,2.2765,0.5034,0.0903,0.22,0.0101,0.0101,0.0,0.0,0.0,5.96,0.0719,0.0,0.0,0.0,0.0,0.0,0.0002,0.01,0.0,0.002,0.0009,1.4734,6.55,0.0,2.2765,0.0569,0.0
15.04,06:00,0.6699,1.0148,1.8542,0.7064,0.1267,0.3703,0.0141,0.0141,0.3082,0.0,0.0,8.52,0.0719,0.0031,1.0035,0.3449,0.1355,0.0,0.0,0.0,0.0,0.0002,0.0001,0.4276,1.9,0.4754,1.326,0.0332,0.0
15.04,07:00,0.6967,1.564,1.777,0.6613,0.1186,0.5662,0.0132,0.0132,0.9026,0.0,0.0,13.09,0.0719,0.009,2.6452,0.8673,0.3571,0.0,0.0,0.0,0.0,0.0,0.0,1.127,5.01,1.253,0.3848,0.0096,0.0
15.04,08:00,0.8199,1.1741,1.6015,0.2802,0.0502,0.307,0.0056,0.0056,0.8939,0.0,0.0,13.5,0.0719,0.0089,1.1157,0.3542,0.1506,0.0,0.0,0.0,0.0,0.0,0.0,0.4753,2.11,0.5285,1.0143,0.0254,0.0
15.04,09:00,1.0271,1.6601,1.5038,0.4003,0.0718,0.4429,0.008,0.008,1.2598,0.0,0.0,16.68,0.0719,0.0126,2.0444,0.6329,0.276,0.0,0.0,0.0,0.0,0.0,0.0,0.871,3.87,0.9684,0.4278,0.0107,0.0
15.04,10:00,1.0428,1.4102,1.4202,0.4523,0.0811,0.3454,0.009,0.009,0.9579,0.0,0.0,15.72,0.0719,0.0096,1.2089,0.3675,0.1632,0.0,0.0,0.0,0.0,0.0,0.0,0.5151,2.29,0.5726,0.7839,0.0196,0.0
15.04,11:00,1.1918,1.6574,1.2747,0.7542,0.1352,0.4358,0.0151,0.0151,0.9032,0.0,0.0,16.29,0.0719,0.009,1.5412,0.4656,0.2081,0.0,0.0,0.0,0.0,0.0,0.0,0.6566,2.92,0.73,0.4636,0.0116,0.0
15.04,12:00,1.107,1.4713,1.2295,0.0,0.0,0.2892,0.0,0.0,3.8793,0.0,0.0,37.43,0.0719,0.0388,1.2132,0.3643,0.1638,0.0,2.5481,77.69,2.4079,0.0,0.0,0.5169,2.3,0.5747,0.591,0.0148,0.0
15.04,13:00,0.9479,1.3614,1.1899,0.0,0.0,0.2483,0.0,0.0,2.7133,0.5774,0.0482,30.56,0.0719,0.0271,1.3769,0.4135,0.1859,0.0,3.28,100.0,0.7745,0.0,0.0,0.5866,2.61,0.6522,0.4652,0.0116,0.0
15.04,14:00,0.8343,1.2506,1.251,0.0,0.0,0.1222,0.0,0.0,3.4401,2.1895,0.1827,36.46,0.0719,0.0344,1.3737,0.4163,0.1855,0.0,3.2799,100.0,0.0,0.0,0.0,0.5853,2.6,0.6507,0.528,0.0132,0.0
15.04,15:00,0.7036,1.1848,1.3498,0.0,0.0,0.6541,0.0,0.0,0.4088,0.0,0.0,16.86,0.0719,0.0041,1.5638,0.4812,0.2111,0.0,2.5465,77.64,0.0,0.776,0.3539,0.6663,2.96,0.7407,0.5268,0.0132,0.0
