timestamp,hour,electricity_demand_kwh,total_electricity_consumption_kwh,thermal_demand_kwh,grid_supply_kwh,cost_grid_eur,total_cost_hour_eur,emissions_grid_kg,total_emissions_hour_kg,pv_output_kwh,grid_export_kwh,grid_revenue_eur,pv_cell_temp_c,cost_pv_capex_hour_eur,cost_pv_om_eur,heat_pump_heat_kwh,heat_pump_electric_demand_kwh,cost_heat_pump_eur,emissions_heat_pump_kg,bess_soc_kwh,bess_soc_pct,bess_charge_kwh,bess_discharge_kwh,cost_bess_eur,tess_soc_kwh,tess_soc_pct,tess_charge_kwh,tess_discharge_kwh,cost_tess_eur,emissions_tess_kg
15.10,00:00,0.3572,0.3572,1.6681,0.0,0.0,0.2765,0.0,0.0,0.0,0.0,0.0,8.9,0.0719,0.0,0.0,0.0,0.0,0.0,1.3024,39.71,0.0,0.3572,0.1629,9.3909,41.74,0.0,1.6681,0.0417,0.0
15.10,01:00,0.3791,0.3791,1.8667,0.0,0.0,0.2914,0.0,0.0,0.0,0.0,0.0,8.72,0.0719,0.0,0.0,0.0,0.0,0.0,0.9441,28.78,0.0,0.3791,0.1728,7.3124,32.5,0.0,1.8667,0.0467,0.0
15.10,02:00,0.3181,0.3181,2.4809,0.0,0.0,0.279,0.0,0.0,0.0,0.0,0.0,8.42,0.0719,0.0,0.0,0.0,0.0,0.0,0.6435,19.62,0.0,0.3181,0.1451,4.5531,20.24,0.0,2.4809,0.062,0.0
15.10,03:00,0.4252,0.4252,3.7852,0.0,0.0,0.3604,0.0,0.0,0.0,0.0,0.0,8.32,0.0719,0.0,0.0,0.0,0.0,0.0,0.2416,7.37,0.0,0.4252,0.1939,0.3471,1.54,0.0,3.7852,0.0946,0.0
15.10,04:00,0.3854,3.9449,4.7337,3.7165,0.6664,1.9842,0.0743,0.0743,0.0,0.0,0.0,7.88,0.0719,0.0,8.4004,3.5595,1.1341,0.0,0.0258,0.79,0.0,0.2283,0.1041,3.5791,15.91,3.9791,0.3124,0.0078,0.0
15.10,05:00,0.5371,1.5715,4.5115,1.5471,0.2774,0.7719,0.0309,0.0309,0.0,0.0,0.0,7.68,0.0719,0.0,2.4516,1.0344,0.331,0.0,0.0028,0.08,0.0,0.0244,0.0111,1.0445,4.64,1.1613,3.2212,0.0805,0.0
15.10,06:00,0.5919,3.0341,4.025,3.0315,0.5436,1.4314,0.0606,0.0606,0.0,0.0,0.0,7.26,0.0719,0.0,5.8613,2.4422,0.7913,0.0,0.0003,0.01,0.0,0.0026,0.0012,2.4973,11.1,2.7764,0.9401,0.0235,0.0
15.10,07:00,0.5607,1.7333,3.7535,0.6924,0.1241,0.649,0.0138,0.0138,1.0407,0.0,0.0,13.41,0.0719,0.0104,2.8613,1.1727,0.3863,0.0,0.0,0.0,0.0,0.0003,0.0001,1.2191,5.42,1.3554,2.2476,0.0562,0.0
15.10,08:00,0.6179,2.4678,3.5117,0.1661,0.0298,0.7714,0.0033,0.0033,2.3016,0.0,0.0,22.99,0.0719,0.023,4.5876,1.8498,0.6193,0.0,0.0,0.0,0.0,0.0,0.0,1.9546,8.69,2.1731,1.0972,0.0274,0.0
15.10,09:00,0.5566,1.7566,3.3381,0.0,0.0,0.5532,0.0,0.0,3.2329,0.0,0.0,30.42,0.0719,0.0323,3.0,1.2,0.405,0.0,1.5622,47.63,1.4763,0.0,0.0,1.2782,5.68,1.4211,1.7591,0.044,0.0
15.10,10:00,0.6431,2.2406,3.2692,0.0,0.0,0.6823,0.0,0.0,3.8186,0.0,0.0,35.43,0.0719,0.0382,4.0258,1.5975,0.5435,0.0,3.232,98.54,1.578,0.0,0.0,1.7152,7.62,1.9069,1.1504,0.0288,0.0
15.10,11:00,0.6253,1.8474,3.171,0.0,0.0,0.3979,0.0,0.0,3.9255,2.0274,0.1692,37.06,0.0719,0.0393,3.0919,1.2221,0.4174,0.0,3.28,100.0,0.0507,0.0,0.0,1.3173,5.85,1.4646,1.5437,0.0386,0.0
15.10,12:00,0.5607,2.0814,3.2106,0.0,0.0,0.5209,0.0,0.0,3.7263,1.6449,0.1373,36.28,0.0719,0.0373,3.8475,1.5208,0.5194,0.0,3.2799,100.0,0.0,0.0,0.0,1.6393,7.29,1.8225,1.1856,0.0296,0.0
15.10,13:00,0.5923,1.9629,3.2933,0.0,0.0,0.5001,0.0,0.0,3.2503,1.2873,0.1074,33.34,0.0719,0.0325,3.4541,1.3707,0.4663,0.0,3.2799,100.0,0.0001,0.0,0.0,1.4717,6.54,1.6362,1.4753,0.0369,0.0
15.10,14:00,0.6095,2.2208,3.4447,0.0,0.0,0.6502,0.0,0.0,2.5046,0.2837,0.0237,28.32,0.0719,0.025,4.0284,1.6114,0.5438,0.0,3.2799,100.0,0.0001,0.0,0.0,1.7163,7.63,1.9082,1.3245,0.0331,0.0
15.10,15:00,0.5926,2.2256,3.6677,0.0,0.0,0.8875,0.0,0.0,1.7544,0.0,0.0,23.1,0.0719,0.0175,4.0337,1.6331,0.5445,0.0,2.8345,86.42,0.0,0.4712,0.2149,1.7186,7.64,1.9107,1.5447,0.0386,0.0
15.10,16:00,0.6841,2.4136,3.7769,0.0,0.0,1.4993,0.0,0.0,0.6365,0.0,0.0,15.37,0.0719,0.0064,4.2373,1.7295,0.572,0.0,1.1551,35.22,0.0,1.7771,0.8103,1.8053,8.02,2.0071,1.5467,0.0387,0.0
15.10,17:00,1.0383,2.7882,3.8536,1.6966,0.3042,1.4861,0.0339,0.0339,0.0,0.0,0.0,10.21,0.0719,0.0,4.2347,1.7499,0.5717,0.0,0.1235,3.77,0.0,1.0916,0.4978,1.8042,8.02,2.0059,1.6248,0.0406,0.0
15.10,18:00,1.0665,2.7336,3.7383,2.6168,0.4692,1.1773,0.0523,0.0523,0.0,0.0,0.0,9.11,0.0719,0.0,4.0175,1.667,0.5424,0.0,0.0132,0.4,0.0,0.1167,0.0532,1.7117,7.61,1.903,1.6238,0.0406,0.0
15.10,19:00,0.8833,2.283,3.3013,2.2705,0.4071,0.9748,0.0454,0.0454,0.0,0.0,0.0,8.29,0.0719,0.0,3.3454,1.3998,0.4516,0.0,0.0014,0.04,0.0,0.0125,0.0057,1.4254,6.33,1.5847,1.5405,0.0385,0.0
15.10,20:00,0.8073,1.6643,2.3564,1.663,0.2982,0.6781,0.0333,0.0333,0.0,0.0,0.0,7.68,0.0719,0.0,2.0398,0.8571,0.2754,0.0,0.0002,0.0,0.0,0.0013,0.0006,0.8691,3.86,0.9662,1.2828,0.0321,0.0
15.10,21:00,0.7072,1.443,1.696,1.4428,0.2587,0.5846,0.0289,0.0289,0.0,0.0,0.0,7.16,0.0719,0.0,1.7363,0.7357,0.2344,0.0,0.0,0.0,0.0,0.0001,0.0001,0.7398,3.29,0.8225,0.7822,0.0196,0.0
