timestamp,hour,electricity_demand_kwh,total_electricity_consumption_kwh,thermal_demand_kwh,grid_supply_kwh,cost_grid_eur,total_cost_hour_eur,emissions_grid_kg,total_emissions_hour_kg,pv_output_kwh,grid_export_kwh,grid_revenue_eur,pv_cell_temp_c,cost_pv_capex_hour_eur,cost_pv_om_eur,electric_boiler_heat_kwh,electric_boiler_electric_demand_kwh,cost_electric_boiler_eur,emissions_electric_boiler_kg,bess_soc_kwh,bess_soc_pct,bess_charge_kwh,bess_discharge_kwh,cost_bess_eur
15.10,00:00,0.3572,2.0422,1.6681,0.4924,0.0883,1.1171,0.0098,0.0098,0.0,0.0,0.0,8.9,0.0719,0.0,1.6681,1.6849,0.2502,0.0,0.1754,5.35,0.0,1.5498,0.7067
15.10,01:00,0.3791,2.2646,1.8667,2.0989,0.3763,0.8038,0.042,0.042,0.0,0.0,0.0,8.72,0.0719,0.0,1.8667,1.8856,0.28,0.0,0.0188,0.57,0.0,0.1657,0.0756
15.10,02:00,0.3181,2.8241,2.4809,2.8063,0.5032,0.9553,0.0561,0.0561,0.0,0.0,0.0,8.42,0.0719,0.0,2.4809,2.506,0.3721,0.0,0.002,0.06,0.0,0.0177,0.0081
15.10,03:00,0.4252,4.2487,3.7852,4.2468,0.7614,1.402,0.0849,0.0849,0.0,0.0,0.0,8.32,0.0719,0.0,3.7852,3.8234,0.5678,0.0,0.0002,0.01,0.0,0.0019,0.0009
15.10,04:00,0.3854,5.1669,4.7337,5.1667,0.9264,1.7084,0.1033,0.1033,0.0,0.0,0.0,7.88,0.0719,0.0,4.7337,4.7815,0.7101,0.0,0.0,0.0,0.0,0.0002,0.0001
15.10,05:00,0.5371,5.0942,4.5115,5.0942,0.9134,1.662,0.1019,0.1019,0.0,0.0,0.0,7.68,0.0719,0.0,4.5115,4.5571,0.6767,0.0,0.0,0.0,0.0,0.0,0.0
15.10,06:00,0.5919,4.6576,4.025,4.6576,0.8351,1.5107,0.0932,0.0932,0.0,0.0,0.0,7.26,0.0719,0.0,4.025,4.0657,0.6038,0.0,0.0,0.0,0.0,0.0,0.0
15.10,07:00,0.5607,4.3521,3.7535,3.3114,0.5937,1.239,0.0662,0.0662,1.0407,0.0,0.0,13.41,0.0719,0.0104,3.7535,3.7914,0.563,0.0,0.0,0.0,0.0,0.0,0.0
15.10,08:00,0.6179,4.1651,3.5117,1.8635,0.3341,0.9558,0.0373,0.0373,2.3016,0.0,0.0,22.99,0.0719,0.023,3.5117,3.5472,0.5268,0.0,0.0,0.0,0.0,0.0,0.0
15.10,09:00,0.5566,3.9284,3.3381,0.6955,0.1247,0.7296,0.0139,0.0139,3.2329,0.0,0.0,30.42,0.0719,0.0323,3.3381,3.3718,0.5007,0.0,0.0,0.0,0.0,0.0,0.0
15.10,10:00,0.6431,3.9453,3.2692,0.1267,0.0227,0.6232,0.0025,0.0025,3.8186,0.0,0.0,35.43,0.0719,0.0382,3.2692,3.3022,0.4904,0.0,0.0,0.0,0.0,0.0,0.0
15.10,11:00,0.6253,3.8283,3.171,0.0,0.0,0.5868,0.0,0.0,3.9255,0.0,0.0,37.06,0.0719,0.0393,3.171,3.203,0.4756,0.0,0.1028,3.14,0.0972,0.0,0.0
15.10,12:00,0.5607,3.8037,3.2106,0.0,0.0,0.626,0.0,0.0,3.7263,0.0,0.0,36.28,0.0719,0.0373,3.2106,3.243,0.4816,0.0,0.0297,0.9,0.0,0.0774,0.0353
15.10,13:00,0.5923,3.9188,3.2933,0.6404,0.1148,0.726,0.0128,0.0128,3.2503,0.0,0.0,33.34,0.0719,0.0325,3.2933,3.3266,0.494,0.0,0.0032,0.1,0.0,0.028,0.0128
15.10,14:00,0.6095,4.089,3.4447,1.5814,0.2835,0.8985,0.0316,0.0316,2.5046,0.0,0.0,28.32,0.0719,0.025,3.4447,3.4795,0.5167,0.0,0.0003,0.01,0.0,0.003,0.0014
15.10,15:00,0.5926,4.2973,3.6677,2.5426,0.4559,1.0956,0.0509,0.0509,1.7544,0.0,0.0,23.1,0.0719,0.0175,3.6677,3.7047,0.5502,0.0,0.0,0.0,0.0,0.0003,0.0001
15.10,16:00,0.6841,4.4991,3.7769,3.8626,0.6926,1.3373,0.0773,0.0773,0.6365,0.0,0.0,15.37,0.0719,0.0064,3.7769,3.8151,0.5665,0.0,0.0,0.0,0.0,0.0,0.0
15.10,17:00,1.0383,4.9309,3.8536,4.9309,0.8841,1.534,0.0986,0.0986,0.0,0.0,0.0,10.21,0.0719,0.0,3.8536,3.8925,0.578,0.0,0.0,0.0,0.0,0.0,0.0
15.10,18:00,1.0665,4.8426,3.7383,4.8426,0.8683,1.5009,0.0969,0.0969,0.0,0.0,0.0,9.11,0.0719,0.0,3.7383,3.7761,0.5607,0.0,0.0,0.0,0.0,0.0,0.0
15.10,19:00,0.8833,4.2179,3.3013,4.2179,0.7563,1.3233,0.0844,0.0844,0.0,0.0,0.0,8.29,0.0719,0.0,3.3013,3.3346,0.4952,0.0,0.0,0.0,0.0,0.0,0.0
15.10,20:00,0.8073,3.1875,2.3564,3.1875,0.5715,0.9968,0.0637,0.0637,0.0,0.0,0.0,7.68,0.0719,0.0,2.3564,2.3802,0.3535,0.0,0.0,0.0,0.0,0.0,0.0
