timestamp,hour,electricity_demand_kwh,total_electricity_consumption_kwh,thermal_demand_kwh,grid_supply_kwh,cost_grid_eur,total_cost_hour_eur,emissions_grid_kg,total_emissions_hour_kg,pv_output_kwh,grid_export_kwh,grid_revenue_eur,pv_cell_temp_c,cost_pv_capex_hour_eur,cost_pv_om_eur,electric_boiler_heat_kwh,electric_boiler_electric_demand_kwh,cost_electric_boiler_eur,emissions_electric_boiler_kg,bess_soc_kwh,bess_soc_pct,bess_charge_kwh,bess_discharge_kwh,cost_bess_eur
15.07,00:00,0.5461,0.8547,0.3055,0.0,0.0,0.5074,0.0,0.0,0.0,0.0,0.0,22.67,0.0719,0.0,0.3055,0.3086,0.0458,0.0,0.8323,25.37,0.0,0.8547,0.3897
15.07,01:00,0.561,0.9132,0.3487,0.1267,0.0227,0.5055,0.0025,0.0025,0.0,0.0,0.0,21.71,0.0719,0.0,0.3487,0.3522,0.0523,0.0,0.089,2.71,0.0,0.7865,0.3586
15.07,02:00,0.5177,1.1062,0.5826,1.022,0.1833,0.3809,0.0204,0.0204,0.0,0.0,0.0,20.97,0.0719,0.0,0.5826,0.5885,0.0874,0.0,0.0095,0.29,0.0,0.0841,0.0384
15.07,03:00,0.5071,1.7205,1.2013,1.7115,0.3069,0.563,0.0342,0.0342,0.0,0.0,0.0,20.62,0.0719,0.0,1.2013,1.2134,0.1802,0.0,0.001,0.03,0.0,0.009,0.0041
15.07,04:00,0.5353,2.0933,1.5424,2.0923,0.3752,0.6788,0.0418,0.0418,0.0,0.0,0.0,20.56,0.0719,0.0,1.5424,1.558,0.2314,0.0,0.0001,0.0,0.0,0.001,0.0004
15.07,05:00,0.5046,1.9753,1.456,1.7599,0.3155,0.608,0.0352,0.0352,0.2154,0.0,0.0,21.86,0.0719,0.0022,1.456,1.4707,0.2184,0.0,0.0,0.0,0.0,0.0001,0.0
15.07,06:00,0.5454,1.695,1.1381,1.515,0.2716,0.516,0.0303,0.0303,0.18,0.0,0.0,21.93,0.0719,0.0018,1.1381,1.1496,0.1707,0.0,0.0,0.0,0.0,0.0,0.0
15.07,07:00,0.6738,1.7806,1.0958,1.1962,0.2145,0.4566,0.0239,0.0239,0.5844,0.0,0.0,24.69,0.0719,0.0058,1.0958,1.1069,0.1644,0.0,0.0,0.0,0.0,0.0,0.0
15.07,08:00,0.6873,1.7113,1.0138,0.721,0.1293,0.3631,0.0144,0.0144,0.9904,0.0,0.0,27.48,0.0719,0.0099,1.0138,1.024,0.1521,0.0,0.0,0.0,0.0,0.0,0.0
15.07,09:00,0.6354,1.6347,0.9893,0.9093,0.163,0.3906,0.0182,0.0182,0.7254,0.0,0.0,26.39,0.0719,0.0073,0.9893,0.9993,0.1484,0.0,0.0,0.0,0.0,0.0,0.0
15.07,10:00,0.7139,1.6734,0.9499,0.0,0.0,0.2329,0.0,0.0,1.858,0.0,0.0,34.3,0.0719,0.0186,0.9499,0.9595,0.1425,0.0,0.1953,5.95,0.1845,0.0,0.0
15.07,11:00,0.8872,1.6882,0.793,0.0,0.0,0.2213,0.0,0.0,3.0457,0.0,0.0,43.12,0.0719,0.0305,0.793,0.801,0.119,0.0,1.6318,49.75,1.3575,0.0,0.0
15.07,12:00,0.8396,1.6043,0.757,0.0,0.0,0.1914,0.0,0.0,3.7235,0.3751,0.0313,48.26,0.0719,0.0372,0.757,0.7646,0.1135,0.0,3.28,100.0,1.7441,0.0,0.0
15.07,13:00,0.9576,1.6589,0.6943,0.0,0.0,0.1079,0.0,0.0,2.8117,1.1528,0.0962,41.89,0.0719,0.0281,0.6943,0.7013,0.1041,0.0,3.2799,100.0,0.0,0.0,0.0
15.07,14:00,0.7377,1.4795,0.7344,0.0,0.0,0.0368,0.0,0.0,3.6582,2.1786,0.1818,47.63,0.0719,0.0366,0.7344,0.7418,0.1102,0.0,3.2799,100.0,0.0001,0.0,0.0
15.07,15:00,0.7798,1.6118,0.8237,0.0,0.0,0.189,0.0,0.0,1.9195,0.3076,0.0257,35.7,0.0719,0.0192,0.8237,0.832,0.1236,0.0,3.2799,100.0,0.0001,0.0,0.0
15.07,16:00,0.8589,1.7001,0.8328,0.0,0.0,0.3394,0.0,0.0,1.4185,0.0,0.0,32.55,0.0719,0.0142,0.8328,0.8412,0.1249,0.0,3.0137,91.88,0.0,0.2816,0.1284
15.07,17:00,0.8008,1.7085,0.8987,0.0,0.0,0.5748,0.0,0.0,0.9215,0.0,0.0,29.36,0.0719,0.0092,0.8987,0.9078,0.1348,0.0,2.2698,69.2,0.0,0.7871,0.3589
15.07,18:00,0.8175,1.7649,0.938,0.0,0.0,0.8522,0.0,0.0,0.3705,0.0,0.0,25.44,0.0719,0.0037,0.938,0.9475,0.1407,0.0,0.9519,29.02,0.0,1.3945,0.6359
15.07,19:00,0.7574,1.5997,0.8339,0.5845,0.1048,0.7131,0.0117,0.0117,0.1156,0.0,0.0,22.98,0.0719,0.0012,0.8339,0.8423,0.1251,0.0,0.1018,3.1,0.0,0.8996,0.4102
15.07,20:00,0.8239,1.4516,0.6215,1.3554,0.243,0.452,0.0271,0.0271,0.0,0.0,0.0,21.76,0.0719,0.0,0.6215,0.6278,0.0932,0.0,0.0109,0.33,0.0,0.0962,0.0439
15.07,21:00,0.6615,1.0349,0.3696,1.0246,0.1837,0.3157,0.0205,0.0205,0.0,0.0,0.0,20.68,0.0719,0.0,0.3696,0.3733,0.0554,0.0,0.0012,0.04,0.0,0.0103,0.0047
15.07,22:00,0.5571,0.8099,0.2503,0.8088,0.145,0.2549,0.0162,0.0162,0.0,0.0,0.0,19.46,0.0719,0.0,0.2503,0.2528,0.0375,0.0,0.0001,0.0,0.0,0.0011,0.0005
15.07,23:00,0.5686,2.5037,0.2922,2.5036,0.4489,0.5647,0.0501,0.0501,0.0,0.0,0.0,18.45,0.0719,0.0,0.2922,0.2952,0.0438,0.0,1.64,50.0,0.0,0.0001,0.0001
