timestamp,hour,electricity_demand_kwh,total_electricity_consumption_kwh,thermal_demand_kwh,grid_supply_kwh,cost_grid_eur,total_cost_hour_eur,emissions_grid_kg,total_emissions_hour_kg,pv_output_kwh,grid_export_kwh,grid_revenue_eur,pv_cell_temp_c,cost_pv_capex_hour_eur,cost_pv_om_eur,electric_boiler_heat_kwh,electric_boiler_electric_demand_kwh,cost_electric_boiler_eur,emissions_electric_boiler_kg,bess_soc_kwh,bess_soc_pct,bess_charge_kwh,bess_discharge_kwh,cost_bess_eur
15.04,00:00,0.5753,1.1288,0.548,0.0,0.0,0.6688,0.0,0.0,0.0,0.0,0.0,7.47,0.0719,0.0,0.548,0.5535,0.0822,0.0,0.5732,17.48,0.0,1.1288,0.5147
15.04,01:00,0.5155,1.1665,0.6445,0.6248,0.112,0.5276,0.0125,0.0125,0.0,0.0,0.0,7.07,0.0719,0.0,0.6445,0.651,0.0967,0.0,0.0613,1.87,0.0,0.5417,0.247
15.04,02:00,0.4447,1.4748,1.0198,1.4169,0.254,0.5053,0.0283,0.0283,0.0,0.0,0.0,6.56,0.0719,0.0,1.0198,1.0301,0.153,0.0,0.0066,0.2,0.0,0.0579,0.0264
15.04,03:00,0.4403,2.406,1.9461,2.3998,0.4303,0.7969,0.048,0.048,0.0,0.0,0.0,6.36,0.0719,0.0,1.9461,1.9658,0.2919,0.0,0.0007,0.02,0.0,0.0062,0.0028
15.04,04:00,0.4817,2.847,2.3417,2.8463,0.5103,0.9338,0.0569,0.0569,0.0,0.0,0.0,6.16,0.0719,0.0,2.3417,2.3654,0.3513,0.0,0.0001,0.0,0.0,0.0007,0.0003
15.04,05:00,0.5054,2.8049,2.2765,2.8048,0.5029,0.9163,0.0561,0.0561,0.0,0.0,0.0,5.96,0.0719,0.0,2.2765,2.2995,0.3415,0.0,0.0,0.0,0.0,0.0001,0.0
15.04,06:00,0.6699,2.5429,1.8542,2.2347,0.4007,0.7538,0.0447,0.0447,0.3082,0.0,0.0,8.52,0.0719,0.0031,1.8542,1.8729,0.2781,0.0,0.0,0.0,0.0,0.0,0.0
15.04,07:00,0.6967,2.4917,1.777,1.589,0.2849,0.6324,0.0318,0.0318,0.9026,0.0,0.0,13.09,0.0719,0.009,1.777,1.7949,0.2665,0.0,0.0,0.0,0.0,0.0,0.0
15.04,08:00,0.8199,2.4376,1.6015,1.5437,0.2768,0.5978,0.0309,0.0309,0.8939,0.0,0.0,13.5,0.0719,0.0089,1.6015,1.6177,0.2402,0.0,0.0,0.0,0.0,0.0,0.0
15.04,09:00,1.0271,2.5461,1.5038,1.2863,0.2306,0.5407,0.0257,0.0257,1.2598,0.0,0.0,16.68,0.0719,0.0126,1.5038,1.519,0.2256,0.0,0.0,0.0,0.0,0.0,0.0
15.04,10:00,1.0428,2.4773,1.4202,1.5194,0.2724,0.5669,0.0304,0.0304,0.9579,0.0,0.0,15.72,0.0719,0.0096,1.4202,1.4345,0.213,0.0,0.0,0.0,0.0,0.0,0.0
15.04,11:00,1.1918,2.4794,1.2747,1.5762,0.2826,0.5547,0.0315,0.0315,0.9032,0.0,0.0,16.29,0.0719,0.009,1.2747,1.2876,0.1912,0.0,0.0,0.0,0.0,0.0,0.0
15.04,12:00,1.107,2.3489,1.2295,0.0,0.0,0.2951,0.0,0.0,3.8793,0.0,0.0,37.43,0.0719,0.0388,1.2295,1.2419,0.1844,0.0,1.6194,49.37,1.5303,0.0,0.0
15.04,13:00,0.9479,2.1498,1.1899,0.0,0.0,0.2775,0.0,0.0,2.7133,0.0,0.0,30.56,0.0719,0.0271,1.1899,1.2019,0.1785,0.0,2.2157,67.55,0.5635,0.0,0.0
15.04,14:00,0.8343,2.098,1.251,0.0,0.0,0.2759,0.0,0.0,3.4401,0.2159,0.018,36.46,0.0719,0.0344,1.251,1.2636,0.1876,0.0,3.28,100.0,1.1263,0.0,0.0
15.04,15:00,0.7036,2.067,1.3498,0.0,0.0,1.0346,0.0,0.0,0.4088,0.0,0.0,16.86,0.0719,0.0041,1.3498,1.3634,0.2025,0.0,1.7128,52.22,0.0,1.6583,0.7562
15.04,16:00,0.7406,2.1858,1.4307,0.2511,0.045,1.0728,0.005,0.005,0.3161,0.0,0.0,16.03,0.0719,0.0032,1.4307,1.4452,0.2146,0.0,0.1832,5.58,0.0,1.6186,0.7381
15.04,17:00,0.8902,2.4732,1.5672,1.4993,0.2688,0.6627,0.03,0.03,0.8008,0.0,0.0,18.63,0.0719,0.008,1.5672,1.583,0.2351,0.0,0.0196,0.6,0.0,0.1731,0.0789
15.04,18:00,1.128,2.7299,1.5859,2.6395,0.4733,0.7922,0.0528,0.0528,0.0719,0.0,0.0,12.81,0.0719,0.0007,1.5859,1.6019,0.2379,0.0,0.0021,0.06,0.0,0.0185,0.0084
15.04,19:00,0.984,2.4004,1.4022,2.3984,0.43,0.7131,0.048,0.048,0.0,0.0,0.0,10.57,0.0719,0.0,1.4022,1.4164,0.2103,0.0,0.0002,0.01,0.0,0.002,0.0009
15.04,20:00,1.0278,2.0823,1.0439,2.0821,0.3733,0.6019,0.0416,0.0416,0.0,0.0,0.0,9.1,0.0719,0.0,1.0439,1.0544,0.1566,0.0,0.0,0.0,0.0,0.0002,0.0001
15.04,21:00,0.8294,1.4485,0.6129,1.4485,0.2597,0.4235,0.029,0.029,0.0,0.0,0.0,7.76,0.0719,0.0,0.6129,0.6191,0.0919,0.0,0.0,0.0,0.0,0.0,0.0
15.04,22:00,0.7482,1.2305,0.4774,1.2305,0.2206,0.3641,0.0246,0.0246,0.0,0.0,0.0,6.62,0.0719,0.0,0.4774,0.4822,0.0716,0.0,0.0,0.0,0.0,0.0,0.0
15.04,23:00,0.7053,2.8869,0.5362,2.8869,0.5176,0.6699,0.0577,0.0577,0.0,0.0,0.0,5.61,0.0719,0.0,0.5362,0.5416,0.0804,0.0,1.64,50.0,0.0,0.0,0.0
