generation,best_cost_eur,best_emissions_kg
1,29805.58,2790.6
2,28155.51,2790.6
3,28155.51,2790.6
4,27724.03,2790.01
5,27466.19,2775.68
6,27325.79,2775.68
7,27325.79,2775.68
8,26996.39,2773.35
9,24450.41,2773.35
10,24450.41,2773.35
11,24375.29,2773.13
12,23539.46,2773.07
13,23433.37,2773.07
14,22831.89,2773.07
15,22831.89,2772.32
16,22818.83,2772.32
17,22816.48,2772.32
18,22816.48,2772.32
19,22729.88,2771.95
20,22729.88,2771.95
21,22729.88,2771.95
22,22674.38,2771.44
23,22674.38,2771.44
24,22674.38,2771.44
25,22674.37,2771.44
26,22674.37,2771.44
27,22674.37,2771.44
28,22674.37,2771.44
29,22666.79,2771.44
30,22666.79,2771.44
31,22666.79,2771.44
32,22663.28,2771.44
33,22663.28,2771.44
34,22663.28,2771.44
35,22663.26,2771.44
36,22663.23,2771.43
37,22663.15,2771.43
38,22663.03,2771.43
39,22663.03,2771.43
40,22663.03,2771.43
41,22663.03,2771.43
42,22662.92,2771.42
43,22662.92,2771.42
44,22662.92,2771.42
45,22662.92,2771.42
46,22662.92,2771.42
47,22662.92,2771.42
48,22662.92,2771.42
49,22662.92,2771.42
50,22662.92,2771.42
51,22662.92,2771.42
52,22662.92,2771.42
53,22662.92,2771.42
54,22662.92,2771.42
55,22662.92,2771.42
56,22662.92,2771.42
57,22662.92,2771.42
58,22662.92,2771.42
59,22662.92,2771.42
60,22662.92,2771.42
