N_PV_hh,E_BESS_cap_kwh,annual_cost_total_eur,annual_emissions_total_kg,E_TESS_cap_kwh
7,0.63,333959.57,33257.77,0.01
17,0.0,342603.03,32211.34,39.96
31,0.01,250274.22,44586.73,0.0
17,0.0,342321.75,32579.71,37.0
7,0.99,338879.9,33184.36,0.0
8,0.0,319921.47,33561.98,0.0
24,0.05,272348.14,40524.44,0.0
11,0.0,310759.17,34360.35,0.0
14,0.0,351625.14,31044.41,38.08
8,8.75,462979.94,27639.0,40.0
9,8.78,465537.44,27621.68,40.0
14,0.13,304493.18,35435.19,0.0
7,2.69,410886.4,28032.76,40.0
12,0.0,358053.09,29955.47,39.99
14,0.0,351778.8,30835.43,39.68
15,0.0,348621.1,31370.29,39.04
15,0.07,300107.71,35901.95,0.0
21,0.13,283104.86,38847.11,0.0
18,0.02,339850.1,32698.35,40.0
9,11.15,478574.98,27575.01,40.0
9,8.82,465792.46,27620.52,40.0
13,0.0,354810.1,30507.68,38.87
18,0.01,339582.06,32755.7,39.58
12,0.0,357874.31,30182.59,38.28
14,0.0,351894.46,30794.28,39.99
12,0.0,357910.5,30157.48,38.45
19,0.02,336864.74,33208.82,40.0
7,1.33,394020.92,28216.97,40.0
7,1.56,396973.85,28181.02,40.0
8,6.43,448065.72,27701.04,40.0
40,0.13,225761.27,49996.12,0.0
7,3.17,416361.2,27984.65,39.99
7,1.38,394716.87,28209.19,39.99
9,0.0,316812.34,33778.13,0.0
7,4.66,431941.11,27859.18,40.0
10,0.14,316663.52,33988.43,0.0
17,0.02,342955.96,32198.28,40.0
7,1.56,396973.85,28181.02,40.0
35,0.04,238974.92,46970.7,0.0
15,0.0,348507.19,31531.13,37.78
12,0.1,360196.56,29907.6,39.99
19,0.07,287905.36,37832.82,0.0
35,0.13,240940.93,46924.31,0.0
