N_PV_hh,E_BESS_cap_kwh,E_TESS_cap_kwh,annual_cost_total_eur,annual_emissions_total_kg
40,0.0,33.41,7143.89,1168.58
4,0.0,19.14,7986.19,723.74
4,0.0,5.79,7986.19,723.74
40,0.0,36.16,7143.89,1168.58
32,0.1,13.42,7385.01,1043.8
33,0.0,4.93,7333.18,1059.61
38,0.0,3.58,7198.59,1137.11
36,0.0,4.06,7252.87,1105.87
39,0.0,3.58,7171.27,1152.82
35,0.11,24.92,7305.71,1089.81
39,0.11,14.21,7197.64,1152.24
40,0.11,24.28,7171.03,1167.99
37,0.0,3.93,7225.79,1121.46
36,0.11,24.25,7279.01,1105.3
30,0.11,24.81,7437.86,1013.61
37,0.11,25.06,7252.14,1120.88
38,0.11,30.19,7225.78,1136.52
30,0.0,1.79,7412.12,1014.17
20,0.0,21.07,7664.06,870.78
34,0.0,6.12,7306.57,1074.96
28,0.11,30.37,7489.19,983.86
32,0.0,11.08,7359.69,1044.35
26,0.0,2.56,7514.77,955.15
27,0.11,30.72,7514.54,969.17
26,0.11,0.03,7539.75,954.63
29,0.11,30.72,7463.73,998.68
35,0.0,6.33,7279.8,1090.37
31,0.11,0.62,7411.45,1028.65
25,0.11,35.26,7564.64,940.23
34,0.11,26.58,7332.45,1074.39
33,0.11,0.28,7359.68,1059.05
22,0.11,35.12,7638.97,897.82
31,0.0,0.96,7386.03,1029.2
29,0.0,8.08,7438.07,999.23
27,0.0,27.58,7489.42,969.7
20,0.11,35.12,7687.78,870.3
28,0.0,29.52,7463.87,984.4
21,0.11,5.56,7663.64,883.97
23,0.0,15.72,7589.89,912.34
23,0.11,30.37,7614.2,911.83
25,0.0,30.36,7539.96,940.75
24,0.11,33.78,7589.48,925.97
21,0.0,25.02,7639.49,884.47
24,0.0,29.0,7564.98,926.48
19,0.11,27.45,7712.12,856.84
17,0.0,33.71,7736.16,831.08
22,0.0,14.29,7614.77,898.32
18,0.1,2.75,7735.12,843.61
19,0.0,24.54,7688.4,857.32
18,0.0,13.48,7712.46,844.07
17,0.1,23.67,7758.56,830.63
16,0.0,13.82,7759.36,818.45
15,0.0,0.82,7782.67,806.33
14,0.1,27.82,7824.7,794.4
16,0.11,24.97,7782.17,818.02
13,0.1,38.38,7844.56,783.45
13,0.0,22.36,7824.79,783.78
15,0.1,1.18,7804.04,805.93
14,0.0,25.27,7804.17,794.76
12,0.0,24.36,7844.78,773.34
11,0.0,11.08,7864.27,763.5
12,0.1,20.51,7863.83,773.03
11,0.09,22.16,7879.73,763.23
5,0.01,27.75,7968.11,724.99
4,0.0,28.01,7985.89,723.75
10,0.0,23.53,7882.89,754.42
9,0.1,23.68,7917.64,746.03
10,0.09,21.73,7897.54,754.18
9,0.0,3.88,7900.55,746.26
8,0.0,11.89,7917.74,739.06
7,0.0,13.48,7934.59,733.01
8,0.09,26.44,7930.51,738.89
6,0.0,23.26,7950.86,728.22
7,0.09,26.28,7946.19,732.87
5,0.0,34.97,7967.19,725.01
6,0.09,20.33,7961.06,728.14
5,0.0,27.58,7967.19,725.01
6,0.09,20.65,7961.06,728.14
11,0.06,1.75,7874.74,763.33
20,0.02,4.74,7668.17,870.69
12,0.06,31.09,7855.79,773.16
38,0.04,16.2,7209.28,1136.82
11,0.08,0.48,7877.99,763.28
28,0.01,28.26,7466.09,984.33
16,0.09,22.38,7778.17,818.06
39,0.09,37.38,7192.7,1152.32
40,0.1,1.0,7167.76,1168.07
32,0.08,24.68,7378.2,1043.94
27,0.04,23.14,7497.95,969.52
40,0.01,23.42,7147.21,1168.49
40,0.02,19.98,7149.68,1168.41
15,0.09,24.37,7801.03,805.96
37,0.09,38.08,7247.19,1120.96
22,0.02,35.16,7618.96,898.23
25,0.08,12.59,7558.62,940.33
7,0.09,5.79,7946.19,732.87
6,0.0,23.3,7950.86,728.22
25,0.1,8.39,7562.54,940.29
25,0.04,24.92,7549.98,940.49
26,0.04,22.62,7524.98,954.89
32,0.09,13.29,7381.38,1043.86
28,0.04,1.97,7472.82,984.2
26,0.09,19.57,7535.22,954.69
33,0.1,9.14,7356.64,1059.12
26,0.1,10.33,7537.79,954.68
31,0.06,8.33,7399.88,1028.9
33,0.05,34.73,7345.92,1059.33
18,0.08,20.96,7730.63,843.68
12,0.09,15.55,7861.03,773.05
27,0.02,23.43,7494.91,969.55
6,0.06,15.63,7958.25,728.16
21,0.1,8.17,7662.08,884.01
25,0.07,4.44,7555.55,940.4
20,0.1,16.37,7685.92,870.35
22,0.1,2.06,7637.11,897.87
25,0.05,34.73,7552.27,940.48
31,0.01,2.1,7387.92,1029.15
26,0.01,0.69,7516.91,955.09
29,0.07,5.37,7454.1,998.87
16,0.08,1.4,7775.99,818.13
36,0.03,24.67,7259.86,1105.69
24,0.1,3.65,7587.62,926.02
31,0.07,5.21,7404.16,1028.81
37,0.06,22.77,7239.86,1121.16
36,0.1,21.27,7276.69,1105.37
26,0.05,0.76,7527.23,954.88
40,0.05,10.51,7156.81,1168.29
17,0.06,1.18,7749.55,830.8
27,0.0,27.78,7489.86,969.68
31,0.09,7.17,7406.78,1028.72
36,0.05,35.33,7265.89,1105.58
38,0.05,21.29,7211.68,1136.81
11,0.01,0.78,7865.93,763.45
20,0.03,29.14,7670.21,870.63
16,0.04,27.55,7768.73,818.23
23,0.03,5.41,7596.57,912.17
27,0.04,24.1,7499.6,969.44
7,0.0,2.51,7934.59,733.01
10,0.07,5.38,7894.1,754.24
8,0.09,26.44,7930.51,738.89
31,0.02,3.68,7390.37,1029.1
23,0.1,36.75,7612.15,911.89
6,0.04,19.97,7955.89,728.17
32,0.05,24.4,7372.42,1044.06
13,0.07,29.43,7838.15,783.53
35,0.01,5.76,7282.02,1090.3
10,0.06,30.98,7892.8,754.27
19,0.03,38.71,7695.48,857.17
25,0.09,38.06,7560.07,940.3
36,0.07,27.31,7269.46,1105.49
17,0.05,35.93,7747.92,830.84
38,0.01,22.36,7202.13,1137.01
39,0.03,25.35,7179.44,1152.62
12,0.03,24.27,7850.85,773.23
14,0.08,27.82,7820.02,794.47
22,0.01,0.74,7616.89,898.25
15,0.05,1.59,7793.98,806.11
37,0.1,8.39,7249.81,1120.95
18,0.09,20.7,7731.86,843.65
36,0.08,31.02,7271.72,1105.46
27,0.02,1.34,7493.59,969.61
14,0.02,10.04,7808.95,794.64
39,0.02,21.11,7177.16,1152.65
38,0.02,2.68,7204.39,1136.94
28,0.09,18.57,7484.64,983.93
34,0.08,4.69,7327.36,1074.49
34,0.05,34.1,7319.43,1074.67
24,0.01,29.23,7567.11,926.41
30,0.08,4.4,7432.83,1013.7
34,0.03,25.2,7314.56,1074.76
20,0.08,5.0,7681.35,870.42
39,0.05,23.89,7184.43,1152.52
9,0.07,22.91,7911.56,746.08
16,0.1,38.38,7780.9,818.05
16,0.06,38.58,7771.7,818.22
38,0.01,2.35,7200.65,1137.05
18,0.07,25.66,7727.49,843.75
36,0.01,0.78,7255.05,1105.81
31,0.02,21.77,7391.78,1029.03
16,0.07,5.21,7773.91,818.15
32,0.07,6.62,7375.74,1043.98
9,0.09,23.21,7914.56,746.04
38,0.03,24.85,7206.63,1136.91
19,0.01,0.78,7690.47,857.25
34,0.02,4.2,7311.36,1074.84
37,0.07,3.11,7242.37,1121.08
