N_PV_hh,E_BESS_cap_kwh,annual_cost_total_eur,annual_emissions_total_kg,E_TESS_cap_kwh
40,0.0,2081.83,492.68,0.0
9,12.11,4672.57,268.08,40.0
40,0.0,2081.83,492.68,0.0
37,0.13,2202.08,473.44,0.0
22,0.0,2628.57,386.44,0.0
21,0.0,2659.01,381.06,0.0
32,0.0,2324.43,443.92,0.0
23,0.13,2627.9,391.18,0.0
38,0.13,2171.71,479.58,0.0
24,0.13,2597.37,396.74,0.0
31,0.0,2354.8,437.97,0.0
28,0.0,2445.95,420.32,0.0
39,0.13,2142.16,485.75,0.0
39,0.0,2112.18,486.48,0.0
8,0.0,3062.39,326.97,0.0
25,0.13,2567.03,402.36,0.0
6,1.3,3786.29,274.18,39.9
33,0.13,2324.23,449.17,0.0
31,0.13,2384.91,437.23,0.0
25,0.0,2537.13,403.09,0.0
20,0.13,2719.4,375.06,0.0
17,0.0,2781.12,360.57,0.0
33,0.0,2294.08,449.91,0.0
35,0.0,2233.47,461.98,0.0
35,0.13,2262.79,461.25,0.0
12,0.14,2966.05,338.11,0.0
37,0.0,2172.84,474.16,0.0
32,0.13,2354.69,443.17,0.0
40,0.13,2111.06,491.95,0.0
16,0.0,3275.88,313.65,37.96
36,0.0,2203.14,468.06,0.0
36,0.13,2232.36,467.34,0.0
16,0.0,2811.88,355.76,0.0
16,0.13,2842.19,355.04,0.0
15,0.13,2873.8,350.41,0.0
38,0.0,2142.51,480.3,0.0
34,0.0,2263.76,455.93,0.0
6,0.33,3659.14,275.7,39.99
29,0.0,2415.57,426.16,0.0
34,0.13,2293.08,455.2,0.0
30,0.0,2385.2,432.05,0.0
7,1.95,3849.68,273.45,39.98
17,0.13,2811.49,359.84,0.0
18,0.13,2780.89,364.8,0.0
14,0.0,2874.42,346.72,0.0
17,0.08,3264.06,315.79,40.0
27,0.0,2476.32,414.52,0.0
30,0.13,2415.34,431.3,0.0
7,0.0,3569.29,278.52,39.34
23,0.0,2598.1,391.91,0.0
9,0.13,3056.59,328.71,0.0
29,0.13,2445.77,425.41,0.0
6,0.6,3696.83,275.14,39.99
15,0.0,2843.54,351.13,0.0
27,0.13,2506.51,413.78,0.0
26,0.13,2536.59,408.05,0.0
19,0.13,2750.2,369.88,0.0
28,0.13,2476.1,419.57,0.0
26,0.0,2506.71,408.78,0.0
24,0.0,2567.62,397.46,0.0
8,8.6,4460.98,268.51,39.99
9,11.17,4625.11,268.15,40.0
14,0.13,2904.6,346.01,0.0
8,5.81,4273.26,269.48,39.97
7,4.43,4134.51,270.66,40.0
22,0.13,2658.25,385.72,0.0
6,0.23,3643.17,275.97,39.99
8,9.13,4492.54,268.43,39.99
11,0.0,3436.91,289.6,39.57
7,2.74,3945.6,272.38,40.0
16,0.0,3277.51,311.28,39.94
20,0.0,2689.48,375.78,0.0
19,0.0,2719.93,370.6,0.0
13,0.0,2905.28,342.56,0.0
8,7.79,4410.64,268.73,39.99
21,0.13,2688.86,380.34,0.0
8,8.21,4437.16,268.61,39.99
18,0.0,3214.84,321.44,39.98
15,0.0,3308.98,307.96,38.62
8,5.49,4246.33,269.7,39.99
18,0.0,2750.47,365.52,0.0
6,0.05,3613.71,276.51,39.99
9,0.0,3029.74,329.28,0.0
8,6.4,4318.5,269.13,39.99
7,0.09,3588.41,277.31,40.0
7,0.58,3193.54,323.73,0.0
10,0.14,3498.84,284.79,40.0
6,1.61,3823.41,273.68,39.98
8,6.12,4297.46,269.26,40.0
7,0.33,3154.93,324.34,0.0
17,0.0,3245.08,317.91,38.57
12,0.08,3423.05,292.57,40.0
9,11.71,4652.97,268.1,40.0
6,0.87,3733.98,274.68,39.99
11,0.13,2996.25,334.63,0.0
18,0.0,3213.97,322.86,38.73
10,0.0,3468.33,288.18,37.88
6,0.33,3180.3,324.28,0.0
11,0.0,2966.81,335.28,0.0
16,0.13,3305.85,310.5,40.0
7,2.56,3923.95,272.78,39.86
17,0.0,3246.13,316.27,39.97
9,10.1,4569.64,268.29,40.0
6,2.15,3885.06,273.1,39.99
9,0.14,3531.6,281.6,40.0
12,0.0,3405.2,293.03,40.0
13,0.02,3377.83,297.1,40.0
7,0.22,3135.98,324.65,0.0
8,7.41,4386.23,268.82,40.0
8,7.18,4371.41,268.89,39.99
13,0.08,3391.3,296.77,40.0
14,0.0,3341.55,301.67,40.0
15,0.04,3318.82,306.28,39.83
12,0.0,2935.98,338.77,0.0
6,2.15,3885.06,273.1,39.99
32,0.11,2348.43,443.35,0.0
17,0.07,2798.1,360.17,0.0
14,0.0,3340.56,303.05,38.85
31,0.08,2373.07,437.48,0.0
16,0.07,2828.75,355.37,0.0
29,0.01,2418.89,426.1,0.0
15,0.06,2857.45,350.77,0.0
9,10.64,4597.56,268.21,40.0
39,0.07,2128.27,486.07,0.0
14,0.08,2892.06,346.29,0.0
25,0.05,2548.33,402.83,0.0
23,0.01,2600.15,391.84,0.0
21,0.13,2688.5,380.36,0.0
24,0.0,2567.94,397.45,0.0
22,0.13,2657.97,385.73,0.0
20,0.06,2703.55,375.41,0.0
13,0.0,3372.08,298.75,38.75
12,0.01,2939.26,338.72,0.0
37,0.02,2177.24,474.04,0.0
30,0.0,2386.25,431.99,0.0
8,0.07,3551.26,279.26,40.0
18,0.09,2772.19,365.03,0.0
16,0.08,3296.28,310.75,40.0
13,0.04,2915.07,342.29,0.0
7,5.27,4214.11,270.0,39.99
14,0.0,3338.58,305.37,37.05
28,0.1,2468.54,419.75,0.0
13,0.14,2935.89,341.86,0.0
6,1.06,3757.03,274.43,39.98
38,0.04,2151.88,480.04,0.0
30,0.13,2414.28,431.32,0.0
7,0.0,3094.93,325.45,0.0
34,0.08,2282.21,455.44,0.0
27,0.03,2483.9,414.31,0.0
17,0.0,3243.11,320.85,36.13
8,0.0,3536.47,279.72,39.87
8,5.27,4226.29,269.93,39.99
26,0.02,2510.6,408.69,0.0
10,0.13,3025.74,331.48,0.0
14,0.08,3359.75,301.19,40.0
19,0.11,2743.96,370.05,0.0
17,0.0,3243.51,320.25,36.64
7,3.39,4020.84,271.65,39.99
7,4.22,4112.85,270.84,40.0
10,0.03,3477.36,285.28,40.0
36,0.03,2209.25,467.89,0.0
7,4.73,4164.06,270.41,40.0
10,0.0,2998.33,332.08,0.0
10,0.01,3470.58,285.94,39.58
12,0.0,3403.45,295.14,38.32
7,3.19,3997.19,271.87,39.99
40,0.02,2085.91,492.58,0.0
26,0.13,2535.63,408.07,0.0
7,0.0,3094.93,325.45,0.0
35,0.11,2258.96,461.38,0.0
7,3.89,4077.52,271.15,40.0
40,0.11,2107.95,492.04,0.0
35,0.02,2237.27,461.89,0.0
7,3.72,4058.48,271.34,39.98
7,0.08,3110.72,325.12,0.0
12,0.0,3402.86,295.74,37.88
7,3.52,4034.78,271.54,39.98
7,0.13,3120.16,324.95,0.0
8,6.79,4345.51,268.99,39.99
7,2.97,3972.73,272.14,39.97
7,4.75,4166.26,270.39,39.99
9,0.0,3502.59,282.45,39.83
10,0.0,2998.03,332.09,0.0
36,0.13,2231.71,467.38,0.0
9,9.59,4542.1,268.38,40.0
11,0.0,3437.3,289.1,39.98
15,0.0,3309.99,306.33,40.0
6,1.66,3829.36,273.62,39.99
13,0.0,3371.18,299.8,37.94
9,10.44,4587.6,268.24,40.0
14,0.0,3339.06,304.81,37.49
19,0.01,2722.59,370.54,0.0
27,0.13,2505.87,413.82,0.0
9,9.66,4546.16,268.37,39.99
8,9.55,4517.04,268.39,40.0
10,0.14,3027.69,331.44,0.0
7,5.02,4191.71,270.23,39.96
7,3.99,4088.27,271.08,39.98
7,2.97,3972.79,272.11,39.99
6,0.69,3710.38,274.96,39.99
