N_PV_hh,E_BESS_cap_kwh,E_TESS_cap_kwh,annual_cost_total_eur,annual_emissions_total_kg
39.911701489947795,28.017351113511467,39.96318891434706,6420.983900000114,143.06460000000024
39.820559423664186,0.01147754506240714,33.50562208344947,3864.512900000121,171.05149999999938
39.668188229700164,0.01147754506240714,33.50562208344947,3864.512900000121,171.05149999999938
39.9037154421286,16.625831652915682,39.93898142046402,5997.329800000115,147.26910000000032
39.990723686681775,5.000102040089419,39.95783150365567,4837.807100000118,159.80650000000003
39.98379421810029,8.363610443035494,39.98282196179299,5298.595200000121,155.93220000000008
39.91132188224155,21.964611652537602,39.99934324195556,6239.4062000001295,144.04830000000032
39.15448680644829,3.5839025926022163,39.616200634219624,4589.94190000012,161.48989999999958
39.98379421810029,11.252167127028617,39.74473163626222,5598.700700000119,152.60300000000046
39.997620850589215,9.431828940881523,39.98282196179299,5419.128000000122,154.64570000000015
39.94715603288407,2.3840125988050387,39.975140526568815,4362.206800000112,162.3887
39.97487245219017,1.0460756847392396,39.977736706213385,4097.245000000115,163.87249999999995
39.9026379503205,0.505396857327949,39.97474944426778,3981.024300000114,164.6305
39.997620850589215,6.737614285476878,39.98282196179299,5091.7936000001255,157.88669999999996
39.99773732587276,0.0025388961460356824,36.95732261764431,3865.128200000119,167.94599999999997
39.51188578908235,0.46092650793794654,36.89158958225854,3970.2907000001173,167.24770000000012
39.54972813083196,15.177673651136729,39.79582273029079,5907.875400000125,148.6661000000003
39.997722416572884,4.287289308201494,39.88626871477874,4717.75220000011,160.59299999999948
39.9026379503205,1.89280628347716,39.97474944426778,4267.8902000001135,162.89939999999976
39.98379421810029,6.778988199478297,39.98282196179299,5097.298300000124,157.83960000000008
