N_PV_hh,E_BESS_cap_kwh,annual_cost_total_eur,annual_emissions_total_kg,E_TESS_cap_kwh
5,0.0,801015.18,72074.82,34.83
7,0.0,787808.44,76669.15,32.9
9,0.05,671305.93,88962.68,0.0
7,0.0,789231.11,75183.29,37.97
3,0.0,817860.95,67749.73,39.55
28,0.08,558491.88,146993.64,0.0
7,0.0,789894.34,74577.41,39.99
6,0.11,800253.48,72323.42,39.99
33,0.08,528699.45,163470.26,0.0
8,0.0,782888.74,77618.54,37.74
3,0.0,707548.5,77925.38,0.0
6,0.0,794256.73,74342.04,33.6
8,0.01,675838.06,86478.44,0.0
25,0.01,573281.69,137296.64,0.0
37,0.02,501893.18,176853.32,0.0
4,0.0,809785.68,68812.11,40.0
25,0.06,575597.88,137242.35,0.0
26,0.11,572050.38,140431.38,0.0
18,0.04,616711.32,115019.72,0.0
36,0.01,507101.22,173534.46,0.0
3,0.01,818315.18,67594.9,40.0
40,0.02,483635.78,186907.08,0.0
2,0.0,829403.02,67481.63,38.5
39,0.0,488856.31,183571.15,0.0
8,0.0,783534.25,76957.84,40.0
17,0.03,622369.32,111942.56,0.0
34,0.08,522541.25,166794.46,0.0
26,0.07,570004.41,140479.07,0.0
29,0.13,554671.22,150222.51,0.0
7,0.11,794138.18,74493.42,40.0
12,0.05,653431.71,97101.09,0.0
8,0.03,784841.77,76930.39,40.0
28,0.02,556042.25,147051.12,0.0
21,0.03,598289.1,124438.41,0.0
22,0.0,591070.43,127650.39,0.0
23,0.0,585153.43,130850.33,0.0
28,0.13,560706.18,146942.35,0.0
7,0.06,683911.47,84110.92,0.0
34,0.08,522366.06,166798.56,0.0
29,0.0,549116.97,150353.02,0.0
7,0.0,789324.53,75089.78,38.28
25,0.06,575597.88,137242.35,0.0
23,0.13,590915.66,130716.69,0.0
