N_PV_hh,E_BESS_cap_kwh,annual_cost_total_eur,annual_emissions_total_kg
40,0.0,668980.68,72297.19
20,21.14,1011917.52,58920.32
20,21.14,1011917.52,58920.32
40,0.0,668980.68,72297.19
39,0.0,671745.91,71766.83
38,0.11,677211.19,71184.26
35,0.11,685403.72,69645.23
27,0.0,704052.19,65913.89
27,0.11,706608.35,65860.29
34,0.0,685407.98,69201.61
40,0.11,671705.96,72238.95
35,0.0,682695.4,69703.01
37,0.0,677241.03,70723.13
31,0.0,693496.49,67734.26
31,0.11,696166.33,67677.22
37,0.11,679975.17,70664.45
32,0.0,690810.65,68216.86
39,0.11,674493.15,71708.0
38,0.0,674498.51,71242.69
36,0.11,682690.16,70151.24
26,0.11,709198.36,65435.5
33,0.0,688114.28,68706.17
34,0.11,688111.47,69143.99
32,0.11,693492.75,68159.57
36,0.0,679975.42,70209.18
25,0.11,711733.05,65022.21
29,0.11,701443.55,66742.67
30,0.0,696171.13,67259.48
29,0.0,698822.38,66798.03
33,0.11,690810.13,68648.66
30,0.11,698820.19,67203.16
28,0.0,701448.77,66349.68
25,0.0,709211.79,65074.62
14,4.88,820062.63,60815.52
22,0.11,719266.35,63870.97
28,0.11,704046.19,66294.93
22,0.0,716811.06,63920.75
26,0.0,706635.67,65489.19
21,0.11,721752.24,63523.14
19,0.1,726604.36,62881.84
24,0.0,711768.87,64673.86
21,0.0,719287.07,63572.82
13,2.82,787585.57,61075.29
24,0.11,714275.78,64621.96
13,4.59,815226.77,60845.4
23,0.0,714307.02,64287.55
23,0.11,716787.44,64236.78
16,12.17,919940.46,59731.9
13,3.15,792985.24,61027.57
13,1.03,756882.66,61382.9
17,16.12,962326.93,59199.05
17,14.74,949561.23,59330.48
13,5.15,823664.1,60784.1
12,0.45,748414.61,61508.19
16,12.47,923100.7,59683.13
13,1.84,771261.81,61231.03
17,13.8,940195.71,59449.28
20,0.11,724189.02,63192.1
20,0.0,721753.91,63240.64
15,11.18,905865.08,59943.56
17,15.26,954480.87,59275.4
14,8.06,866413.11,60428.89
14,5.96,836617.42,60679.9
14,5.49,829460.15,60737.8
14,7.26,855587.34,60528.78
12,0.18,743628.98,61579.51
14,5.29,826374.46,60763.23
19,0.0,724193.47,62929.65
17,14.37,946020.38,59373.86
19,19.89,999868.69,58952.37
14,6.11,838905.38,60662.59
18,0.1,728999.23,62592.01
14,7.44,858059.47,60507.03
15,9.01,880575.36,60267.61
17,13.19,933916.76,59542.08
15,10.87,902382.93,59987.47
20,20.04,1003835.22,58937.12
20,20.64,1008272.5,58924.24
17,14.98,951902.52,59303.62
18,0.0,726606.33,62639.2
18,16.33,967718.16,59141.18
13,2.17,776881.61,61175.62
15,9.29,884068.07,60222.89
15,0.1,735730.84,61889.09
19,18.2,986680.31,59001.55
16,12.92,927796.03,59613.31
13,2.54,782976.11,61117.47
17,15.67,958283.6,59236.85
13,1.25,760730.42,61338.55
14,8.37,870436.12,60389.48
15,8.7,876786.46,60315.37
17,0.0,729007.12,62366.44
16,11.42,911674.29,59859.85
13,2.7,785659.85,61092.75
18,16.59,970001.85,59120.63
15,10.05,893065.44,60105.54
17,14.02,942485.46,59419.31
15,8.41,872987.93,60362.09
14,7.66,861026.96,60480.32
19,19.57,997463.84,58958.13
14,5.72,832998.17,60708.68
14,4.08,807466.83,60924.3
17,12.96,931422.2,59583.25
13,2.07,775243.21,61191.69
13,3.87,804213.91,60932.34
15,9.5,886538.43,60190.92
14,6.86,850010.23,60576.39
16,10.53,901262.78,60017.58
16,0.0,731351.74,62127.25
13,4.16,808655.44,60896.67
17,0.1,731334.28,62321.59
19,19.23,994811.27,58965.38
19,16.94,976181.39,59093.49
15,7.82,865004.44,60454.34
13,4.33,811254.46,60876.07
13,1.45,764275.32,61301.29
13,2.39,780519.43,61140.73
15,9.85,890712.41,60135.76
18,15.25,957804.73,59254.46
16,12.68,925301.47,59649.59
20,20.3,1005754.78,58930.37
13,4.43,812693.33,60864.88
13,1.54,765913.54,61284.7
16,13.82,936925.72,59492.26
12,0.65,751837.12,61460.13
15,7.66,862742.56,60479.4
15,9.11,881825.0,60251.59
13,0.05,739027.83,61655.19
16,11.93,917389.34,59770.87
14,7.02,852320.69,60556.82
14,0.0,735858.64,61771.48
16,0.1,733615.09,62084.76
14,6.34,842385.2,60636.16
19,18.52,989234.89,58987.55
16,13.79,936659.46,59495.5
14,5.66,832171.67,60715.48
13,1.66,768047.39,61263.21
39,0.11,674482.81,71708.23
16,11.64,914144.61,59820.95
40,0.09,671148.79,72250.7
35,0.03,683549.8,69684.62
38,0.03,675359.1,71224.01
19,17.62,981923.74,59036.56
13,0.9,754611.55,61412.92
15,8.59,875325.0,60333.73
16,11.27,909994.89,59886.18
19,17.86,983972.51,59019.96
