generation,best_cost_eur,best_emissions_kg
1,313327.93,33978.86
2,313327.93,33635.58
3,301930.1,33635.58
4,295772.82,33590.3
5,289970.83,33590.3
6,272701.7,33545.59
7,272534.49,33480.22
8,264412.4,33401.34
9,248818.36,33401.34
10,248818.36,33401.34
11,245797.48,33401.34
12,243766.72,33381.66
13,243339.06,33381.66
14,240316.26,33381.04
15,240316.26,33360.43
16,240208.78,33360.15
17,240208.78,33360.15
18,240111.47,33360.13
19,240111.47,33359.93
20,240111.47,33359.93
21,240111.47,33359.92
22,239963.03,33359.92
23,239963.03,33359.92
24,239942.62,33359.92
25,239942.62,33359.92
26,239940.83,33359.92
27,239940.27,33359.92
28,239939.95,33359.92
29,239939.95,33359.92
30,239939.95,33359.92
31,239939.95,33359.87
32,239939.95,33359.87
33,239939.93,33359.8
34,239939.93,33359.8
35,239939.85,33359.8
36,239939.85,33359.8
37,239939.85,33359.8
38,239939.85,33357.52
39,239939.85,33357.52
40,239939.85,33357.52
41,239939.85,33357.52
42,239939.85,33355.36
43,239939.85,33355.36
44,239939.85,33355.33
45,239939.85,33355.33
46,239939.85,33355.33
47,239939.84,33355.33
48,239939.84,33355.33
49,239939.84,33355.33
50,239939.84,33355.33
51,239939.84,33355.31
52,239939.84,33355.31
53,239939.84,33355.31
54,239939.84,33355.31
55,239939.84,33355.31
56,239939.84,33355.31
57,239939.84,33355.31
58,239939.84,33355.31
59,239939.84,33355.31
60,239939.84,33355.31
