N_PV_hh,E_BESS_cap_kwh,annual_cost_total_eur,annual_emissions_total_kg,E_TESS_cap_kwh
40,0.0,2081.83,917.73,0.0
1,0.0,3882.29,309.69,40.0
1,0.0,3882.29,309.69,40.0
40,0.0,2081.83,917.73,0.0
8,0.0,3535.06,365.81,39.05
2,0.0,3287.24,365.99,0.0
2,0.02,3788.83,309.84,40.0
1,0.0,3882.24,309.74,39.97
17,0.13,2810.51,540.5,0.0
39,0.13,2142.38,900.16,0.0
19,0.13,2750.33,571.77,0.0
25,0.13,2567.0,668.02,0.0
37,0.13,2202.27,866.6,0.0
23,0.0,2598.1,636.31,0.0
20,0.0,2689.48,588.3,0.0
36,0.13,2232.7,849.87,0.0
35,0.13,2263.69,833.16,0.0
25,0.0,2537.12,668.75,0.0
3,0.04,3235.61,367.0,0.0
16,0.14,2843.04,525.04,0.0
31,0.13,2385.03,766.63,0.0
26,0.13,2536.48,684.34,0.0
35,0.0,2233.46,833.9,0.0
26,0.0,2506.71,685.06,0.0
29,0.13,2445.77,733.57,0.0
34,0.13,2293.87,816.49,0.0
27,0.13,2506.26,700.7,0.0
13,0.0,2905.28,480.7,0.0
31,0.0,2354.8,767.38,0.0
30,0.13,2415.47,750.08,0.0
28,0.0,2445.94,717.85,0.0
23,0.13,2627.9,635.58,0.0
30,0.0,2385.2,750.84,0.0
2,0.0,3287.14,366.0,0.0
34,0.0,2263.76,817.22,0.0
14,0.0,2874.42,495.48,0.0
17,0.0,2781.12,541.21,0.0
40,0.13,2112.11,916.98,0.0
32,0.0,2324.43,783.96,0.0
12,0.0,2935.98,466.29,0.0
24,0.0,2567.62,652.49,0.0
37,0.0,2172.83,867.33,0.0
36,0.0,2203.14,850.6,0.0
38,0.0,2142.51,884.1,0.0
33,0.0,2294.08,800.58,0.0
11,0.0,2966.81,452.17,0.0
21,0.0,2659.01,604.21,0.0
8,0.15,3092.01,411.4,0.0
39,0.0,2112.18,900.9,0.0
38,0.13,2172.78,883.36,0.0
33,0.13,2324.14,799.84,0.0
28,0.13,2475.79,717.12,0.0
12,0.14,2966.52,465.61,0.0
32,0.13,2354.66,783.21,0.0
27,0.0,2476.32,701.43,0.0
29,0.0,2415.57,734.32,0.0
16,0.0,2811.88,525.78,0.0
22,0.13,2658.48,619.48,0.0
24,0.13,2597.49,651.76,0.0
22,0.0,2628.57,620.21,0.0
21,0.13,2688.98,603.49,0.0
20,0.13,2719.53,587.58,0.0
9,0.0,3029.74,424.92,0.0
18,0.13,2781.01,556.07,0.0
15,0.0,2843.54,510.52,0.0
19,0.0,2719.93,572.5,0.0
18,0.0,2750.47,556.8,0.0
8,0.0,3062.09,412.0,0.0
7,0.17,3125.77,399.24,0.0
15,0.13,2873.76,509.81,0.0
14,0.13,2904.39,494.78,0.0
13,0.13,2934.78,480.03,0.0
11,0.14,2997.2,451.5,0.0
7,0.0,3094.93,399.83,0.0
9,0.15,3060.51,424.28,0.0
10,0.15,3029.6,437.68,0.0
10,0.0,2998.02,438.35,0.0
6,0.14,3150.41,388.49,0.0
5,0.0,3159.45,379.41,0.0
4,0.0,3193.03,371.77,0.0
6,0.0,3127.11,388.9,0.0
4,0.15,3698.55,320.72,40.0
7,0.0,3561.94,360.83,33.68
38,0.0,2143.1,884.07,0.0
5,0.2,3189.52,379.0,0.0
25,0.06,2550.68,668.4,0.0
38,0.13,2172.66,883.37,0.0
39,0.06,2126.42,900.52,0.0
20,0.07,2704.63,587.91,0.0
27,0.09,2496.56,700.92,0.0
2,0.0,3781.67,313.48,37.94
22,0.1,2650.29,619.69,0.0
36,0.08,2221.53,850.12,0.0
8,0.07,3549.54,364.4,39.9
24,0.07,2582.68,652.1,0.0
3,0.33,3758.54,313.69,40.0
19,0.06,2733.01,572.19,0.0
3,0.04,3727.16,313.9,39.99
4,0.03,3680.7,320.94,40.0
3,0.0,3713.03,320.66,35.93
5,0.02,3643.38,329.88,40.0
4,0.08,3204.51,371.62,0.0
7,0.02,3572.95,352.02,40.0
7,0.1,3114.14,399.46,0.0
4,0.26,3225.59,371.44,0.0
6,0.0,3598.16,346.29,35.91
40,0.07,2096.88,917.34,0.0
11,0.03,2974.21,451.98,0.0
14,0.07,2889.96,495.12,0.0
22,0.0,2628.79,620.2,0.0
3,0.0,3231.03,367.04,0.0
8,0.1,3081.92,411.59,0.0
7,0.06,3582.63,351.91,39.89
17,0.03,2788.34,541.02,0.0
5,0.08,3172.54,379.19,0.0
37,0.06,2188.06,866.98,0.0
3,0.0,3718.02,316.78,38.26
26,0.08,2524.9,684.59,0.0
9,0.08,3047.58,424.51,0.0
35,0.08,2251.04,833.45,0.0
5,0.0,3632.57,336.15,35.85
4,0.2,3218.61,371.51,0.0
27,0.01,2477.52,701.41,0.0
4,0.0,3674.15,323.43,38.36
29,0.07,2431.25,733.93,0.0
23,0.07,2613.54,635.94,0.0
11,0.1,2989.52,451.67,0.0
33,0.07,2310.91,800.17,0.0
8,0.04,3070.08,411.81,0.0
7,0.02,3568.89,356.29,36.85
7,0.03,3101.05,399.69,0.0
6,0.13,3627.76,339.99,40.0
36,0.0,2204.21,850.55,0.0
6,0.0,3593.29,351.16,32.59
6,0.05,3613.32,340.28,40.0
26,0.04,2515.83,684.81,0.0
8,0.11,3559.2,364.1,39.99
13,0.07,2921.18,480.33,0.0
34,0.04,2273.29,816.94,0.0
35,0.04,2243.06,833.61,0.0
15,0.1,2866.23,509.97,0.0
5,0.0,3636.89,332.32,38.37
4,0.0,3669.5,327.28,35.93
6,0.08,3140.83,388.63,0.0
4,0.0,3668.78,327.89,35.57
5,0.15,3182.5,379.11,0.0
6,0.0,3602.74,341.96,38.88
13,0.05,2916.43,480.46,0.0
33,0.04,2304.06,800.31,0.0
29,0.0,2415.83,734.31,0.0
2,0.0,3783.87,311.89,38.83
12,0.11,2959.79,465.78,0.0
7,0.02,3569.27,356.26,36.85
12,0.07,2950.75,465.94,0.0
14,0.03,2882.07,495.28,0.0
30,0.02,2389.54,750.71,0.0
3,0.0,3716.92,317.9,37.57
30,0.07,2400.65,750.46,0.0
28,0.07,2461.17,717.46,0.0
31,0.09,2374.82,766.88,0.0
15,0.06,2856.15,510.24,0.0
40,0.12,2109.14,917.03,0.0
24,0.01,2570.37,652.42,0.0
5,0.0,3630.97,337.7,34.81
40,0.02,2086.05,917.62,0.0
18,0.03,2756.93,556.61,0.0
32,0.01,2327.43,783.87,0.0
3,0.28,3753.95,313.73,40.0
5,0.12,3658.58,329.71,39.95
24,0.13,2597.23,651.78,0.0
12,0.04,2944.09,466.1,0.0
21,0.07,2674.52,603.84,0.0
5,0.12,3658.61,329.68,39.97
29,0.09,2435.75,733.8,0.0
20,0.13,2718.45,587.6,0.0
6,0.0,3603.0,341.7,39.07
14,0.13,2904.21,494.79,0.0
10,0.13,3026.59,437.74,0.0
6,0.08,3618.14,340.17,40.0
3,0.18,3742.71,313.76,40.0
