generation,best_cost_eur,best_emissions_kg
1,2752.87,315.76
2,2697.18,315.76
3,2689.71,315.25
4,2648.07,313.16
5,2648.07,311.49
6,2479.15,310.17
7,2273.73,310.17
8,2273.73,310.14
9,2196.66,309.98
10,2103.79,309.98
11,2103.79,309.98
12,2098.55,309.98
13,2098.55,309.98
14,2097.36,309.98
15,2095.06,309.98
16,2085.12,309.98
17,2085.12,309.98
18,2085.12,309.98
19,2082.18,309.98
20,2082.18,309.89
21,2082.18,309.74
22,2082.18,309.74
23,2082.18,309.74
24,2082.18,309.74
25,2082.18,309.74
26,2081.88,309.74
27,2081.88,309.74
28,2081.87,309.74
29,2081.84,309.74
30,2081.84,309.74
31,2081.84,309.71
32,2081.84,309.71
33,2081.84,309.71
34,2081.84,309.71
35,2081.84,309.71
36,2081.84,309.7
37,2081.83,309.7
38,2081.83,309.7
39,2081.83,309.7
40,2081.83,309.7
41,2081.83,309.7
42,2081.83,309.7
43,2081.83,309.7
44,2081.83,309.7
45,2081.83,309.7
46,2081.83,309.7
47,2081.83,309.7
48,2081.83,309.69
49,2081.83,309.69
50,2081.83,309.69
51,2081.83,309.69
52,2081.83,309.69
53,2081.83,309.69
54,2081.83,309.69
55,2081.83,309.69
56,2081.83,309.69
57,2081.83,309.69
58,2081.83,309.69
59,2081.83,309.69
60,2081.83,309.69
