generation,best_cost_eur,best_emissions_kg
1,2752.87,270.05
2,2752.87,270.05
3,2735.37,269.84
4,2673.8,268.99
5,2533.94,268.55
6,2433.41,268.55
7,2430.04,268.47
8,2309.69,268.43
9,2245.4,268.43
10,2155.67,268.21
11,2155.67,268.21
12,2122.77,268.21
13,2122.77,268.18
14,2086.21,268.18
15,2082.92,268.11
16,2082.37,268.11
17,2082.37,268.11
18,2082.37,268.11
19,2082.37,268.11
20,2082.37,268.1
21,2082.37,268.1
22,2081.95,268.1
23,2081.95,268.1
24,2081.95,268.1
25,2081.84,268.1
26,2081.84,268.1
27,2081.84,268.1
28,2081.83,268.1
29,2081.83,268.1
30,2081.83,268.1
31,2081.83,268.1
32,2081.83,268.1
33,2081.83,268.09
34,2081.83,268.09
35,2081.83,268.09
36,2081.83,268.09
37,2081.83,268.09
38,2081.83,268.09
39,2081.83,268.09
40,2081.83,268.09
41,2081.83,268.09
42,2081.83,268.08
43,2081.83,268.08
44,2081.83,268.08
45,2081.83,268.08
46,2081.83,268.08
47,2081.83,268.08
48,2081.83,268.08
49,2081.83,268.08
50,2081.83,268.08
51,2081.83,268.08
52,2081.83,268.08
53,2081.83,268.08
54,2081.83,268.08
55,2081.83,268.08
56,2081.83,268.08
57,2081.83,268.08
58,2081.83,268.08
59,2081.83,268.08
60,2081.83,268.08
