generation,best_cost_eur,best_emissions_kg
1,68810.69,7010.99
2,68810.69,6994.77
3,68533.54,6985.6
4,68533.54,6984.81
5,68377.21,6981.46
6,68377.21,6981.46
7,68377.21,6981.46
8,68377.21,6981.34
9,68338.32,6980.94
10,68338.32,6980.94
11,68338.32,6980.94
12,68335.18,6980.94
13,68335.18,6980.94
14,68328.49,6980.94
15,68328.45,6980.94
16,68328.45,6980.94
17,68328.45,6980.94
18,68328.45,6980.94
19,68328.45,6980.94
20,68328.45,6980.94
21,68328.45,6980.94
22,68328.45,6980.94
23,68328.45,6980.94
24,68328.45,6980.94
25,68328.45,6980.94
26,68328.45,6980.94
27,68328.45,6980.94
28,68328.45,6980.94
29,68328.45,6980.93
30,68328.45,6980.93
31,68328.45,6980.93
32,68328.45,6980.93
33,68328.45,6980.93
34,68328.45,6980.93
35,68328.45,6980.93
36,68328.45,6980.93
37,68328.45,6980.93
38,68328.45,6980.93
39,68328.45,6980.93
40,68328.45,6980.93
41,68328.45,6980.93
42,68328.45,6980.93
43,68328.45,6980.93
44,68328.45,6980.93
45,68328.45,6980.93
46,68328.45,6980.93
47,68328.45,6980.93
48,68328.45,6980.93
49,68328.45,6980.93
50,68328.45,6980.93
51,68328.45,6980.93
52,68328.45,6980.93
53,68328.45,6980.93
54,68328.45,6980.93
55,68328.45,6980.93
56,68328.45,6980.93
57,68328.45,6980.93
58,68328.45,6980.93
59,68328.45,6980.93
60,68328.45,6980.93
