N_PV_hh,E_BESS_cap_kwh,annual_cost_total_eur,annual_emissions_total_kg
17,0.0,1559239.51,167189.42
20,0.01,1545318.49,175172.32
29,0.08,1504218.15,200967.91
10,0.0,1587331.16,151637.08
6,0.03,1600434.94,146190.74
25,0.03,1522106.6,189222.09
30,0.08,1498723.4,203978.4
38,0.01,1453013.49,228781.99
22,0.06,1538014.32,180655.44
22,0.01,1535664.69,180702.71
39,0.04,1448787.63,231906.14
38,0.08,1456139.26,228715.31
26,0.1,1520228.97,192070.99
12,0.0,1580173.11,155496.39
20,0.1,1549661.61,175087.16
