N_PV_hh,E_BESS_cap_kwh,annual_cost_total_eur,annual_emissions_total_kg
40,0.0,368976.22,59205.41
40,0.0,368976.22,59205.41
4,0.0,409005.94,36820.0
24,0.1,391053.49,47011.4
37,0.11,374369.73,56817.67
34,0.11,378359.02,54482.3
31,0.11,382284.78,52180.01
37,0.0,373029.75,56845.99
27,0.0,386104.03,49217.21
30,0.1,383566.72,51424.76
16,0.1,400237.93,41602.64
30,0.0,382286.17,51451.56
29,0.1,384838.52,50674.58
18,0.0,396956.79,42903.97
25,0.1,389837.66,47730.76
19,0.0,395799.26,43569.73
33,0.0,378370.2,53737.21
23,0.1,392259.35,46301.58
28,0.1,386103.44,49930.08
33,0.11,379683.58,53709.46
40,0.11,370331.21,59176.55
38,0.0,371684.32,57629.32
36,0.0,374370.33,56064.83
36,0.11,375704.49,56036.58
39,0.0,370333.78,58415.81
39,0.11,371682.77,58387.13
38,0.11,373026.78,57600.89
35,0.0,375707.78,55286.12
35,0.11,377039.61,55257.98
32,0.0,379689.34,52968.97
24,0.0,389838.28,47036.0
20,0.0,394630.73,44244.65
26,0.1,388601.84,48458.37
34,0.0,377041.82,54510.14
22,0.1,393440.96,45599.25
32,0.11,380992.41,52941.55
28,0.0,384841.16,49956.3
31,0.0,380994.42,52207.1
29,0.0,383569.22,50701.05
23,0.0,391054.64,46325.92
27,0.1,387354.82,49191.37
11,0.09,404861.22,38836.92
26,0.0,387356.35,48484.06
25,0.0,388602.69,47756.05
15,0.09,401249.99,40995.03
21,0.0,393454.3,44928.5
22,0.0,392261.65,45622.91
21,0.1,394628.71,44905.21
14,0.09,402218.77,40412.63
20,0.1,395799.21,44221.73
17,0.0,398088.89,42253.77
10,0.0,404872.49,38388.18
19,0.1,396954.59,43547.12
12,0.0,403156.16,39346.35
13,0.0,402230.04,39873.91
18,0.1,398084.34,42882.27
17,0.1,399160.42,42233.64
16,0.0,399188.26,41621.91
7,0.1,407740.24,37279.43
15,0.0,400246.76,41012.75
14,0.0,401263.29,40428.85
5,0.0,408369.55,36875.8
13,0.09,403152.4,39858.67
12,0.09,404037.66,39332.47
11,0.0,404039.73,38848.85
9,0.09,406373.82,37961.47
8,0.09,407070.32,37591.92
9,0.0,405652.16,37970.52
10,0.09,405651.67,38377.87
24,0.07,390635.5,47019.78
37,0.02,373238.71,56841.53
24,0.04,390296.57,47026.61
16,0.05,399797.52,41610.62
7,0.0,407102.55,37284.39
8,0.0,406377.69,37599.42
40,0.06,369754.5,59188.8
4,0.0,409005.32,36820.01
25,0.06,389287.87,47741.97
30,0.01,382464.59,51447.78
39,0.05,370910.59,58403.47
6,0.0,407770.38,37036.5
31,0.08,382034.03,52185.27
14,0.07,402016.6,40416.01
27,0.02,386362.87,49211.82
30,0.05,382881.81,51438.97
7,0.0,407071.79,37284.66
13,0.08,403059.61,39860.16
6,0.1,408344.65,37034.15
23,0.08,391941.46,46307.86
25,0.09,389672.51,47734.13
39,0.01,370491.59,58412.39
13,0.04,402593.88,39867.79
39,0.11,371681.84,58387.18
32,0.02,379981.24,52962.76
12,0.05,403681.88,39337.99
11,0.04,404419.3,38843.28
20,0.07,395406.38,44229.38
35,0.04,376192.65,55275.83
38,0.09,372756.77,57606.64
39,0.06,371138.53,58398.64
12,0.02,403388.97,39342.66
28,0.06,385542.58,49941.65
29,0.02,383873.0,50694.66
8,0.05,406779.32,37595.03
31,0.06,381701.61,52192.14
37,0.06,373744.22,56830.81
27,0.08,387091.64,49196.78
32,0.05,380286.86,52956.23
17,0.03,398456.26,42246.82
18,0.05,397490.07,42893.65
21,0.04,393896.37,44919.73
15,0.04,400649.03,41005.54
20,0.03,394989.38,44237.59
38,0.03,372015.08,57622.28
24,0.01,389941.96,47033.89
17,0.07,398883.58,42238.77
14,0.04,401637.31,40422.46
34,0.05,377618.02,54497.9
23,0.0,391096.78,46325.06
34,0.07,377857.16,54492.8
18,0.07,397777.17,42888.06
19,0.02,396040.03,43565.0
26,0.06,388040.23,48469.89
32,0.06,380469.51,52952.48
6,0.0,407743.51,37036.67
23,0.04,391508.57,46316.64
35,0.02,375954.14,55280.87
35,0.06,376484.86,55269.67
21,0.02,393745.13,44922.72
9,0.05,406093.8,37964.96
40,0.03,369377.86,59196.83
20,0.05,395260.99,44232.22
16,0.03,399567.11,41614.82
21,0.07,394214.39,44913.37
35,0.09,376836.99,55262.22
23,0.04,391541.72,46315.94
37,0.09,374106.66,56823.19
15,0.0,400260.31,41012.47
10,0.08,405560.14,38379.05
27,0.06,386851.73,49201.72
33,0.08,379328.64,53716.87
20,0.1,395794.07,44221.85
31,0.03,381331.57,52199.97
19,0.04,396246.77,43560.87
8,0.02,406558.47,37597.41
10,0.04,405226.41,38383.49
26,0.03,387702.53,48476.87
33,0.02,378664.97,53730.92
31,0.04,381537.8,52195.57
38,0.05,372301.55,57616.15
19,0.07,396642.03,43553.09
30,0.09,383348.77,51429.33
17,0.0,398129.5,42252.97
37,0.08,373968.6,56826.05
25,0.04,389062.7,47746.54
29,0.08,384486.13,50681.84
20,0.01,394795.48,44241.37
12,0.08,403931.26,39334.1
35,0.07,376624.36,55266.65
28,0.03,385205.06,49948.71
18,0.02,397233.47,42898.64
29,0.04,384082.51,50690.26
28,0.1,386003.41,49932.15
19,0.05,396415.27,43557.59
14,0.03,401558.23,40423.82
27,0.05,386679.04,49205.25
31,0.01,381154.42,52203.68
33,0.03,378800.93,53728.01
10,0.04,405250.33,38383.14
33,0.05,378994.54,53723.92
22,0.05,392896.21,45610.13
32,0.08,380731.96,52947.03
26,0.07,388229.43,48465.94
23,0.09,392092.02,46304.93
22,0.07,393112.32,45605.81
19,0.1,396954.43,43547.13
36,0.1,375612.73,56038.55
30,0.07,383200.18,51432.36
18,0.09,397942.03,42884.98
36,0.03,374693.68,56057.94
29,0.0,383579.23,50700.79
15,0.07,400949.1,41000.24
36,0.02,374616.21,56059.58
15,0.07,401033.24,40998.74
15,0.04,400728.46,41004.13
6,0.11,408368.33,37034.06
33,0.0,378430.44,53735.91
40,0.09,370102.93,59181.38
34,0.02,377330.19,54503.96
21,0.0,393471.93,44928.14
34,0.08,378070.38,54488.36
28,0.08,385763.99,49937.07
36,0.06,375146.94,56048.36
34,0.09,378146.23,54486.79
34,0.03,377402.25,54502.48
26,0.09,388469.7,48461.11
13,0.02,402406.11,39870.95
34,0.01,377111.75,54508.65
17,0.05,398698.11,42242.28
17,0.1,399155.94,42233.74
