N_PV_hh,E_BESS_cap_kwh,annual_cost_total_eur,annual_emissions_total_kg,E_TESS_cap_kwh
32,0.08,248841.73,79148.08,0.0
6,0.03,377751.82,34839.91,39.96
15,0.01,298719.92,51873.25,0.0
28,0.06,260412.17,72553.14,0.0
22,0.01,277415.64,62825.33,0.0
8,0.06,321230.58,42036.84,0.0
17,0.07,293929.03,54907.16,0.0
3,0.04,388851.13,32340.81,40.0
5,0.0,379765.86,34576.59,35.3
3,0.4,392580.86,32326.47,39.99
3,0.25,391167.78,32327.1,40.0
29,0.0,256051.74,74230.64,0.0
35,0.05,239170.99,84157.76,0.0
7,0.0,373536.9,36354.99,37.34
27,0.0,262150.18,70942.68,0.0
36,0.05,236163.18,85828.47,0.0
27,0.06,263381.11,70913.43,0.0
16,0.08,297267.47,53360.86,0.0
10,0.03,314397.93,44661.49,0.0
31,0.0,250034.95,77533.74,0.0
10,0.08,315422.07,44639.98,0.0
26,0.0,265219.39,69306.06,0.0
14,0.1,303812.73,50326.96,0.0
24,0.13,274140.53,65985.76,0.0
3,0.25,391167.49,32327.25,40.0
5,0.04,381259.64,33829.74,40.0
24,0.05,272403.72,66025.98,0.0
30,0.13,255968.34,75810.69,0.0
20,0.05,284531.9,59609.15,0.0
22,0.06,278675.88,62795.6,0.0
21,0.0,280305.3,61227.48,0.0
7,0.01,323353.56,40861.83,0.0
35,0.0,237944.32,84187.18,0.0
36,0.13,237894.83,85787.48,0.0
21,0.05,281483.29,61199.66,0.0
20,0.01,283514.21,59633.15,0.0
2,0.0,394327.69,32209.08,38.73
19,0.13,289325.34,57990.14,0.0
16,0.08,297314.34,53359.76,0.0
7,0.0,373245.64,36652.53,35.32
7,0.0,373088.46,36850.59,33.98
32,0.13,249997.23,79120.99,0.0
14,0.05,302642.92,50353.4,0.0
