generation,best_cost_eur,best_emissions_kg
1,293211.79,32588.62
2,286726.88,32588.62
3,278654.44,32588.62
4,232553.06,32438.13
5,232553.06,32212.0
6,232553.06,32212.0
7,229794.53,32042.07
8,229602.37,32006.65
9,226203.06,32006.53
10,223532.36,32006.53
11,223532.36,32004.29
12,223532.36,32004.29
13,223532.36,32004.29
14,223532.36,32004.29
15,222909.8,31977.88
16,222847.12,31977.88
17,222847.12,31977.88
18,222847.12,31976.36
19,222847.12,31976.36
20,222847.12,31976.36
21,222847.12,31976.36
22,222841.45,31976.36
23,222841.41,31976.36
24,222836.47,31976.32
25,222836.47,31976.32
26,222836.47,31971.74
27,222836.47,31971.74
28,222835.11,31971.62
29,222835.11,31971.62
30,222835.11,31971.62
31,222834.76,31971.62
32,222834.76,31971.62
33,222834.76,31971.62
34,222834.76,31971.62
35,222834.64,31971.62
36,222834.62,31971.62
37,222834.62,31971.62
38,222834.61,31971.59
39,222834.55,31971.59
40,222834.55,31971.59
41,222834.55,31971.59
42,222834.55,31971.59
43,222834.55,31970.7
44,222834.06,31970.7
45,222834.06,31970.7
46,222834.01,31970.7
47,222834.01,31970.7
48,222834.01,31970.7
49,222834.0,31970.7
50,222834.0,31970.7
51,222834.0,31970.7
52,222834.0,31970.7
53,222834.0,31970.7
54,222834.0,31970.7
55,222834.0,31970.35
56,222834.0,31970.35
57,222834.0,31970.35
58,222834.0,31969.96
59,222834.0,31969.96
60,222834.0,31969.96
