generation,best_cost_eur,best_emissions_kg
1,68810.69,5969.23
2,68533.54,5968.67
3,68533.54,5968.45
4,68484.68,5967.73
5,68484.68,5967.6
6,68484.68,5967.6
7,68467.1,5967.6
8,68467.1,5967.6
9,68467.1,5967.6
10,68369.74,5967.6
11,68341.57,5967.6
12,68341.57,5967.6
13,68341.57,5967.58
14,68328.66,5967.58
15,68328.6,5967.58
16,68328.6,5967.58
17,68328.6,5967.58
18,68328.45,5967.58
19,68328.45,5967.58
20,68328.45,5967.58
21,68328.45,5967.58
22,68328.45,5967.58
23,68328.45,5967.58
24,68328.45,5967.58
25,68328.45,5967.58
26,68328.45,5967.58
27,68328.45,5967.58
28,68328.45,5967.58
29,68328.45,5967.58
30,68328.45,5967.58
31,68328.45,5967.58
32,68328.45,5967.58
33,68328.45,5967.58
34,68328.45,5967.58
35,68328.45,5967.58
36,68328.45,5967.58
37,68328.45,5967.58
38,68328.45,5967.58
39,68328.45,5967.58
40,68328.45,5967.58
41,68328.45,5967.58
42,68328.45,5967.58
43,68328.45,5967.58
44,68328.45,5967.58
45,68328.45,5967.58
46,68328.45,5967.58
47,68328.45,5967.58
48,68328.45,5967.58
49,68328.45,5967.58
50,68328.45,5967.58
51,68328.45,5967.58
52,68328.45,5967.58
53,68328.45,5967.58
54,68328.45,5967.58
55,68328.45,5967.58
56,68328.45,5967.58
57,68328.45,5967.58
58,68328.45,5967.58
59,68328.45,5967.58
60,68328.45,5967.58
