N_PV_hh,E_BESS_cap_kwh,annual_cost_total_eur,annual_emissions_total_kg
18,16.04,97889.6,5991.71
14,5.32,84091.29,6150.35
13,5.07,83636.01,6155.42
16,12.67,93880.78,6039.32
14,5.71,84685.05,6145.65
15,9.8,90381.6,6088.24
15,9.04,89467.09,6099.9
13,3.36,81014.79,6175.57
15,11.21,91979.72,6068.47
13,0.0,75178.06,6241.88
13,0.46,76071.98,6227.44
13,3.02,80476.36,6180.17
18,15.91,97772.04,5992.86
14,6.91,86457.94,6131.87
14,3.74,81598.82,6171.39
35,0.07,69874.72,7022.08
13,0.75,76583.79,6219.84
33,0.03,70301.93,6925.74
32,0.03,70572.48,6877.33
36,0.08,69619.63,7071.97
37,0.02,69202.0,7125.92
17,14.75,96327.66,6008.06
16,12.14,93331.92,6047.42
13,1.22,77384.18,6209.86
40,0.02,68366.54,7282.25
13,2.56,79722.76,6186.87
15,7.66,87668.68,6121.28
14,7.86,87767.65,6120.29
17,14.29,95878.08,6013.07
34,0.01,69978.1,6976.0
39,0.05,68730.26,7227.8
15,0.09,74942.61,6260.67
27,0.07,71978.17,6649.18
15,10.59,91295.71,6076.91
19,18.01,99902.92,5976.56
34,0.1,70221.92,6970.82
13,4.75,83153.4,6158.82
14,7.43,87188.12,6125.61
15,8.04,88183.84,6115.46
26,0.06,72219.45,6607.71
15,8.79,89164.32,6103.73
14,6.76,86253.07,6133.58
13,1.98,78742.12,6196.19
16,13.05,94269.41,6034.13
30,0.05,71154.93,6782.0
29,0.09,71515.41,6734.88
23,0.01,72847.87,6493.0
17,15.47,97007.04,6001.07
16,11.92,93084.77,6051.08
40,0.1,68587.59,7277.53
15,10.85,91581.59,6073.36
17,13.83,95414.16,6018.82
15,8.75,89115.57,6104.34
17,14.06,95646.39,6015.86
18,0.1,74273.56,6327.97
23,0.11,73076.2,6488.4
13,1.8,78431.01,6199.26
16,13.03,94248.03,6034.4
19,0.01,73827.29,6360.46
13,1.85,78528.14,6198.26
37,0.11,69422.03,7121.23
16,11.92,93092.09,6050.97
17,0.1,74513.3,6301.74
29,0.01,71311.27,6739.11
18,14.86,96781.92,6004.62
15,8.99,89406.45,6100.67
16,0.04,74618.3,6281.42
19,0.1,74042.34,6356.28
31,0.08,70966.36,6826.83
18,0.0,74057.37,6332.18
19,19.32,100941.25,5972.2
14,3.74,81598.82,6171.39
13,0.01,75189.58,6241.68
18,14.91,96826.75,6004.01
14,6.01,85139.92,6142.15
14,5.12,83780.32,6152.88
13,0.84,76743.25,6217.62
33,0.11,70500.48,6921.55
14,5.74,84728.24,6145.31
36,0.0,69424.65,7076.12
