N_PV_hh,E_BESS_cap_kwh,annual_cost_total_eur,annual_emissions_total_kg
40,0.0,68328.45,7283.05
20,21.06,102536.06,5967.58
40,0.0,68328.45,7283.05
20,21.06,102536.06,5967.58
35,0.0,69694.24,7025.93
39,0.0,68604.11,7230.51
32,0.11,70769.16,6873.12
28,0.0,71556.29,6695.54
38,0.11,69149.93,7172.64
28,0.11,71813.93,6690.15
38,0.0,68877.85,7178.49
35,0.11,69963.81,7020.21
40,0.11,68603.2,7277.16
24,0.11,72831.37,6525.77
39,0.11,68876.27,7224.66
33,0.0,70233.3,6927.23
37,0.0,69150.61,7127.04
32,0.0,70502.3,6878.81
36,0.0,69422.37,7076.19
37,0.11,69422.13,7121.22
34,0.0,69964.3,6976.28
36,0.11,69693.03,7070.43
34,0.11,70232.41,6970.58
27,0.0,71814.53,6652.63
24,0.0,72580.2,6530.94
31,0.11,71033.73,6825.43
21,0.0,73324.93,6423.69
33,0.11,70501.8,6921.52
26,0.0,72072.15,6610.8
25,0.0,72327.27,6570.19
31,0.0,70769.49,6831.05
21,0.11,73569.31,6418.8
27,0.11,72071.58,6647.26
26,0.11,72325.38,6605.54
30,0.0,71034.1,6784.51
29,0.11,71554.63,6734.02
29,0.0,71296.53,6739.44
30,0.11,71296.03,6779.0
25,0.11,72578.39,6565.01
13,2.22,79144.57,6192.27
14,4.43,82694.04,6161.8
20,20.2,101902.1,5968.62
17,0.0,74292.8,6305.99
17,13.3,94868.47,6026.2
20,0.0,73571.36,6391.17
23,0.0,72831.54,6493.34
22,0.11,73324.55,6452.74
18,16.99,98717.91,5984.91
15,10.22,90871.57,6082.11
20,19.51,101374.32,5970.67
23,0.11,73078.61,6488.32
22,0.0,73078.77,6457.7
14,6.39,85703.41,6137.89
13,3.91,81864.27,6168.64
18,17.39,99057.42,5982.75
16,11.68,92825.42,6054.92
17,13.79,95378.25,6019.29
13,0.11,75401.02,6238.1
20,0.11,73813.87,6386.37
14,7.02,86612.95,6130.58
14,5.49,84349.59,6148.28
13,3.51,81250.61,6173.6
13,0.26,75704.98,6233.16
16,12.47,93675.66,6042.28
19,0.0,73813.99,6360.73
16,11.42,92542.08,6059.14
14,6.68,86139.91,6134.49
20,20.62,102214.92,5967.89
15,9.9,90502.3,6086.71
13,1.16,77284.34,6210.93
13,2.83,80156.75,6182.95
15,9.61,90160.15,6091.05
18,16.58,98363.25,5987.54
14,7.43,87188.12,6125.61
18,0.0,74054.26,6332.26
13,3.28,80887.13,6176.65
19,0.1,74053.55,6356.03
13,0.93,76886.95,6215.69
15,11.57,92371.27,6063.47
15,8.58,88894.74,6107.04
13,2.48,79591.36,6188.1
15,7.5,87453.69,6123.61
18,0.1,74292.25,6327.62
15,9.27,89751.76,6096.32
18,16.38,98192.73,5988.95
16,0.1,74749.2,6279.01
17,14.63,96216.48,6009.28
16,0.0,74524.38,6283.19
13,4.87,83328.66,6157.58
13,1.43,77774.44,6205.86
18,15.59,97475.4,5996.01
15,10.43,91112.94,6079.16
16,13.31,94536.59,6030.72
15,9.4,89908.09,6094.33
17,14.97,96537.18,6005.79
15,7.89,87977.86,6117.79
13,4.65,82995.44,6159.96
13,2.71,79959.21,6184.7
14,4.14,82233.61,6165.79
13,1.59,78050.87,6203.01
15,11.04,91791.38,6070.77
19,18.66,100418.15,5974.06
16,11.04,92100.2,6065.74
15,0.0,74749.88,6264.14
18,17.78,99383.37,5980.98
12,0.28,75912.41,6231.55
18,17.94,99511.53,5980.3
14,6.24,85478.71,6139.59
13,2.03,78835.54,6195.26
13,3.04,80504.27,6179.92
16,12.8,94012.59,6037.52
13,1.34,77603.15,6207.56
19,17.88,99800.01,5977.18
14,0.0,74969.22,6249.99
17,0.1,74521.06,6301.63
15,8.39,88655.11,6109.97
13,1.66,78190.77,6201.62
16,12.2,93388.59,6046.58
14,4.14,82233.61,6165.79
20,19.26,101181.39,5971.75
