N_PV_hh,E_BESS_cap_kwh,annual_cost_total_eur,annual_emissions_total_kg,E_TESS_cap_kwh
40,0.0,2377.99,928.58,0.0
40,0.0,2377.99,928.58,0.0
4,3.39,4346.62,332.85,40.0
8,0.0,3886.16,387.4,37.22
2,0.0,3581.84,387.62,0.0
1,0.0,4230.45,333.55,40.0
2,0.0,4138.75,333.9,40.0
1,0.0,4230.06,333.83,39.85
39,0.0,2408.14,911.87,0.0
30,0.13,2708.95,762.1,0.0
20,0.0,2982.22,602.07,0.0
26,0.0,2800.18,697.63,0.0
37,0.13,2498.39,877.8,0.0
21,0.0,2951.68,617.79,0.0
25,0.13,2859.88,680.79,0.0
33,0.13,2618.73,811.48,0.0
29,0.13,2738.93,745.73,0.0
38,0.0,2438.3,895.19,0.0
36,0.0,2498.6,861.9,0.0
30,0.0,2679.44,762.82,0.0
26,0.13,2830.39,696.13,0.0
31,0.0,2649.27,779.24,0.0
40,0.13,2408.02,927.84,0.0
34,0.0,2558.87,828.73,0.0
31,0.13,2678.57,778.53,0.0
36,0.13,2528.53,861.17,0.0
39,0.13,2438.12,911.13,0.0
27,0.13,2800.06,713.12,0.0
38,0.13,2468.07,894.46,0.0
24,0.13,2890.16,664.74,0.0
22,0.13,2951.0,632.9,0.0
3,0.06,3532.85,388.74,0.0
35,0.13,2558.73,844.57,0.0
19,0.0,3012.78,586.48,0.0
25,0.0,2830.42,681.49,0.0
14,0.13,3195.66,510.48,0.0
32,0.0,2619.08,795.71,0.0
12,0.13,3256.12,482.01,0.0
37,0.0,2468.45,878.53,0.0
11,0.14,3287.68,468.2,0.0
14,0.0,3165.97,511.14,0.0
12,0.0,3227.35,482.63,0.0
16,0.14,3134.75,539.97,0.0
17,0.13,3103.54,555.09,0.0
28,0.13,2769.11,729.4,0.0
13,0.14,3226.9,496.08,0.0
28,0.0,2739.79,730.11,0.0
20,0.13,3011.85,601.37,0.0
35,0.0,2528.74,845.3,0.0
32,0.13,2648.66,794.99,0.0
34,0.13,2588.74,828.01,0.0
33,0.0,2588.97,812.2,0.0
23,0.13,2921.05,648.77,0.0
29,0.0,2709.6,746.44,0.0
27,0.0,2769.98,713.83,0.0
11,0.0,3258.45,468.83,0.0
24,0.0,2860.64,665.45,0.0
18,0.0,3043.19,571.06,0.0
23,0.0,2890.89,649.48,0.0
16,0.0,3104.06,540.67,0.0
7,0.16,3415.88,418.15,0.0
10,0.0,3289.85,455.38,0.0
22,0.0,2921.25,633.6,0.0
19,0.13,3042.81,585.78,0.0
21,0.13,2981.34,617.09,0.0
18,0.13,3073.38,570.36,0.0
2,0.0,3581.59,387.63,0.0
17,0.0,3073.6,555.78,0.0
15,0.13,3165.5,525.11,0.0
13,0.0,3196.61,496.75,0.0
15,0.0,3135.45,525.79,0.0
9,0.0,3321.64,442.38,0.0
9,0.16,3353.29,441.74,0.0
5,0.21,3481.99,399.44,0.0
10,0.15,3320.63,454.75,0.0
6,0.16,3444.7,408.15,0.0
8,0.16,3383.8,429.46,0.0
8,0.0,3353.93,430.04,0.0
4,0.0,3485.38,393.11,0.0
7,0.0,3386.22,418.71,0.0
3,0.25,4104.17,337.13,40.0
5,0.0,3981.96,360.43,34.25
4,0.0,4026.19,347.09,37.71
26,0.08,2819.07,697.17,0.0
2,0.0,4134.22,337.01,38.32
6,0.0,3418.12,408.59,0.0
5,0.0,3450.54,399.89,0.0
4,0.29,4068.46,342.9,40.0
39,0.09,2429.07,911.38,0.0
5,0.08,3462.29,399.7,0.0
30,0.05,2690.93,762.55,0.0
3,0.0,4074.84,338.9,39.1
5,0.06,4002.45,351.19,40.0
7,0.07,3399.54,418.45,0.0
20,0.09,3001.83,601.59,0.0
4,0.02,4033.84,343.28,40.0
23,0.05,2902.68,649.2,0.0
28,0.05,2750.53,729.84,0.0
32,0.07,2635.09,795.32,0.0
6,0.05,3965.3,360.8,40.0
7,0.0,3920.47,375.01,37.72
15,0.04,3145.34,525.55,0.0
8,0.07,3367.68,429.76,0.0
6,0.0,3954.36,363.76,38.11
7,0.07,3936.22,371.47,40.0
5,0.0,3987.33,355.65,37.27
34,0.04,2569.06,828.47,0.0
36,0.04,2508.58,861.61,0.0
4,0.3,3520.46,392.84,0.0
27,0.09,2790.53,713.36,0.0
11,0.07,3274.3,468.48,0.0
31,0.04,2658.77,778.96,0.0
40,0.05,2388.52,928.33,0.0
16,0.06,3117.79,540.34,0.0
3,0.0,3526.28,388.77,0.0
24,0.07,2875.85,665.07,0.0
19,0.13,3041.76,585.8,0.0
19,0.04,3022.58,586.2,0.0
14,0.08,3184.84,510.7,0.0
36,0.09,2519.83,861.4,0.0
21,0.08,2969.47,617.34,0.0
37,0.06,2483.41,878.17,0.0
31,0.09,2669.79,778.76,0.0
25,0.08,2847.83,681.08,0.0
27,0.04,2779.23,713.57,0.0
40,0.09,2398.68,928.06,0.0
8,0.07,3903.73,383.16,39.99
7,0.0,3913.07,381.84,33.21
6,0.11,3435.95,408.32,0.0
4,0.08,4041.65,343.17,40.0
34,0.09,2580.41,828.25,0.0
38,0.04,2448.26,894.89,0.0
4,0.0,4021.34,351.17,35.21
12,0.08,3245.65,482.21,0.0
18,0.05,3054.92,570.79,0.0
14,0.04,3175.46,510.88,0.0
15,0.11,3159.28,525.28,0.0
3,0.17,4095.78,337.2,40.0
33,0.01,2590.98,812.13,0.0
23,0.13,2919.23,648.83,0.0
12,0.04,3236.97,482.4,0.0
29,0.06,2722.8,746.12,0.0
8,0.0,3888.96,384.49,39.24
4,0.14,3502.76,392.96,0.0
4,0.33,3524.6,392.81,0.0
8,0.01,3892.62,383.4,39.98
25,0.04,2840.1,681.22,0.0
18,0.13,3071.54,570.42,0.0
6,0.04,3424.83,408.45,0.0
4,0.0,4021.72,350.83,35.42
9,0.03,3327.65,442.26,0.0
5,0.0,3987.96,355.11,37.6
22,0.07,2935.99,633.23,0.0
28,0.12,2765.95,729.49,0.0
4,0.13,3501.57,392.97,0.0
35,0.04,2538.75,845.01,0.0
33,0.08,2607.76,811.71,0.0
13,0.1,3218.05,496.28,0.0
32,0.02,2623.68,795.58,0.0
8,0.13,3379.72,429.54,0.0
11,0.04,3266.9,468.62,0.0
17,0.07,3088.93,555.43,0.0
6,0.0,3950.2,367.41,35.79
6,0.0,3946.83,370.73,33.57
17,0.0,3073.79,555.77,0.0
5,0.0,3991.89,351.58,39.86
10,0.04,3298.37,455.17,0.0
24,0.0,2861.09,665.42,0.0
6,0.01,3952.27,367.38,35.79
7,0.0,3916.84,378.06,35.76
22,0.09,2940.9,633.12,0.0
7,0.0,3924.1,371.68,40.0
9,0.13,3347.69,441.85,0.0
35,0.09,2549.7,844.81,0.0
24,0.09,2881.27,664.97,0.0
22,0.01,2924.22,633.51,0.0
4,0.18,4054.62,343.02,40.0
3,0.08,4084.16,338.21,39.45
10,0.08,3306.87,454.99,0.0
3,0.07,4084.38,337.24,40.0
8,0.01,3356.55,429.97,0.0
32,0.13,2648.53,795.0,0.0
7,0.0,3923.08,372.24,39.62
10,0.14,3319.16,454.78,0.0
29,0.0,2710.08,746.41,0.0
7,0.01,3388.5,418.66,0.0
7,0.0,3916.84,378.06,35.76
13,0.04,3205.93,496.49,0.0
7,0.0,3912.06,382.93,32.45
4,0.17,4053.78,343.06,40.0
38,0.08,2457.21,894.69,0.0
7,0.12,3946.4,371.25,40.0
13,0.06,3210.64,496.44,0.0
21,0.09,2971.39,617.31,0.0
8,0.0,3886.23,387.33,37.27
5,0.0,3451.16,399.86,0.0
33,0.08,2607.76,811.71,0.0
6,0.0,3956.72,361.5,39.62
37,0.04,2478.67,878.26,0.0
5,0.0,3992.09,351.39,39.99
