N_PV_hh,E_BESS_cap_kwh,annual_cost_total_eur,annual_emissions_total_kg
4,0.0,7127.35,659.64
4,0.0,7127.35,659.64
40,0.0,6256.17,1123.6
40,0.0,6256.17,1123.6
36,0.0,6367.16,1060.0
24,0.11,6714.73,875.6
36,0.11,6393.94,1059.4
21,0.0,6766.34,832.96
31,0.0,6504.19,981.77
39,0.11,6310.85,1107.03
38,0.11,6338.66,1091.1
23,0.1,6740.09,861.06
28,0.11,6611.14,935.17
35,0.11,6421.36,1043.65
30,0.11,6557.65,965.76
39,0.0,6284.01,1107.63
33,0.0,6449.61,1012.87
27,0.11,6637.9,920.06
29,0.11,6584.48,950.41
19,0.11,6840.42,804.5
19,0.0,6816.29,805.0
18,0.0,6840.95,791.31
40,0.11,6282.77,1123.01
35,0.0,6394.7,1044.24
34,0.11,6448.93,1027.94
18,0.11,6865.23,790.81
33,0.11,6476.47,1012.27
24,0.0,6689.92,876.14
26,0.0,6637.97,905.65
31,0.11,6530.64,981.19
37,0.11,6366.29,1075.22
14,0.0,6937.82,739.24
34,0.0,6422.17,1028.54
37,0.0,6339.53,1075.82
30,0.0,6531.32,966.34
38,0.0,6311.79,1091.7
29,0.0,6558.32,950.98
16,0.11,6913.34,764.16
20,0.0,6791.44,818.89
32,0.11,6503.68,996.68
32,0.0,6476.97,997.28
27,0.0,6611.62,920.64
25,0.0,6664.03,890.82
17,0.11,6889.57,777.35
28,0.0,6585.09,935.74
26,0.11,6663.74,905.09
25,0.11,6689.69,890.27
22,0.0,6741.1,847.19
16,0.0,6889.65,764.63
23,0.0,6715.61,861.59
15,0.1,6936.93,751.27
21,0.11,6790.88,832.44
22,0.11,6765.45,846.67
17,0.0,6865.41,777.84
20,0.11,6815.72,818.38
14,0.1,6959.53,738.83
10,0.0,7022.56,695.39
12,0.0,6981.81,716.05
13,0.1,6981.32,726.95
11,0.0,7002.59,705.36
13,0.0,6960.27,727.34
15,0.0,6914.45,751.72
12,0.1,7001.7,715.7
11,0.11,7022.44,705.03
10,0.11,7041.07,695.1
7,0.09,7090.23,670.86
8,0.0,7060.13,678.08
21,0.04,6776.47,832.7
9,0.0,7041.77,686.22
8,0.1,7076.63,677.87
30,0.08,6551.1,965.9
13,0.04,6969.09,727.14
9,0.1,7059.32,685.97
36,0.04,6377.53,1059.72
24,0.07,6705.63,875.78
23,0.07,6732.37,861.22
30,0.04,6541.28,966.08
32,0.08,6495.8,996.85
35,0.06,6409.79,1043.88
10,0.04,7029.67,695.25
20,0.07,6808.03,818.54
31,0.03,6511.14,981.59
7,0.0,7078.01,671.02
29,0.04,6567.98,950.74
14,0.03,6943.63,739.11
14,0.06,6950.74,738.99
8,0.02,7063.98,678.01
8,0.08,7072.75,677.9
6,0.09,7105.78,665.17
37,0.07,6357.16,1075.44
34,0.04,6432.37,1028.26
13,0.08,6977.57,727.02
11,0.08,7017.88,705.08
39,0.08,6303.97,1107.15
35,0.09,6416.25,1043.75
16,0.04,6899.14,764.41
20,0.04,6801.42,818.64
28,0.03,6593.39,935.56
10,0.08,7036.34,695.16
35,0.03,6402.3,1044.06
12,0.04,6990.06,715.87
26,0.08,6657.3,905.19
21,0.08,6784.38,832.58
7,0.04,7084.44,670.93
38,0.09,6333.34,1091.21
40,0.08,6275.82,1123.13
40,0.06,6271.37,1123.27
27,0.07,6628.01,920.29
39,0.02,6289.25,1107.49
6,0.08,7105.42,665.19
6,0.0,7095.03,665.28
17,0.09,6885.61,777.43
6,0.0,7095.24,665.27
9,0.04,7048.85,686.09
26,0.01,6640.52,905.6
39,0.04,6294.25,1107.36
27,0.09,6632.31,920.15
18,0.08,6859.76,790.89
34,0.02,6427.85,1028.37
19,0.08,6834.59,804.6
23,0.04,6724.69,861.38
40,0.04,6265.35,1123.38
39,0.06,6299.33,1107.3
16,0.09,6909.07,764.22
29,0.06,6573.57,950.64
16,0.01,6892.05,764.6
15,0.06,6928.81,751.44
26,0.06,6652.1,905.33
28,0.06,6599.38,935.41
29,0.01,6560.72,950.94
37,0.11,6366.19,1075.23
23,0.0,6715.71,861.58
30,0.02,6536.66,966.2
13,0.01,6961.59,727.31
14,0.08,6956.27,738.87
17,0.02,6870.86,777.7
34,0.1,6447.05,1028.0
18,0.03,6847.33,791.16
25,0.03,6671.15,890.66
40,0.02,6261.54,1123.45
28,0.08,6604.33,935.28
17,0.04,6875.55,777.62
25,0.06,6677.24,890.54
5,0.04,7115.74,661.31
12,0.02,6985.76,715.97
24,0.04,6699.78,875.89
32,0.04,6487.41,997.0
33,0.04,6459.82,1012.6
15,0.04,6922.4,751.56
28,0.01,6588.12,935.67
34,0.07,6440.12,1028.15
27,0.01,6614.72,920.56
20,0.1,6815.09,818.42
22,0.11,6765.37,846.68
22,0.07,6757.81,846.82
11,0.04,7010.35,705.2
18,0.04,6849.62,791.12
38,0.02,6315.99,1091.61
24,0.02,6693.45,876.08
12,0.08,6996.78,715.79
20,0.02,6796.55,818.76
31,0.08,6523.69,981.31
37,0.06,6353.86,1075.49
37,0.02,6343.72,1075.73
26,0.04,6647.94,905.39
36,0.08,6387.02,1059.52
5,0.0,7111.08,661.35
25,0.01,6665.34,890.8
33,0.06,6464.06,1012.54
5,0.08,7119.94,661.3
4,0.0,7127.25,659.65
9,0.01,7042.65,686.21
5,0.08,7119.94,661.3
27,0.04,6621.79,920.37
29,0.09,6579.38,950.51
34,0.07,6440.26,1028.14
23,0.04,6725.54,861.33
32,0.1,6501.59,996.75
19,0.04,6826.14,804.76
9,0.07,7052.86,686.05
40,0.11,6281.93,1123.05
25,0.08,6683.18,890.37
22,0.06,6755.47,846.86
25,0.11,6688.88,890.28
24,0.03,6697.4,875.97
31,0.05,6517.26,981.51
33,0.1,6475.03,1012.3
26,0.11,6663.0,905.1
21,0.09,6787.24,832.51
17,0.06,6879.31,777.54
27,0.04,6621.79,920.37
33,0.02,6454.31,1012.76
33,0.08,6470.04,1012.4
19,0.03,6822.33,804.87
38,0.04,6322.36,1091.41
31,0.07,6522.0,981.39
37,0.04,6349.7,1075.55
25,0.04,6673.93,890.57
25,0.08,6682.3,890.41
38,0.03,6319.45,1091.52
