N_PV_hh,E_BESS_cap_kwh,annual_cost_total_eur,annual_emissions_total_kg
40,0.0,716610.85,117336.31
4,0.0,798832.0,72367.11
40,0.0,716610.85,117336.31
4,0.0,798832.0,72367.11
28,0.11,751159.0,98751.38
40,0.11,719336.07,117277.97
35,0.11,732843.61,109429.37
25,0.11,758719.86,94343.06
26,0.0,753700.39,95852.41
37,0.0,724771.06,112609.18
31,0.0,740825.96,103316.44
28,0.0,748607.15,98804.68
30,0.0,743439.6,101800.94
22,0.1,766060.48,90068.86
34,0.0,732848.16,107932.26
26,0.11,756218.16,95800.25
36,0.11,730153.82,110987.95
20,0.0,768477.99,87349.33
38,0.11,724771.04,114121.08
31,0.11,743436.71,103261.32
34,0.11,735520.51,107875.69
21,0.0,766065.23,88723.91
21,0.1,768477.92,88675.84
35,0.0,730160.83,109486.27
25,0.0,756221.06,94394.38
36,0.0,727470.14,111044.89
39,0.0,719342.55,115754.85
18,0.0,773234.8,84658.65
38,0.0,722062.97,114178.94
27,0.11,753699.63,97270.06
39,0.11,722062.16,115696.62
37,0.11,727468.32,112551.85
33,0.0,735523.22,106385.73
33,0.11,738184.72,106329.08
32,0.11,740822.23,104788.96
32,0.0,738187.39,104844.92
29,0.11,748606.69,100244.12
29,0.0,746030.64,100298.0
27,0.0,751162.86,97322.85
30,0.11,746019.69,101746.78
15,0.0,780003.85,80850.24
12,0.0,786055.01,77492.48
14,0.1,784125.39,79638.72
19,0.0,770863.89,85995.69
24,0.0,758722.18,92950.28
23,0.0,761189.97,91525.98
23,0.1,763614.55,91476.95
22,0.0,763634.27,90117.6
24,0.11,761185.98,92900.27
13,0.09,786047.58,78522.57
15,0.1,782104.7,80812.77
17,0.1,777799.93,83308.86
20,0.1,770861.04,87302.57
18,0.1,775559.41,84613.79
19,0.1,773231.3,85949.14
17,0.0,775560.28,83350.92
11,0.0,787914.59,76488.11
16,0.0,777811.29,82080.78
16,0.1,780002.21,82040.24
10,0.1,791339.31,75534.92
14,0.0,782112.34,79673.1
13,0.0,784126.16,78554.62
12,0.1,787887.98,77463.44
11,0.1,789683.12,76462.17
17,0.06,776879.64,83326.04
5,0.0,797375.7,72490.34
10,0.0,789688.17,75556.9
9,0.0,791349.49,74713.06
6,0.0,795969.44,72823.99
26,0.03,754377.33,95838.31
28,0.07,750238.17,98770.47
39,0.07,721088.01,115717.3
27,0.06,752632.52,97292.15
12,0.04,786780.2,77480.82
29,0.04,746985.06,100277.86
8,0.0,792924.92,73964.4
16,0.06,779251.32,82054.0
30,0.07,745249.3,101762.88
