generation,best_cost_eur,best_emissions_kg
1,721410.2,72683.16
2,721410.2,72596.12
3,718676.94,72579.32
4,718676.94,72396.48
5,718676.94,72389.89
6,716761.1,72374.06
7,716761.1,72374.06
8,716667.38,72371.22
9,716667.38,72371.22
10,716667.38,72371.22
11,716624.78,72367.32
12,716618.17,72367.32
13,716618.17,72367.32
14,716618.17,72367.11
15,716618.17,72367.11
16,716618.17,72367.11
17,716610.85,72367.11
18,716610.85,72367.11
19,716610.85,72367.11
20,716610.85,72367.11
21,716610.85,72367.11
22,716610.85,72367.11
23,716610.85,72367.11
24,716610.85,72367.11
25,716610.85,72367.11
26,716610.85,72367.11
27,716610.85,72367.11
28,716610.85,72367.11
29,716610.85,72367.11
30,716610.85,72367.11
31,716610.85,72367.11
32,716610.85,72367.11
33,716610.85,72367.11
34,716610.85,72367.11
35,716610.85,72367.11
36,716610.85,72367.11
37,716610.85,72367.11
38,716610.85,72367.11
39,716610.85,72367.11
40,716610.85,72367.11
41,716610.85,72367.11
42,716610.85,72367.11
43,716610.85,72367.11
44,716610.85,72367.11
45,716610.85,72367.11
46,716610.85,72367.11
47,716610.85,72367.11
48,716610.85,72367.11
49,716610.85,72367.11
50,716610.85,72367.11
51,716610.85,72367.11
52,716610.85,72367.11
53,716610.85,72367.11
54,716610.85,72367.11
55,716610.85,72367.11
56,716610.85,72367.11
57,716610.85,72367.11
58,716610.85,72367.11
59,716610.85,72367.11
60,716610.85,72367.11
