N_PV_hh,E_BESS_cap_kwh,annual_cost_total_eur,annual_emissions_total_kg,E_TESS_cap_kwh
40,0.0,22662.92,5002.41,0.0
40,0.0,22662.92,5002.41,0.0
9,11.26,48343.63,2771.42,40.0
9,11.26,48343.63,2771.42,40.0
39,0.13,23264.89,4933.53,0.0
29,0.13,26278.38,4332.68,0.0
39,0.0,22965.52,4940.67,0.0
21,0.13,28696.46,3885.16,0.0
28,0.13,26582.07,4274.55,0.0
15,0.0,35338.53,3133.43,39.98
35,0.13,24472.33,4689.27,0.0
17,0.0,29608.46,3690.25,0.0
17,0.13,29907.99,3683.38,0.0
21,0.0,28393.94,3892.19,0.0
37,0.13,23867.57,4810.78,0.0
34,0.13,24770.37,4629.09,0.0
33,0.0,24774.24,4576.08,0.0
40,0.13,22962.52,4995.26,0.0
37,0.0,23568.51,4817.91,0.0
31,0.13,25675.08,4449.98,0.0
14,0.0,35632.48,3108.28,38.49
12,0.0,36263.88,3012.13,39.49
34,0.0,24473.06,4636.12,0.0
30,0.13,25975.09,4391.16,0.0
38,0.0,23267.05,4879.16,0.0
22,0.13,28388.34,3938.68,0.0
27,0.0,26582.21,4224.04,0.0
16,0.0,29911.53,3643.04,0.0
33,0.13,25075.66,4568.98,0.0
31,0.0,25377.47,4457.0,0.0
35,0.0,24171.81,4696.42,0.0
24,0.13,27782.26,4047.96,0.0
15,0.0,30214.41,3597.56,0.0
8,6.24,45130.04,2783.09,40.0
20,0.13,28997.92,3832.85,0.0
18,0.0,29305.16,3738.64,0.0
28,0.0,26281.0,4281.63,0.0
8,5.5,44555.67,2787.32,40.0
18,0.13,29607.19,3731.66,0.0
20,0.0,28698.53,3839.81,0.0
36,0.0,23869.72,4757.0,0.0
22,0.0,28091.12,3945.55,0.0
23,0.13,28086.62,3992.94,0.0
10,0.0,31734.95,3412.06,0.0
32,0.0,25076.42,4516.33,0.0
7,0.79,33971.95,3331.68,0.0
8,5.14,44240.09,2791.22,39.95
38,0.13,23567.02,4872.0,0.0
36,0.13,24168.8,4749.87,0.0
30,0.0,25678.1,4398.16,0.0
32,0.13,25374.34,4509.29,0.0
29,0.0,25979.67,4339.72,0.0
26,0.0,26884.14,4167.08,0.0
13,0.0,30820.78,3514.29,0.0
27,0.13,26883.9,4216.98,0.0
26,0.13,27181.85,4160.14,0.0
24,0.0,27486.96,4054.85,0.0
25,0.0,27185.43,4110.7,0.0
25,0.13,27483.7,4103.75,0.0
7,1.42,39980.63,2834.85,39.96
23,0.0,27789.3,3999.83,0.0
10,0.0,36893.34,2941.32,39.45
7,0.65,33768.61,3334.38,0.0
7,2.02,40742.26,2825.9,39.97
12,0.13,31419.9,3470.46,0.0
8,4.19,43269.97,2802.23,40.0
15,0.0,35328.9,3156.79,38.17
8,6.87,45559.25,2780.97,40.0
9,9.39,47333.62,2773.72,39.99
8,3.92,42979.64,2805.92,39.99
19,0.0,29002.32,3788.48,0.0
13,0.13,31120.34,3507.73,0.0
7,1.03,34318.68,3327.33,0.0
10,0.13,37180.2,2928.15,39.96
9,10.79,48095.35,2771.51,39.99
19,0.13,29303.9,3781.51,0.0
7,0.47,33499.85,3338.29,0.0
18,0.0,34414.88,3285.16,39.38
11,0.1,36809.63,2962.9,40.0
18,0.04,34512.68,3275.38,40.0
16,0.04,35121.72,3177.7,40.0
11,0.0,36582.85,2968.34,39.97
7,0.05,32765.76,3350.46,0.0
11,0.0,36556.19,2997.95,37.84
16,0.13,30211.74,3636.2,0.0
8,0.0,37527.3,2889.48,39.39
9,9.82,47566.95,2772.72,40.0
8,7.33,45865.52,2779.51,40.0
16,0.11,35277.75,3174.67,39.95
7,0.26,38327.48,2857.52,40.0
7,0.12,38090.26,2862.32,39.96
17,0.11,34978.26,3227.87,39.53
10,0.05,37009.6,2931.32,40.0
8,0.06,32475.6,3362.23,0.0
14,0.0,30517.6,3554.78,0.0
7,4.77,43768.21,2798.97,39.97
7,0.38,33347.51,3340.59,0.0
7,0.98,39391.14,2842.43,39.96
15,0.13,30517.36,3590.71,0.0
17,0.0,34721.92,3235.18,39.42
7,0.2,33059.36,3346.58,0.01
9,8.86,47031.86,2774.75,39.99
7,1.18,39668.79,2838.8,39.96
8,4.89,43996.83,2793.58,39.99
7,3.8,42807.58,2807.4,39.96
16,0.0,35011.79,3215.4,37.19
7,2.35,41143.7,2821.36,40.0
14,0.13,30816.37,3548.09,0.0
7,0.78,39113.09,2846.18,39.96
7,2.77,41649.22,2816.53,39.99
33,0.07,24933.91,4572.29,0.0
18,0.06,29454.97,3735.21,0.0
37,0.06,23703.42,4814.67,0.0
27,0.06,26724.31,4220.68,0.0
16,0.13,30206.2,3636.3,0.0
31,0.06,25522.55,4453.53,0.0
13,0.13,36241.52,3039.25,40.0
13,0.07,30970.19,3511.0,0.0
15,0.13,30502.47,3591.04,0.0
7,1.76,40422.19,2829.56,39.96
29,0.0,25986.35,4339.57,0.0
13,0.0,35940.78,3069.76,38.19
9,8.27,46667.72,2776.51,39.98
12,0.0,31124.29,3476.83,0.0
9,0.13,32312.45,3380.15,0.0
8,0.05,32466.05,3362.43,0.0
25,0.07,27344.28,4106.97,0.0
24,0.07,27645.92,4051.14,0.0
11,0.0,36556.41,2997.94,37.84
8,5.87,44850.49,2785.38,39.97
11,0.07,31575.78,3439.59,0.0
14,0.05,30643.88,3551.91,0.0
30,0.07,25832.76,4394.55,0.0
26,0.01,26909.22,4166.48,0.0
12,0.06,31247.48,3474.16,0.0
10,0.13,32012.68,3406.26,0.0
7,0.25,33138.31,3343.94,0.0
17,0.0,34712.01,3263.9,37.11
32,0.12,25359.07,4509.64,0.0
40,0.07,22818.15,4998.7,0.0
7,3.04,41968.19,2813.9,39.98
13,0.08,36141.81,3044.1,39.79
18,0.0,34404.01,3306.87,37.67
26,0.13,27166.32,4160.48,0.0
8,7.65,46066.01,2778.59,40.0
17,0.0,34725.98,3228.95,39.93
9,10.33,47847.21,2771.88,40.0
7,0.06,32791.76,3349.97,0.0
36,0.02,23912.93,4755.96,0.0
9,0.12,32302.03,3380.36,0.0
8,4.4,43497.36,2799.48,40.0
9,7.83,46390.07,2777.48,40.0
9,0.1,37432.33,2899.68,40.0
36,0.13,24167.04,4749.93,0.0
7,3.6,42598.91,2808.4,40.0
8,6.98,45635.33,2780.61,40.0
